Key,Dialogue,Context
[BARK]Arrested_0,俺が何の悪いことをしたっていうんだ？,
[BARK]Arrested_1,俺を連行するつもりか？,
[BARK]Arrested_10,母さんも一緒に？,
[BARK]Arrested_11,家に帰りたい！,
[BARK]Arrested_2,彼におまえはスターになれるって言われたんだ。,
[BARK]Arrested_3,彼にテレビに出てる人みたいになれるって言われたんだ。,
[BARK]Arrested_4,母さんはどこだ？,
[BARK]Arrested_5,母さんはどこだ？,
[BARK]Arrested_6,あんたは警官なのか？,
[BARK]Arrested_7,その銃は本物か？,
[BARK]Arrested_8,母さんに会わせてくれよ？,
[BARK]Arrested_9,母さんに会わせてくれ、頼むよ？,
[BARK]ArrestIdle_0,母さんを助けてやってくれ！,
[BARK]ArrestIdle_1,母さんを助けてやってくれ！,
[BARK]ArrestIdle_2,俺、大丈夫だよな？,
[BARK]ArrestIdle_3,これ以上こんなところにいたくない！,
[BARK]ArrestIdle_4,お願いだよ、母さんに会いたいんだ！,
[BARK]Bashed_0,（うめき）,
[BARK]Bashed_1,（うめき）,
[BARK]Bashed_2,（うめき）,
[BARK]Bashed_3,（うめき）,
[BARK]Bashed_4,（うめき）,
[BARK]Bashed_5,（うめき）,
[BARK]Bashed_6,（うめき）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,わかったよ！,
[BARK]Compliant_1,乱暴はしないでくれ！,
[BARK]Compliant_2,家に帰りたい！,
[BARK]Compliant_3,動かないよ。,
[BARK]Compliant_4,何でも言う通りにするから！,
[BARK]Compliant_5,は、話なら聞いてるって！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]FellowAIKilled_0,（悲鳴）,
[BARK]FellowAIKilled_1,（悲鳴）,
[BARK]FellowAIKilled_2,大丈夫であってくれ！,
[BARK]FellowAIKilled_3,彼らは死んだのか？,
[BARK]Flashed_0,目が見えない！目が！,
[BARK]Flashed_1,何も見えない！,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]Gassed_2,（咳き込む）,
[BARK]HeardSWAT_0,誰か、聞こえるか？,
[BARK]HeardSWAT_1,助けてくれ！ここだ！,
[BARK]HeardSWAT_2,俺はここだ！,
[BARK]HeardSWAT_3,誰かいないか？,
[BARK]Hesitating_0,うーん…,
[BARK]Hesitating_1,えーと…,
[BARK]Hesitating_2,うぅ。,
[BARK]IdleAlly_0,何が起きているんだ？,
[BARK]IdleAlly_1,俺たちはトラブルに巻き込まれているのか？,
[BARK]IdleAlly_2,怖いよ。,
[BARK]IdleAlly_3,怖いよ！,
[BARK]IdleAlly_4,ここにいたくない！,
[BARK]IdleAlly_5,ここにいたくない！,
[BARK]IdleEnemy_0,頼む、乱暴はやめてくれ。,
[BARK]IdleEnemy_1,お願いだ、家に帰してくれ！,
[BARK]IdleEnemy_2,お願いだ、家に帰してくれ！,
[BARK]IdleEnemy_3,母さんはどこだ？,
[BARK]IdleEnemy_4,母さんはどこだ？,
[BARK]IdleEnemy_5,逃げろ！,
[BARK]IdleSelf_0,なぜ母さんは俺をこんなとこに連れて来たんだ？,
[BARK]IdleSelf_1,（泣き声）,
[BARK]IdleSelf_2,何が起きているんだ？,
[BARK]IdleSelf_3,何が起きているんだ？,
[BARK]IdleSelf_4,家に帰りたい。,
[BARK]Immune_0,何してるんだ？,
[BARK]Immune_1,やめろ！,
[BARK]IncapIdle_0,（苦し気なうめき声）,
[BARK]IncapIdle_1,（苦し気なうめき声）,
[BARK]NonCompliant_0,いやだ！,
[BARK]NonCompliant_1,いやだ！,
[BARK]NonCompliant_2,母さんに会わせてくれ。,
[BARK]NonCompliant_3,頼むからやめてくれ！,
[BARK]NonCompliant_4,頼むからやめてくれ！,
[BARK]NonCompliant_5,あんたとはどこへも行きたくない。,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,どこへ行くんだ？,
[BARK]PickedUp_1,家に連れて帰ってくれるのか？,
[BARK]PlayerSeen_0,家に送ってくれないか？,
[BARK]PlayerSeen_1,助けて！,
[BARK]PlayerSeen_2,お願いだ、助けてくれ！,
[BARK]PlayerSeen_3,誰だ？,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Stunned_2,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[REPLY]Shooting_0,死にたくない！,
[REPLY]Shooting_1,（泣き声）,
[REPLY]Shooting_2,撃つな！,
[TELL]Fleeing_0,母さん！,
[TELL]Fleeing_1,助けてくれ！,
[TELL]Fleeing_2,誰か助けて！,
[TELL]Fleeing_3,こんなとこにはいられない！,
