Key,Dialogue,Context
[BARK]Arrested_0,くそ、罠だ！,
[BARK]Arrested_1,両親だ！両親に話してみろ！,
[BARK]Arrested_10,くそったれどもめ！俺はもう刑期を務めた！,
[BARK]Arrested_11,お前ら、ちゃんとした令状はあるのかよ？！,
[BARK]Arrested_12,電話させてくれよ、な？,
[BARK]Arrested_13,お前ら、間違った所に来てないか？,
[BARK]Arrested_14,何やってんだ、てめえらは？,
[BARK]Arrested_15,ああ、このクソ野郎どもめ！,
[BARK]Arrested_16,もう二度と刑務所には戻らねえ。,
[BARK]Arrested_17,ああ、くそったれが！,
[BARK]Arrested_2,両親だ！両親に話してみろ！,
[BARK]Arrested_3,これは一体何なんだ？,
[BARK]Arrested_4,ここはクリーンなビジネスをやってるぜ。,
[BARK]Arrested_5,人違いだ！,
[BARK]Arrested_6,人違いだ！,
[BARK]Arrested_7,あのUSASCのクソ女、嘘ばっかつきやがって！,
[BARK]Arrested_8,これは俺のれっきとしたビジネスだ。信じてくれ！,
[BARK]Arrested_9,俺をレブンワースに連れ戻すつもりか？,
[BARK]ArrestIdle_0,一体、誰を探しているんだ？！ ここには何もないぞ。,
[BARK]ArrestIdle_1,言っておくとここはただの芸能事務所だよ。,
[BARK]ArrestIdle_2,聞いてくれ、話すからさ。,
[BARK]ArrestIdle_3,いいか？俺はタレントをスカウトしたり、仕事を斡旋したり、写真撮影したりとかしかしていない。それだけだ。,
[BARK]ArrestIdle_4,書類は全部ここにあるから確認してくれ！,
[BARK]ArrestIdle_5,好きに探し回ってくれ。,
[BARK]ArrestIdle_6,そういえば、一応いくつかの部屋は入室禁止だからな。,
[BARK]ArrestIdle_7,法的な書類があるんだ。あんまり詮索しないでくれ、わかったな？,
[BARK]ArrestIdle_8,さっさと片付けてくれよな？俺は忙しいんだ。最近、たくさんのタレントが入ってきているからな。,
[BARK]ArrestIdle_9,俺にはたくさんのクライアントがいるんだ。その分の書類が山ほどある。,
[BARK]Bashed_0,（うめき）,
[BARK]Bashed_1,（うめき）,
[BARK]Bashed_2,（うめき）,
[BARK]Bashed_3,（うめき）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Compliant_0,ったく、こんなのデタラメだ。,
[BARK]Compliant_1,わかった、わかった、大人しく降参するよ！,
[BARK]Compliant_10,わかったけど、俺は何もしてない！,
[BARK]Compliant_11,お前らは大きな間違いを犯している。,
[BARK]Compliant_12,お前らは大きな間違いを犯している。とてつもなく大きな間違いをね！,
[BARK]Compliant_2,ヘヘ、降参だ。,
[BARK]Compliant_3,降参だ、聞いてくれ。,
[BARK]Compliant_4,降参するよ。,
[BARK]Compliant_5,まー落ち着けって！,
[BARK]Compliant_6,了解だ、兵隊さん。,
[BARK]Compliant_7,伏せるよ。,
[BARK]Compliant_8,何も持ってないよ。,
[BARK]Compliant_9,わかったけど、俺は何もしてねぇ。,
[BARK]Death_0,（うめき）,
[BARK]Death_1,（うめき）,
[BARK]Death_2,（うめき）,
[BARK]Death_3,（うめき）,
[BARK]FellowAIKilled_0,死ぬな、くそったれ！,
[BARK]FellowAIKilled_1,起きろ、この野郎！,
[BARK]FellowAIKilled_2,ああ、くそ！,
[BARK]FellowAIKilled_3,くそったれが！,
[BARK]FellowAIKilled_4,この野郎！,
[BARK]FellowAIKilled_5,よくも殺ってくれたな！,
[BARK]Flashed_0,くそっ！目が見えね！,
[BARK]Flashed_1,ああっ、くそっ！,
[BARK]Flashed_2,（悲鳴）,
[BARK]Flashed_3,ああ、くそっ！目が！,
[BARK]Gassed_0,ぐっ、ははは！ぐっ、ははは！ぐっ、ははは！,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]HeardSWAT_0,一体何が起こってるんだ？,
[BARK]HeardSWAT_1,何だ、この騒ぎは？,
[BARK]HeardSWAT_2,あれは一体誰だ？,
[BARK]HeardSWAT_3,出て来い！,
[BARK]HeardSWAT_4,誰だ？,
[BARK]HeardSWAT_5,誰だ？,
[BARK]Hesitating_0,ああ、くそ。,
[BARK]Hesitating_1,あー、くそ。,
[BARK]Hesitating_2,今度はいったい何だ？,
[BARK]Hesitating_3,考えるんだ。考えろ、考えろ。ああ、くそ、どうしたらいい？,
[BARK]Hesitating_4,あー、くそっ。,
[BARK]Hesitating_5,ああ、くそっ。,
[BARK]Hesitating_6,わかった、考えさせてくれ。,
[BARK]HitThePlayer_0,どうだ、痛いか？,
[BARK]HitThePlayer_1,もっと欲しいか？,
[BARK]IdleAlly_0,聞け、俺はここで真面目に経営をしているんだ。お前らみたいなのが来ると困るんだよ。,
[BARK]IdleAlly_1,お前のボスはもう少しぐらい値引きした方が良い。,
