Key,Dialogue,Context
[BARK]Arrested_0,友達とワットビーチから来たのよ！,
[BARK]Arrested_1,リー・ブラッシュに会いに来たのよ！,
[BARK]Arrested_10,ああ、ありがとう…ここから出られるなんて思ってなかった。,
[BARK]Arrested_11,ここから出して！,
[BARK]Arrested_12,ああ、ありがとう！本当に助かった！,
[BARK]Arrested_13,わっ！,
[BARK]Arrested_14,ああ、ありがとう、ありがとう！,
[BARK]Arrested_2,どうしたの？,
[BARK]Arrested_3,仕事しないの？,
[BARK]Arrested_4,どうなってるかくらい教えてくれないの？,
[BARK]Arrested_5,ここに置いていくの？,
[BARK]Arrested_6,本当にこうする必要ある？,
[BARK]Arrested_7,ちょっと！本当にこうする必要ある？,
[BARK]Arrested_8,手錠なんてクソくらえよ！ここから出して！,
[BARK]Arrested_9,ありがとう！ここから出られるなんて思ってなかった！,
[BARK]ArrestIdle_0,殺されるところだった。奴らには誰も何もできなかった。,
[BARK]ArrestIdle_1,友達が見つからない。探して！,
[BARK]ArrestIdle_10,ちょっと！あいつら、ここに来るんじゃないでしょうね？,
[BARK]ArrestIdle_11,ここにいて大丈夫なの？,
[BARK]ArrestIdle_2,友達が見つからないの。探してほしい。,
[BARK]ArrestIdle_3,まだ生きてる人がいると思う。助けてあげないと。,
[BARK]ArrestIdle_4,まだ生きてる人がいると思う。助けてあげないと。,
[BARK]ArrestIdle_5,誰か迎えを呼んでくれない？ここにはいたくない。,
[BARK]ArrestIdle_6,イカれた連中がやって来て…みんなを殺し始めた。,
[BARK]ArrestIdle_7,何人いたかは分からない。一瞬の出来事だった。奴らはすぐそこにいるかもしれない。,
[BARK]ArrestIdle_8,何人いたかは分からない。一瞬の出来事だった。奴らはすぐそこにいるかもしれない。,
[BARK]ArrestIdle_9,殺されるところだった。奴らには誰も何もできなかった。,
[BARK]Bashed_0,（うめき）,
[BARK]Bashed_1,（うめき）,
[BARK]Bashed_2,（うめき）,
[BARK]Bashed_3,（うめき）,
[BARK]BombVestDet_0,早く、何とかして！,
[BARK]BombVestDet_1,ちょっと、ウソでしょ！,
[BARK]BombVestDet_2,助けて！,
[BARK]BombVestDet_3,助けて！,
[BARK]BombVestDet_4,誰か助けて！,
[BARK]BombVestDet_5,ちょっと！,
[BARK]BombVestDet_6,お願い、助けて！,
[BARK]BombVestDet_7,助けて！,
[BARK]BombVestDet_8,助けて！,
[BARK]BombVestIdle_0,助けて！爆弾よ！,
[BARK]BombVestIdle_1,爆弾よ！,
[BARK]BombVestIdle_10,ボタンかワイヤーか、何かあるでしょ。映画は見ないの？,
[BARK]BombVestIdle_11,ダメ…外せない！,
[BARK]BombVestIdle_12,外せない！,
[BARK]BombVestIdle_13,ダメよ。分かる？,
[BARK]BombVestIdle_2,助けて、助けて、助けて！爆弾よ！,
[BARK]BombVestIdle_3,これをつけられた！,
[BARK]BombVestIdle_4,何？何なの？どうやって外せばいいの？,
[BARK]BombVestIdle_5,どうやって外せばいい？,
[BARK]BombVestIdle_6,クソ、何なの？,
[BARK]BombVestIdle_7,爆発しないでよ、頼むから。クソ！,
[BARK]BombVestIdle_8,ちょっと、爆発しないでよ。頼むから。クソ、クソ、クソ。,
[BARK]BombVestIdle_9,きっとどこかに…えっと…その…ワイヤーとか…何かあるはずよ。とにかく外して！,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,ああ、クソ！,
[BARK]Compliant_1,ごめんなさい、怖かったの。,
[BARK]Compliant_10,撃たないで！,
[BARK]Compliant_11,撃たないで！,
[BARK]Compliant_12,分かった、分かった。急いで。,
[BARK]Compliant_13,分かった、分かった。お願いだから急いで！,
[BARK]Compliant_14,降参よ！悪いことは何もしてない！,
[BARK]Compliant_15,聞いてるわ。痛いことはやめて。,
[BARK]Compliant_16,聞いてるわ。痛いことはやめて。,
[BARK]Compliant_17,よし！オーケー！それで？,
[BARK]Compliant_18,何も持ってない！私は奴らの仲間じゃない！,
[BARK]Compliant_19,よし！オーケー！,
[BARK]Compliant_2,早く来て！,
[BARK]Compliant_20,ここから出して。,
[BARK]Compliant_3,オーケー、早く！こっちに来て！,
[BARK]Compliant_4,早く！こっちに来て！,
[BARK]Compliant_5,聞いてるわ。痛いことはやめて。,
[BARK]Compliant_6,ここから出して！,
[BARK]Compliant_7,ここから出して。,
[BARK]Compliant_8,手を上げてるでしょ、撃たないで！,
[BARK]Compliant_9,分かったから撃たないで！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]FellowAIKilled_0,まさか。ちょっと、ウソでしょ。何？,
[BARK]FellowAIKilled_1,ちょっと、ウソでしょ！,
[BARK]FellowAIKilled_10,クソ！ありえない！,
[BARK]FellowAIKilled_2,ちょっと！ウソでしょ！,
[BARK]FellowAIKilled_3,ウソでしょ！,
[BARK]FellowAIKilled_4,ああ、あんたたちイカれてる！助けて！,
[BARK]FellowAIKilled_5,あんたたちイカれてる！助けて！,
[BARK]FellowAIKilled_6,あんたたちイカれてる。助けて！,
[BARK]FellowAIKilled_7,殺さないで！お願い！私は何もしてない！お願いだから！,
[BARK]FellowAIKilled_8,お願いだから殺さないで！何もしてないの、お願い！,
[BARK]FellowAIKilled_9,お願いだから殺さないで！何もしてないの、お願い！,
[BARK]Flashed_0,ああ、目が！,
[BARK]Flashed_1,ああ、クソ！,
[BARK]Flashed_2,ああ、クソ！,
[BARK]Flashed_3,ああ！目が！,
[BARK]Flashed_4,ああ、クソ！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]HeardSWAT_0,それ以上来るな！,
[BARK]HeardSWAT_1,来るな！,
[BARK]HeardSWAT_10,クソ、クソ、何か聞こえた！,
