Key,Dialogue,Context
[BARK]Arrested_0,俺が何したってんだ？,
[BARK]Arrested_1,人違いだ！俺はショーを見に来たんだ！,
[BARK]Arrested_10,1人にしないでくれ！,
[BARK]Arrested_11,クソ野郎ども！イカれてやがる！,
[BARK]Arrested_12,ああ、クソ野郎ども！イカれてやがる！,
[BARK]Arrested_13,親に送ってもらって来たんだ。何があったか知らない。,
[BARK]Arrested_14,親に送ってもらって来たんだ。何があったか知らない。,
[BARK]Arrested_15,俺は無実だ、神に誓う！,
[BARK]Arrested_16,俺は無実だ、神に誓う！,
[BARK]Arrested_17,俺は無実だ、神に誓う！,
[BARK]Arrested_18,俺は関係ないんだ、お巡りさん。,
[BARK]Arrested_19,俺は関係ないんだ、お巡りさん。,
[BARK]Arrested_2,警備員はどこにいたんだ？死んだのか？,
[BARK]Arrested_20,なんで手錠をかけるんだ？,
[BARK]Arrested_21,なんで手錠をかけるんだ？,
[BARK]Arrested_22,逃がしてくれ！そこら中にテロリストがいる！,
[BARK]Arrested_23,逃がしてくれ！そこら中にテロリストがいる！,
[BARK]Arrested_24,人の集団がクラブを占拠してみんなを殺した。,
[BARK]Arrested_25,人の集団がクラブを占拠してみんなを殺した。,
[BARK]Arrested_26,置いていかないでくれ！,
[BARK]Arrested_27,置いていかないでくれ！,
[BARK]Arrested_28,置いていかないでくれ！,
[BARK]Arrested_29,なあ、ここから出してくれ！,
[BARK]Arrested_3,俺はあのイカれた連中の仲間じゃない。,
[BARK]Arrested_30,音楽が流れる中、奴らは人々を殺し始めた。,
[BARK]Arrested_31,音楽が流れる中、奴らは人々を殺し始めた。,
[BARK]Arrested_32,音楽が流れる中、奴らは人々を殺し始めた。,
[BARK]Arrested_33,他に誰かいるのか？,
[BARK]Arrested_34,他に誰かいるのか？,
[BARK]Arrested_35,家に帰してくれ。帰りたいんだ。,
[BARK]Arrested_36,家に帰してくれ。帰りたいんだ。,
[BARK]Arrested_37,おい、あいつらの狙いは何だ？,
[BARK]Arrested_38,おい、あいつらの狙いは何だ？,
[BARK]Arrested_39,どうなってる？テロリストか？,
[BARK]Arrested_4,俺はあのイカれた連中の仲間じゃない。,
[BARK]Arrested_40,気をつけろ！奴らは銃を持ってる！,
[BARK]Arrested_5,悪いね。でも、こうする必要あるのか？,
[BARK]Arrested_6,悪いね。でも、こうする必要あるのか？,
[BARK]Arrested_7,放してくれ！チケットはここにある！,
[BARK]Arrested_8,放してくれ！チケットはここにある！,
[BARK]Arrested_9,1人にしないでくれ！,
[BARK]BombVestDet_0,おいおい,
[BARK]BombVestDet_1,おいおい！,
[BARK]BombVestDet_2,おいおい！,
[BARK]BombVestDet_3,逃げろ！,
[BARK]BombVestDet_4,クソ、クソ！,
[BARK]BombVestDet_5,クソ、クソ！,
[BARK]BombVestDet_6,置いていかないでくれ！,
[BARK]BombVestDet_7,置いていかないでくれ！,
[BARK]BombVestDet_8,置いていかないでくれ！,
[BARK]BombVestIdle_0,ワイヤーとか切れないか？頼む、何でもいいから助けてくれ！,
[BARK]BombVestIdle_1,ワイヤーとか切れないか？頼む、何でもいいから助けてくれ！,
[BARK]BombVestIdle_10,外せない。助けてくれ。爆弾だ。俺にはできない。外せないんだ。,
[BARK]BombVestIdle_11,外せない！助けてくれ！爆弾だ！俺にはできない！外せないんだ！,
[BARK]BombVestIdle_12,見捨てないでくれ！頼む！きっと…漏れてる？クソ、助けて！,
[BARK]BombVestIdle_13,見捨てないでくれ！頼む！きっと…漏れてる？クソ、助けて！,
[BARK]BombVestIdle_14,見捨てないでくれ！頼む！きっと…漏れてる？クソ、助けて！,
[BARK]BombVestIdle_2,早く外してくれ！爆発しちまう！,
[BARK]BombVestIdle_3,早く外してくれ！爆発しちまう！,
[BARK]BombVestIdle_4,早く外してくれ！爆発しちまう！,
[BARK]BombVestIdle_5,早く外してくれ！爆発しちまう！,
[BARK]BombVestIdle_6,これは本物か？何だよ、爆弾か？,
[BARK]BombVestIdle_7,これは本物か？何だよ、爆弾か？,
[BARK]BombVestIdle_8,外してくれ！頼む、外してくれ！,
[BARK]BombVestIdle_9,外せない！助けてくれ！爆弾だ！俺にはできない！,
[BARK]CallOutForHelp_0,助けてくれ！,
[BARK]CallOutForHelp_1,助けてくれ！,
[BARK]CallOutForHelp_10,助けてくれ！,
[BARK]CallOutForHelp_11,助けてくれ！,
[BARK]CallOutForHelp_2,助けてくれ！,
[BARK]CallOutForHelp_3,警察はどこにいるんだ？,
[BARK]CallOutForHelp_4,警察はどこにいるんだ？,
[BARK]CallOutForHelp_5,誰か聞こえるか？,
[BARK]CallOutForHelp_6,誰か聞こえるか？,
[BARK]CallOutForHelp_7,誰か聞こえるか？,
[BARK]CallOutForHelp_8,他に誰かいるのか？,
[BARK]CallOutForHelp_9,ここだ！置いていかないでくれ！,
[BARK]Compliant_0,殺さないでくれ！,
[BARK]Compliant_1,撃つな！,
[BARK]Compliant_10,違う、俺は無実だ！,
[BARK]Compliant_11,違う、俺は無実だ！,
[BARK]Compliant_2,分かったよ。,
[BARK]Compliant_3,分かったから撃つな！,
[BARK]Compliant_4,分かったから撃つな！,
[BARK]Compliant_5,言う通りにするよ。,
[BARK]Compliant_6,言う通りにするよ。,
[BARK]Compliant_7,銃を向けないでくれ！,
[BARK]Compliant_8,問題ない。,
[BARK]Compliant_9,ともかくここを離れたい。,
[BARK]Death_0,（苦しそうな怒鳴り声）,
[BARK]Death_1,（苦しそうな怒鳴り声）,
[BARK]Death_10,（苦しそうな怒鳴り声）,
[BARK]Death_11,（苦しそうな怒鳴り声）,
[BARK]Death_12,（苦しそうな怒鳴り声）,
[BARK]Death_13,（苦しそうな怒鳴り声）,
[BARK]Death_14,（苦しそうな怒鳴り声）,
[BARK]Death_15,（苦しそうな怒鳴り声）,
[BARK]Death_16,（苦しそうな怒鳴り声）,
[BARK]Death_17,（苦しそうな怒鳴り声）,
[BARK]Death_18,（苦しそうな怒鳴り声）,
[BARK]Death_19,（苦しそうな怒鳴り声）,
[BARK]Death_2,（苦しそうな怒鳴り声）,
[BARK]Death_20,（苦しそうな怒鳴り声）,
[BARK]Death_21,（苦しそうな怒鳴り声）,
[BARK]Death_22,（苦しそうな怒鳴り声）,
[BARK]Death_23,（苦しそうな怒鳴り声）,
[BARK]Death_24,（苦しそうな怒鳴り声）,
[BARK]Death_25,（苦しそうな怒鳴り声）,
[BARK]Death_3,（苦しそうな怒鳴り声）,
[BARK]Death_4,（苦しそうな怒鳴り声）,
[BARK]Death_5,（苦しそうな怒鳴り声）,
[BARK]Death_6,（苦しそうな怒鳴り声）,
[BARK]Death_7,（苦しそうな怒鳴り声）,
[BARK]Death_8,（苦しそうな怒鳴り声）,
[BARK]Death_9,（苦しそうな怒鳴り声）,
[BARK]FellowAIKilled_0,クソ、クソ、クソ！,
[BARK]FellowAIKilled_1,クソ！クソ、クソ！,
[BARK]FellowAIKilled_2,イカれてやがる！,
[BARK]FellowAIKilled_3,イカれてやがる！,
[BARK]FellowAIKilled_4,おいおい！,
[BARK]FellowAIKilled_5,おいおい！,
[BARK]FellowAIKilled_6,おいおい！,
[BARK]FellowAIKilled_7,クソ！,
[BARK]Flashed_0,ああ、クソ！,
[BARK]Flashed_1,ああ、クソ！,
[BARK]Flashed_2,ああ、クソ！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]Gassed_3,（咳）,
[BARK]Gassed_4,（咳）,
[BARK]HeardSWAT_0,おい！ここだ！,
[BARK]HeardSWAT_1,誰だ？,
[BARK]HeardSWAT_2,誰だ？,
[BARK]HeardSWAT_3,誰かいるのか？,
[BARK]HeardSWAT_4,誰かいるのか？,
[BARK]HeardSWAT_5,あれは警察か？,
[BARK]HeardSWAT_6,クソ！誰だ？,
[BARK]IdleAlly_0,もうどうしようもないな。,
[BARK]IdleAlly_1,もうどうしようもない！,
[BARK]IdleAlly_10,俺たちは殺されるのか？,
[BARK]IdleAlly_11,俺たちは殺されるのか？,
[BARK]IdleAlly_12,何のために人を殺すんだ？,
