Key,Dialogue,Context
[BARK]Arrested_0,こんなの狂ってる！,
[BARK]Arrested_1,みんなを外に出さないと。,
[BARK]Arrested_10,ああ、クソ！,
[BARK]Arrested_11,この人たちを逃がさないと！,
[BARK]Arrested_12,手伝うよ。,
[BARK]Arrested_13,あんたの助けは必要ない。,
[BARK]Arrested_14,そろそろ時間だ。,
[BARK]Arrested_15,そろそろ時間だ！,
[BARK]Arrested_16,何とかしてくれよ！,
[BARK]Arrested_17,クソッ！,
[BARK]Arrested_18,こんなのめちゃくちゃだ。,
[BARK]Arrested_19,人違いだ！,
[BARK]Arrested_2,クソ野郎ども！,
[BARK]Arrested_20,こいつを外してくれよ。力になるから。,
[BARK]Arrested_21,俺はここで用心棒として働いてるんだ。,
[BARK]Arrested_22,何すんだよ？正気か？,
[BARK]Arrested_23,おい、マジか？,
[BARK]Arrested_3,もう一人の奴は死んだと思う。,
[BARK]Arrested_4,クソ野郎どもが入ってきて撃ち始めたんだ。,
[BARK]Arrested_5,俺と仲間は奴らを止めようとしたんだ。,
[BARK]Arrested_6,何とかしてくれよ。,
[BARK]Arrested_7,助かったぜ。,
[BARK]Arrested_8,俺は警備の仕事をしてるんだ。,
[BARK]Arrested_9,ああ、クソ！,
[BARK]ArrestIdle_0,この人たちを助けないと。,
[BARK]ArrestIdle_1,イカれた野郎どもめ。,
[BARK]ArrestIdle_2,入り口で止められたはずだ。みんな完全武装していた。,
[BARK]ArrestIdle_3,置いて行かないでくれ！,
[BARK]ArrestIdle_4,手を貸すよ。,
[BARK]ArrestIdle_5,まったく話が違うぞ。,
[BARK]ArrestIdle_6,できる限りみんなを外へ出してみる。,
[BARK]ArrestIdle_7,気をつけろ。奴らはそこら中にいる。,
[BARK]BombVestDet_0,爆発するぞ！,
[BARK]BombVestDet_1,下がれ！離れろ！,
[BARK]BombVestDet_2,早く！外してくれ！,
[BARK]BombVestDet_3,急いで外してくれ！,
[BARK]BombVestDet_4,助けてくれ！,
[BARK]BombVestDet_5,助けてくれ！,
[BARK]BombVestIdle_0,頼むからこいつを外してくれ！,
[BARK]BombVestIdle_1,頼むからこいつを外してくれ！,
[BARK]BombVestIdle_2,下がっていろ！爆弾だ！,
[BARK]BombVestIdle_3,クソ、もし俺が...いや、ああ、クソッ！,
[BARK]BombVestIdle_4,クソ、もし俺が...いや、ああ、クソッ！,
[BARK]BombVestIdle_5,こいつが外せないんだ！,
[BARK]BombVestIdle_6,こいつをこのままにはしておけない！,
[BARK]BombVestIdle_7,ああ、クソ、最悪だ。冗談じゃない、ありえねえ。,
[BARK]BombVestIdle_8,ああ、クソ、すべて配線でつながれてる。,
[BARK]Compliant_0,ウソだろ。わかったよ。,
[BARK]Compliant_1,俺は銃なんて持ってない！,
[BARK]Compliant_10,わかった。,
[BARK]Compliant_2,銃なんて持ってない。,
[BARK]Compliant_3,銃は持ってない。,
[BARK]Compliant_4,わかったよ。俺は警備員で、あんたたちの側だ。,
[BARK]Compliant_5,急げ、ここから逃げないと。,
