Key,Dialogue,Context
[BARK]Arrested_0,本当にありがとう。ああ、よかった！助かった！,
[BARK]Arrested_1,あの狂った人たちに殺されるかと思ったわ。,
[BARK]Arrested_10,もうこれで終わり？,
[BARK]Arrested_11,誰かが私たちを迎えに来るんでしょ？,
[BARK]Arrested_12,あの人たちまだ近くにいるの？,
[BARK]Arrested_2,私はここで働いてただけ。同僚たちは私を置いて逃げたの。,
[BARK]Arrested_3,彼らから隠れてたの。すごく怖かった。,
[BARK]Arrested_4,乱暴しないで、私はただのウェイトレスよ！,
[BARK]Arrested_5,あの狂った人たちを助けるの？,
[BARK]Arrested_6,離して、このクズ！,
[BARK]Arrested_7,もういいから家に帰して？,
[BARK]Arrested_8,元カレは警官だったの。,
[BARK]Arrested_9,ここは安全なの？,
[BARK]ArrestIdle_0,みんな逃げてったわ。私は誰かを助けられるかと思って残ったの。,
[BARK]ArrestIdle_1,お願い、家に帰らせて。あの人たち事なんて今まで見た事もないのよ。,
[BARK]ArrestIdle_10,出口から逃げようとしたけど、そこら中、彼らでいっぱいだったわ。,
[BARK]ArrestIdle_11,あの人たち、前にもここで見た気がする。,
[BARK]ArrestIdle_12,まさかロススエノスにテロリスト？,
[BARK]ArrestIdle_13,こんな無茶苦茶な状況は初めてよ。,
[BARK]ArrestIdle_14,私はハウスデール出身で、ここが地元じゃないの。こんな所に来るんじゃなかったわ。,
[BARK]ArrestIdle_2,ここにいてくれる？一人は嫌よ。,
[BARK]ArrestIdle_3,助けを呼ぼうとしたのよ。,
[BARK]ArrestIdle_4,こんな所にいたくない。本当に怖いの。,
[BARK]ArrestIdle_5,あの人たち、何か外国語で話してたわ。誰かは分からないよ。,
[BARK]ArrestIdle_6,突然入ってきて、みんなを無差別に殺し始めたわ。,
[BARK]ArrestIdle_7,何が起こってるのか知ってる？,
[BARK]ArrestIdle_8,みんな殺されたのよ。みんな死んじゃった。,
[BARK]ArrestIdle_9,彼ら、他の人たちに酷いことしてたわ。見ていられなかった。,
[BARK]Bashed_0,（うめき）,
[BARK]Bashed_1,（うめき）,
[BARK]Bashed_2,（うめき）,
[BARK]Bashed_3,（うめき）,
[BARK]BombVestDet_0,両親に愛してるって伝えたいの！,
[BARK]BombVestDet_1,爆発する！,
[BARK]BombVestDet_2,ああ、そんな、ああ！,
[BARK]BombVestDet_3,何とかして！,
[BARK]BombVestIdle_0,えっ、これは一体なんなの？！,
[BARK]BombVestIdle_1,どうしよう？どうしたらいいの？,
[BARK]BombVestIdle_2,これを外して！こんな死に方は嫌！,
[BARK]BombVestIdle_3,何か方法があるはずよ！何でもいいから！助けて！,
[BARK]BombVestIdle_4,爆弾よ！助けて！,
[BARK]BombVestIdle_5,何とかしなきゃ！やだ、やだ、やだ！これどうやって外すのよ？！,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,手を上げてるわ！撃たないで！,
[BARK]Compliant_1,私はここで働いてるの。,
[BARK]Compliant_10,わかった、好きにして。とにかくここから出して！,
[BARK]Compliant_11,私を警察署に連れて行くの？,
[BARK]Compliant_12,ここにはいたくない。わかる？,
[BARK]Compliant_13,わかった。とにかく急いで、今すぐ逃げなきゃ。,
[BARK]Compliant_2,私があいつらとグルに見える？,
[BARK]Compliant_3,大丈夫、大丈夫。,
[BARK]Compliant_4,大丈夫。大丈夫よ。,
[BARK]Compliant_5,銃なんて持ってないわ。,
[BARK]Compliant_6,ここは安全なの？,
[BARK]Compliant_7,彼らの居場所なら教えてあげられる。,
[BARK]Compliant_8,早く、急いで！,
[BARK]Compliant_9,早く、急いで！,
[BARK]Death_0,（ゴボゴボという音）,
[BARK]Death_1,（ゴボゴボという音）,
[BARK]Death_2,（ゴボゴボという音）,
[BARK]Death_3,（ゴボゴボという音）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（ゴボゴボという音）,
[BARK]FellowAIKilled_0,いやー！死にたくない！,
[BARK]FellowAIKilled_1,お願い、もうやめて！,
[BARK]FellowAIKilled_2,死にたくない！私は、私は、私はただの女の子よ！,
[BARK]FellowAIKilled_3,死にたくない！私はただのかよわい女の子よ！,
[BARK]FellowAIKilled_4,彼らは何もしていないのに！人でなし！,
[BARK]FellowAIKilled_5,彼らは何もしていないのに！人でなし！,
[BARK]FellowAIKilled_6,（悲鳴）,
[BARK]Flashed_0,きゃあ！,
[BARK]Flashed_1,目が！,
[BARK]Gassed_0,アハハハハ！,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]HeardSWAT_0,誰かいるの？,
[BARK]HeardSWAT_1,近寄らないで。,
[BARK]HeardSWAT_2,どうしよう！,
[BARK]HeardSWAT_3,誰？誰かいるの？,
[BARK]HeardSWAT_4,え、そんな！きっとあれも彼らの一人よ！間違いない！,
[BARK]HeardSWAT_5,いやだ、いやだ！,
[BARK]HeardSWAT_6,何か聞こえた、今のはなに？,
[BARK]HeardSWAT_7,そんな！,
[BARK]HeardSWAT_8,（泣き声）,
[BARK]HeardSWAT_9,誰か助けて！まだここに人がいるのよ！,
[BARK]IdleAlly_0,一緒に行動しなきゃ。,
[BARK]IdleAlly_1,きっと大丈夫よ。警察もすぐ来るはず。,
[BARK]IdleAlly_2,警備員か誰か見つけられるかもしれない。,
[BARK]IdleAlly_3,とりあえず、今は隠れてて。,
[BARK]IdleAlly_4,私たちどうしたらいいの？,
[BARK]IdleAlly_5,静かにして、ここから抜け出す方法を見つけよう。,
[BARK]IdleAlly_6,携帯使える？助けを呼んで。,
[BARK]IdleAlly_7,見つかったら殺される。,
[BARK]IdleAlly_8,彼らはなんでクラブなんか選んだの？,
[BARK]IdleAlly_9,警備員を呼んで！,
[BARK]IdleEnemy_0,私はただ両親のところに帰りたいだけよ。,
[BARK]IdleSelf_0,私、どうしてこんな仕事を選んじゃったんだろう？,
[BARK]IdleSelf_1,なんだか今日は悪い予感がしてたのよ。,
