Key,Dialogue,Context
[BARK]Arrested_0,俺たちの家にあんなことするからだ！,
[BARK]Arrested_1,正しいことしかしてない！,
[BARK]Arrested_10,悪魔を地獄に送ったんだ！,
[BARK]Arrested_11,これで一丁上がりってか？,
[BARK]Arrested_12,失われた命の恨みは晴らした。,
[BARK]Arrested_2,正義の行動だ！,
[BARK]Arrested_3,これまでに奪った命への復讐だ！,
[BARK]Arrested_4,放せ、腰抜け！,
[BARK]Arrested_5,仲間が黙っちゃいない！,
[BARK]Arrested_6,もう遅い。ザ・ハンドの目的は達した。,
[BARK]Arrested_7,子供たちの上に爆弾を落とすのはいいが、これはダメだ！,
[BARK]Arrested_8,ミディで大勢を殺してるくせにテロリスト呼ばわりするのか？,
[BARK]Arrested_9,これは戦争だ。罪のない者などいない！,
[BARK]ArrestIdle_0,外せ！ケンカなら望むところだ！,
[BARK]ArrestIdle_1,クソ野郎！,
[BARK]ArrestIdle_2,賛同者は大勢いる！,
[BARK]ArrestIdle_3,代わりはたくさんいる！,
[BARK]ArrestIdle_4,（アラビア語）,
[BARK]ArrestIdle_5,動物みたいに死にやがった。,
[BARK]ArrestIdle_6,そこだ！,
[BARK]Bashed_0,（うめき声）,
[BARK]Bashed_1,（うめき声）,
[BARK]Bashed_2,（うめき声）,
[BARK]Bashed_3,（うめき声）,
[BARK]Bashed_4,（うめき声）,
[BARK]Bashed_5,（うめき声）,
[BARK]Bashed_6,（うめき声）,
[BARK]Bashed_7,（うめき声）,
[BARK]Bashed_8,（うめき声）,
[BARK]BombVestDet_0,ザ・ハンド万歳！,
[BARK]BombVestDet_1,カダマーのために！,
[BARK]BombVestDet_2,道連れだ！,
[BARK]BombVestDet_3,ゲームオーバーだ！,
[BARK]BombVestIdle_0,これは外せない。完璧だ。,
[BARK]BombVestIdle_1,もっと着心地のいいベストがよかった。,
[BARK]BombVestIdle_2,もっといいベストを作れる。,
[BARK]BombVestIdle_3,奴らが近寄るのを待て。,
[BARK]BombVestIdle_4,ちゃんと起爆することを願おう。,
[BARK]BombVestIdle_5,いいぞ。外すのは不可能だ。,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,分かった、撃つな！,
[BARK]Compliant_1,頼む、殺さないでくれ！,
[BARK]Compliant_10,分かった、もうやめろ！,
[BARK]Compliant_11,もう終わった！,
[BARK]Compliant_2,銃はやめてくれ！,
[BARK]Compliant_3,武器は持ってない！,
[BARK]Compliant_4,武器は持ってない！,
[BARK]Compliant_5,分かったよ、兵隊さん。,
[BARK]Compliant_6,分かった！話を聞く！,
[BARK]Compliant_7,聞こえてるって。,
[BARK]Compliant_8,分かったよ！,
[BARK]Compliant_9,降参だ！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,ああ！ああ！ああ！,
[BARK]Death_3,ああ！,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,ガアッ！,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]FellowAIKilled_0,おい！クソ野郎ども！,
[BARK]FellowAIKilled_1,仇は討つ！,
[BARK]FellowAIKilled_2,殺しやがったな！死ね！,
[BARK]FellowAIKilled_3,クソ野郎！,
[BARK]Flanking_0,（アラビア語）,
[BARK]Flashed_0,ああ、クソ！,
[BARK]Flashed_1,ああ、クソ！,
[BARK]Flashed_2,クソ野郎！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]HeardSWAT_0,行け、行け！,
[BARK]HeardSWAT_1,あれは何だ？,
[BARK]HeardSWAT_2,準備しろ！,
[BARK]HeardSWAT_3,誰かいる！,
[BARK]HeardSWAT_4,何か聞こえる。,
[BARK]IdleAlly_0,（アラビア語）,
[BARK]IdleAlly_1,（アラビア語）,
[BARK]IdleAlly_10,心配ない。ザ・ハンドは生きる目的をくれた。,
[BARK]IdleAlly_11,道を歩むんだ、兄弟。カダマーは裏切らない。,
[BARK]IdleAlly_12,今夜、奴らは気づくだろう。そしてザ・ハンドとエルジバールの偉業を胸に刻むんだ。,
[BARK]IdleAlly_13,見せしめにしてやれ！,
[BARK]IdleAlly_14,思い知らせてやれ。,
[BARK]IdleAlly_15,全てをバリケードで囲め。,
[BARK]IdleAlly_16,持ってきたベストを使う。人質とつなげてある。,
[BARK]IdleAlly_17,インシャーアッラー！バスマラ！,
[BARK]IdleAlly_18,ここで止まってはいけない。まだやることがある。,
[BARK]IdleAlly_19,奴らは腰抜けらしい最後を迎える。名誉も何もない。,
[BARK]IdleAlly_2,逃げた奴らもいるだろうが、遠くへは行ってないはずだ！,
[BARK]IdleAlly_20,そうだ、もっと死すべきだ。,
[BARK]IdleAlly_21,友よ、エルザバヤの微笑みあれ。,
[BARK]IdleAlly_3,（アラビア語）,
[BARK]IdleAlly_4,仕事はまだあるぞ！,
[BARK]IdleAlly_5,全ての部屋を調べろ！,
[BARK]IdleAlly_6,ビデオを公開する！,
[BARK]IdleAlly_7,カタマは全部きれいにしてほしがってる。奴らが来る前に組織しないと。,
[BARK]IdleAlly_8,気を抜くな。警察に邪魔されるわけにはいかない。,
[BARK]IdleAlly_9,アルザバイールの、ミディの、そして偉大なるイエメンのための夜だ！,
[BARK]IdleEnemy_0,黙るか、じわじわと死ぬかだ！,
[BARK]IdleSelf_0,フン！アメリカのケダモノども！気に食わない！,
[BARK]IdleSelf_1,もっといい武器を持ってくればよかった。最低の銃だ。いつも詰まってる。,
[BARK]IdleSelf_2,これでザ・ハンドに敬意が向けられるかもな。,
[BARK]IdleSelf_3,惨めな国だ。,
[BARK]Immune_0,遊びはもういい！,
[BARK]Immune_1,そんなオモチャは効かない！,
[BARK]Immune_2,子供みたいな戦い方だな！,
[BARK]Immune_3,（アラビア語）,
[BARK]Immune_4,堂々と来い！,
[BARK]Immune_5,オーナーはどこだ？,
[BARK]Immune_6,ハ！悲しい奴だ！,
[BARK]Immune_7,覚悟しておけ！,
[BARK]IncapIdle_0,ああああ,
[BARK]IncapIdle_1,（悲鳴）,
[BARK]IncapIdle_2,（悲鳴）,
[BARK]IncapIdle_3,（悲鳴）,
[BARK]IncapIdle_4,（悲鳴）,
[BARK]NonCompliant_0,くたばれ！,
[BARK]NonCompliant_1,屈するつもりはない！,
[BARK]NonCompliant_2,クソ野郎！,
[BARK]NonCompliant_3,ゴメンだ！,
[BARK]NonCompliant_4,どこへも行かない！,
[BARK]NonCompliant_5,おい！捨てろ！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]Pain_6,ああ！,
[BARK]PickedUp_0,下ろせ、クソ野郎！,
[BARK]PickedUp_1,うせろ！,
[BARK]PickedUp_2,触るな！,
[BARK]PickedUp_3,ああ！兄弟たちといさせてくれ！,
[BARK]PlayerSeen_0,警察だ！,
[BARK]PlayerSeen_1,兄弟！警察が来た！,
[BARK]PlayerSeen_2,来たぞ！,
[BARK]PlayerSeen_3,（アラビア語）,
[BARK]PlayerSeen_4,入ってきた！,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Stunned_2,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[REPLY]Fleeing_0,（アラビア語）,
[REPLY]Fleeing_1,隠れろ！,
[REPLY]Fleeing_2,（アラビア語）,
[REPLY]Fleeing_3,行け！見ていてやる！,
[REPLY]Fleeing_4,行け、行け、行け！,
[REPLY]Reloading_0,援護する！,
[REPLY]Reloading_1,援護する！,
[REPLY]Reloading_2,（アラビア語）,
[REPLY]Reloading_3,（アラビア語）,
[REPLY]Reloading_4,（アラビア語）,
[REPLY]Shooting_0,あそこを狙え！,
[REPLY]Shooting_1,あっちを狙え！,
[REPLY]Shooting_2,援護射撃だ！,
[REPLY]Shooting_3,火力が足りない！,
[REPLY]Shooting_4,（アラビア語）,
[REPLY]Shooting_5,発砲！,
[REPLY]Shooting_6,あいつは任せろ！,
[REPLY]Shooting_7,撃ちまくれ！,
[TELL]Fleeing_0,（アラビア語）,
[TELL]Fleeing_1,（アラビア語）,
[TELL]Fleeing_2,退却する！,
[TELL]Fleeing_3,（アラビア語）,
[TELL]Reloading_0,リロード中！,
[TELL]Reloading_1,（アラビア語）,
[TELL]Reloading_2,（アラビア語）,
[TELL]Reloading_3,リロード中！,
[TELL]Shooting_0,ここで死ぬんだ！,
[TELL]Shooting_1,（アラビア語）,
[TELL]Shooting_2,皮をはいでやる！,
[TELL]Shooting_3,殺してやる！,
[TELL]Shooting_4,生きて帰しはしない！,
[TELL]Shooting_5,皆殺しだ！,
[TELL]Shooting_6,これで終わりだ！,
[TELL]Shooting_7,撃て！,
