Key,Dialogue,Context
[BARK]Arrested_0,逮捕したほうがいいのは政府だ。,
[BARK]Arrested_1,クソ野郎。,
[BARK]Arrested_10,スーツの奴らを逮捕しろ。,
[BARK]Arrested_11,令状はどこだ？,
[BARK]Arrested_12,何も言うことはない！,
[BARK]Arrested_13,汚れ仕事に送り出すのか？,
[BARK]Arrested_14,何なんだ？放せ！,
[BARK]Arrested_15,一方的に押し掛けてきて暴れ回るなんてありえない。,
[BARK]Arrested_16,何しに来た？,
[BARK]Arrested_17,営業の権利はある！,
[BARK]Arrested_18,ここの従業員だ！,
[BARK]Arrested_2,セキュリティ登録してある！,
[BARK]Arrested_3,何の権利もないだろ！,
[BARK]Arrested_4,クソ野郎…,
[BARK]Arrested_5,クソ野郎！,
[BARK]Arrested_6,うせろ！,
[BARK]Arrested_7,ありえない！,
[BARK]Arrested_8,こっちの税金から給料が出てるんだぞ！,
[BARK]Arrested_9,それより銀行家を逮捕しろ！,
[BARK]ArrestIdle_0,シフトのために頑張ってここまで来た。,
[BARK]ArrestIdle_1,,
[BARK]ArrestIdle_10,我々を追いかける予算はあるのに、本物の犯罪者を追いかける予算はないのか？,
[BARK]ArrestIdle_11,ありえない！,
[BARK]ArrestIdle_12,警察がここで何をしてる？,
[BARK]ArrestIdle_2,みんなくたばれ。,
[BARK]ArrestIdle_3,このせいでどれほどの失業者が出ると思う？,
[BARK]ArrestIdle_4,あんたたち…勝手に押し入って好き放題していいと思ってる？,
[BARK]ArrestIdle_5,クソ野郎ども！,
[BARK]ArrestIdle_6,また警察の過剰捜査？珍しくもない。,
[BARK]ArrestIdle_7,もう終わった？,
[BARK]ArrestIdle_8,ここはサーバーの運営をしてるだけだ。,
[BARK]ArrestIdle_9,法廷でどんな言い訳をしてくれるのかな。,
[BARK]Bashed_0,（うめき）,
[BARK]Bashed_1,（うめき）,
[BARK]Bashed_2,（うめき）,
[BARK]Bashed_3,（うめき）,
[BARK]Bashed_4,（うめき）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,クソ、分かったよ。,
[BARK]Compliant_1,クソ、分かった、分かった。,
[BARK]Compliant_10,いいか？動いてない！動いてない！,
[BARK]Compliant_11,聞こえてるよ。落ち着け。,
[BARK]Compliant_12,クソ、殺さないで！,
[BARK]Compliant_13,クソ！,
[BARK]Compliant_14,クソ！,
[BARK]Compliant_2,クソ、人員の無駄遣いだ。,
[BARK]Compliant_3,撃たないでくれ。,
[BARK]Compliant_4,クソ…撃たないでくれ。,
[BARK]Compliant_5,分かった、分かった。,
[BARK]Compliant_6,分かったよ！ただの従業員だ！,
[BARK]Compliant_7,ふざけてるんだろ。,
[BARK]Compliant_8,分かったよ。でも聞いてくれ、何も悪いことはしてない！,
[BARK]Compliant_9,分かった、分かった。動かないよ。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,ああ！ああ！ああ！,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]FellowAIKilled_0,ああ、クソ！,
[BARK]FellowAIKilled_1,ああ…ああ、クソ！,
[BARK]FellowAIKilled_2,クソ、クソ！,
[BARK]FellowAIKilled_3,何をしてる？,
[BARK]FellowAIKilled_4,イカれてる！,
[BARK]FellowAIKilled_5,やめろ、やめろ、やめろ！,
[BARK]Flashed_0,ああ！ああ、クソ！ああ！目が…目が…クソ！,
[BARK]Flashed_1,（悲鳴）,
[BARK]Flashed_2,（悲鳴）,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]Gassed_3,（咳）,
[BARK]HeardSWAT_0,あれは誰だ？,
[BARK]HeardSWAT_1,誰だ？,
[BARK]HeardSWAT_2,おい、誰だ？,
[BARK]HeardSWAT_3,誰かいる？,
[BARK]HeardSWAT_4,おい？,
[BARK]HeardSWAT_5,誰かいる。,
[BARK]HeardSWAT_6,ん？,
[BARK]HeardSWAT_7,どうなってる？,
[BARK]HeardSWAT_8,何なんだ？襲撃か？,
[BARK]Hesitating_0,えっと…,
[BARK]Hesitating_1,えっと…あー…あー…,
[BARK]Hesitating_2,あー...えっと...,
[BARK]Hesitating_3,クソ、えっと…,
[BARK]Hesitating_4,クソ…えっと…,
[BARK]Hesitating_5,クソ…,
[BARK]IdleAlly_0,サーバーを拭いちゃダメって、本気？,
[BARK]IdleAlly_1,全部持っていかれる。,
[BARK]IdleAlly_2,ここはもうダメだ。見てみろ！,
[BARK]IdleAlly_3,何ヶ月も前から言ってきた。メンテナンスを増やせって。,
[BARK]IdleAlly_4,ハードウェアよりセキュリティに金が使われてる。,
[BARK]IdleAlly_5,イチから作り直さないとな。,
[BARK]IdleAlly_6,言っただろ、モデレーションが必要だって。,
[BARK]IdleEnemy_0,みんな刑務所に入れられるんだ。,
[BARK]IdleEnemy_1,何をしてる？,
[BARK]IdleEnemy_2,イカれたのか？,
[BARK]IdleEnemy_3,これからどうなるか考えてみろ。,
[BARK]IdleEnemy_4,ここから目を離さないでおいてくれ。,
[BARK]IdleSelf_0,ああ、クソ。,
[BARK]IdleSelf_1,うう…,
[BARK]IdleSelf_2,まともな人間を雇うことくらいしかできない。,
[BARK]IdleSelf_3,メンテナンスめ。,
[BARK]IdleSelf_4,1人で解明しろだなんて。,
[BARK]IdleSelf_5,クソ。,
[BARK]IdleSelf_6,電気系統め。自分でやったほうがマシだ。,
[BARK]Immune_0,ああ、クソ！,
[BARK]Immune_1,何だ？,
[BARK]Immune_2,クソ！,
[BARK]Immune_3,クソ野郎！,
[BARK]Immune_4,クソ野郎！,
[BARK]IncapIdle_0,（悲鳴）,
[BARK]IncapIdle_1,（悲鳴）,
[BARK]IncapIdle_2,（悲鳴）,
[BARK]IncapIdle_3,（悲鳴）,
[BARK]KnifeThePlayer_0,（りきみ）,
[BARK]KnifeThePlayer_1,（りきみ）,
[BARK]KnifeThePlayer_2,（りきみ）,
[BARK]KnifeThePlayer_3,（りきみ）,
[BARK]KnifeThePlayer_4,（りきみ）,
[BARK]KnifeThePlayer_5,（りきみ）,
[BARK]NonCompliant_0,ああ、クソ野郎！,
[BARK]NonCompliant_1,くたばれ！,
[BARK]NonCompliant_2,話を聞く気はない！,
[BARK]NonCompliant_3,まず令状を見せろ！,
[BARK]NonCompliant_4,やってみろ！,
[BARK]NonCompliant_5,何も渡さない！,
[BARK]NonCompliant_6,何の権利もないだろ！,
[BARK]NonCompliant_7,何の権利もないだろ！,
[BARK]NonCompliant_8,おい！,
[BARK]NonCompliant_9,違法なものは何もない！,
[BARK]Pain_0,（苦しそうな怒鳴り声）,
[BARK]Pain_1,（苦しそうな怒鳴り声）,
[BARK]Pain_2,（苦しそうな怒鳴り声）,
[BARK]Pain_3,（苦しそうな怒鳴り声）,
[BARK]Pain_4,（苦しそうな怒鳴り声）,
[BARK]Pain_5,（苦しそうな怒鳴り声）,
[BARK]PickedUp_0,下ろしてくれ！,
[BARK]PickedUp_1,クソ野郎、下ろせ！,
[BARK]PickedUp_2,からかってる？,
[BARK]PickedUp_3,ああ、クソ！,
[BARK]PickedUp_4,ああ！,
[BARK]PlayerSeen_0,クソ,
[BARK]PlayerSeen_1,ああ、クソ！,
[BARK]PlayerSeen_10,おっと、撃たないで！,
[BARK]PlayerSeen_11,待て、待て、待て！,
[BARK]PlayerSeen_12,助けて！,
[BARK]PlayerSeen_13,助けて！助けて！,
[BARK]PlayerSeen_2,何だ？,
[BARK]PlayerSeen_3,何だ？,
[BARK]PlayerSeen_4,撃つな！,
[BARK]PlayerSeen_5,撃つな！撃つな！,
[BARK]PlayerSeen_6,クソ、警備員！,
[BARK]PlayerSeen_7,ああ、クソ！,
[BARK]PlayerSeen_8,ああ、クソ！,
[BARK]PlayerSeen_9,撃つな！,
[BARK]Stunned_0,（苦しそうな怒鳴り声）,
[BARK]Stunned_1,（苦しそうな怒鳴り声）,
[BARK]Stunned_2,（苦しそうな怒鳴り声）,
[BARK]Stunned_3,（苦しそうな怒鳴り声）,
[BARK]Tased_0,（苦しそうな怒鳴り声）,
[BARK]Tased_1,（苦しそうな怒鳴り声）,
[BARK]Tased_2,（苦痛に満ちた叫び声）,
[REPLY]Fleeing_0,待て！,
[REPLY]Fleeing_1,ま、待て！,
[REPLY]Fleeing_2,どこへ行く？,
[REPLY]Fleeing_3,戻って来い！,
[REPLY]Fleeing_4,止まれ！,
[REPLY]Shooting_0,ダメだ、サーバーに当てるな！,
[REPLY]Shooting_1,サーバーはダメだ、サーバーは！,
[REPLY]Shooting_2,クソ！,
[REPLY]Shooting_3,しゃがんでいろ！,
[REPLY]Shooting_4,しゃがんでいろ！,
[REPLY]Shooting_5,（悲鳴）,
[REPLY]Shooting_6,ああ！ああ！,
[REPLY]Shooting_7,ちゃんと見て撃て！,
[REPLY]Shooting_8,全部めちゃくちゃになる！,
[TELL]Fleeing_0,クソ,
[TELL]Fleeing_1,クソ！,
[TELL]Fleeing_2,クソ、クソ、警備員！,
[TELL]Fleeing_3,クソ！,
[TELL]Fleeing_4,もうたくさんだ！,
