Key,Dialogue,Context
[BARK]Arrested_0,このクソ野郎！,
[BARK]Arrested_1,何のつもりだ？,
[BARK]Arrested_10,クソ！,
[BARK]Arrested_11,ああ、クソ！,
[BARK]Arrested_12,クソ！,
[BARK]Arrested_13,何をしてるんだ？,
[BARK]Arrested_14,いきなり来やがって！,
[BARK]Arrested_15,何がどうなってるんだ。,
[BARK]Arrested_16,俺は何も関係ない！,
[BARK]Arrested_17,従業員に聞け！俺は何も知らない！,
[BARK]Arrested_18,ああ、クソ野郎！,
[BARK]Arrested_19,クソ、クソ、クソ！,
[BARK]Arrested_2,何なんだ？,
[BARK]Arrested_3,ああ、クソ！,
[BARK]Arrested_4,ああ、クソ！,
[BARK]Arrested_5,何なんだ？あんたら、警察か？,
[BARK]Arrested_6,クソ、バッジを見せろ！,
[BARK]Arrested_7,クソ野郎ども！,
[BARK]Arrested_8,クソ野郎ども！,
[BARK]Arrested_9,役立たずども！,
[BARK]ArrestIdle_0,お前らが警察だなんて知るかよ！,
[BARK]ArrestIdle_1,何をしてるんだ？,
[BARK]ArrestIdle_2,どういうことか教えてくれるのか？何なんだ？,
[BARK]ArrestIdle_3,次から次へと人が押し入ってきやがる！,
[BARK]ArrestIdle_4,警察なら証拠を見せろ！,
[BARK]ArrestIdle_5,バッジも令状もない。お前たち、言い逃れはできないぞ。,
[BARK]ArrestIdle_6,俺はここの警備員だ。,
[BARK]ArrestIdle_7,サーバーに違法なものはない！話を聞いてくれ！,
[BARK]ArrestIdle_8,クソ！,
[BARK]ArrestIdle_9,ああ、クソ！,
[BARK]Bashed_0,（うめき）,
[BARK]Bashed_1,（うめき）,
[BARK]Bashed_2,（うめき）,
[BARK]Bashed_3,（うめき）,
[BARK]Bashed_4,（うめき）,
[BARK]Bashed_5,（うめき）,
[BARK]Bashed_6,（うめき）,
[BARK]Bashed_7,（うめき）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Breathing_3,（荒い息遣い）,
[BARK]Breathing_4,（荒い息遣い）,
[BARK]Compliant_0,よし、終わったな？,
[BARK]Compliant_1,分かった、分かった。終わりだな？,
[BARK]Compliant_10,分かったよ！,
[BARK]Compliant_11,分かった！,
[BARK]Compliant_12,はいはい、分かったよ！,
[BARK]Compliant_13,誤解なんだ！,
[BARK]Compliant_14,こんなことで死にたくない！,
[BARK]Compliant_15,俺が撃たれると思うのか？,
[BARK]Compliant_16,分かった、分かった！,
[BARK]Compliant_17,クソ！,
[BARK]Compliant_18,ああ、クソ！,
[BARK]Compliant_19,ああ、クソ、分かったよ！,
[BARK]Compliant_2,撃つな、降伏する！,
[BARK]Compliant_3,撃つな、降伏する！,
[BARK]Compliant_4,降伏だ！,
[BARK]Compliant_5,降伏だ！,
[BARK]Compliant_6,下ろすぞ！,
[BARK]Compliant_7,分かった、下ろすぞ！,
[BARK]Compliant_8,落ち着け、もう終わった！,
