Key,Dialogue,Context
[BARK]Arrested_0,このポリ公が！俺を放せよ、なぁ？,
[BARK]Arrested_1,アスベストの除去に来ただけだ！,
[BARK]Arrested_2,神は己を守る者だけを守るんだ。,
[BARK]Arrested_3,（ロシア語で話している）,
[BARK]Arrested_4,（ロシア語で話している）,
[BARK]Compliant_0,手は上げているぞ！,
[BARK]Compliant_1,降伏だ！,
[BARK]Compliant_2,わかった、撃つのをやめてくれ！,
[BARK]Compliant_3,わかったわかった、お前の勝ちだ、銃は持っていない！,
[BARK]Compliant_4,クソ野郎め！,
[BARK]Compliant_5,俺はそんな厳しいこと求めてねえよ。,
[BARK]Compliant_6,（ロシア語で話している）,
[BARK]Compliant_7,わかった！わかった！お前の勝ちだ！銃なんて持ってねえって！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,アァァァ！,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,あーあーっ！,
[BARK]Death_18,おぉーっ！,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,ああ、ちくしょ！,
[BARK]FellowAIKilled_1,そんな！,
[BARK]FellowAIKilled_2,（ロシア語で話している）,
[BARK]FellowAIKilled_3,（ロシア語で話している）,
[BARK]FellowAIKilled_4,（ロシア語で話している）,
[BARK]FellowAIKilled_5,ああ、クソッ！,
[BARK]FellowAIKilled_6,そんな！,
[BARK]Flashed_0,（悲鳴）,
[BARK]Flashed_1,（悲鳴）,
[BARK]IdleAlly_0,（溜め息）,
[BARK]IdleAlly_1,（ロシア語で話している）,
[BARK]IdleAlly_2,くそガキどもが！,
[BARK]IdleEnemy_0,動いてみろ！頭に弾をぶち込むぞ！,
[BARK]IdleEnemy_1,動いてみろ！蜂の巣にするぞ！,
[BARK]IdleEnemy_2,（ロシア語で話している）,
[BARK]IdleEnemy_3,（ロシア語で話している）,
[BARK]IdleSelf_0,独り言をする癖を直さないとな。,
[BARK]IdleSelf_1,（溜め息）,
[BARK]NonCompliant_0,俺は諦めねぇ！,
[BARK]NonCompliant_1,（ロシア語で話している）,
[BARK]NonCompliant_2,（ロシア語で話している）,
[BARK]NonCompliant_3,捕まってたまるか！,
[BARK]PlayerSeen_0,クソ！,
[BARK]PlayerSeen_1,ああ！,
[BARK]PlayerSeen_2,（ロシア語で話している）,
[BARK]PlayerSeen_3,見えたぞ！,
[BARK]PlayerSeen_4,警察だ！,
[BARK]PlayerSeen_5,警察が来たぞ！,
[BARK]PlayerSeen_6,（ロシア語で話している）,
[BARK]PlayerSeen_7,（ロシア語で話している）,
[BARK]PlayerSeen_8,（ロシア語で話している）,
[TELL]Fleeing_0,俺は逃げるぜ！,
[TELL]Fleeing_1,俺は逃げるぜ！,
[TELL]Fleeing_2,助けが必要だ！,
[TELL]Fleeing_3,援助が必要だ！,
[TELL]Fleeing_4,（ロシア語で話している）,
[TELL]Fleeing_5,（ロシア語で話している）,
[TELL]Fleeing_6,集まれ！,
[TELL]Fleeing_7,（ロシア語で話している）,
[TELL]Shooting_0,そう遠くは逃げられないよ。,
[TELL]Shooting_1,ヘヘヘ！,
[TELL]Shooting_2,殺してやる！,
