Key,Dialogue,Context
[BARK]Arrested_0,ここで生まれたんだぜ。俺はアメリカ市民だ。,
[BARK]Arrested_1,ここで生まれたんだぜ。俺はアメリカ市民だ。,
[BARK]Arrested_2,お前には分かるわけねえよ。,
[BARK]Arrested_3,この女々しい弱虫め。,
[BARK]Arrested_4,お前らここで何してんだ？,
[BARK]Arrested_5,連中に殺される！,
[BARK]Arrested_6,連中にバレたら、マジで殺される。,
[BARK]Arrested_7,クソッ、連中に殺される！,
[BARK]Compliant_0,わかった、手を上げるって！,
[BARK]Compliant_1,手を上げてるって！,
[BARK]Compliant_2,わかったから、やめろ！降参するから、くそっ！,
[BARK]Compliant_3,わかったから、やめろ！降参するから！,
[BARK]Compliant_4,撃つな！,
[BARK]Compliant_5,わかった！降参するから撃つな！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,あああ！,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,くそ！くそ！,
[BARK]FellowAIKilled_1,ああ、クソッ！,
[BARK]FellowAIKilled_2,おい、やめろ！クソッ！,
[BARK]FellowAIKilled_3,やめろ！殺しやがったな！,
[BARK]FellowAIKilled_4,やめろ！クソッ！,
[BARK]FellowAIKilled_5,やめろ！殺しやがったな！,
[BARK]FellowAIKilled_6,クソ野郎！,
[BARK]Flashed_0,（苦痛に満ちた叫び声）,
[BARK]Flashed_1,（苦痛に満ちた叫び声）,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]Gassed_3,（咳）,
[BARK]Gassed_4,（咳）,
[BARK]HeardSWAT_0,クソッ。,
[BARK]HeardSWAT_1,くそ。,
[BARK]HeardSWAT_2,こっちだ！,
[BARK]HeardSWAT_3,捕まえたぞ、クソ野郎。,
[BARK]HitThePlayer_0,一人撃ったぞ！,
[BARK]HitThePlayer_1,ヒヒヒヒヒ！,
[BARK]IdleAlly_0,真夏なのに、なんでこんな雨が降ってんだ。,
[BARK]IdleAlly_1,ちくしょう、雨で何も見えねえ。,
[BARK]IdleEnemy_0,これをどう捌くか見ててやる、クソ野郎。,
[BARK]IdleSelf_0,（溜め息）,
[BARK]IdleSelf_1,掛かってこいよ、雑魚が。,
[BARK]NonCompliant_0,クソ野郎！,
[BARK]NonCompliant_1,クソ野郎！,
[BARK]NonCompliant_2,くそ食らえ！,
[BARK]NonCompliant_3,クソ野郎！,
[BARK]NonCompliant_4,クソ野郎！,
[BARK]NonCompliant_5,クソ野郎！,
[BARK]PlayerKillsCivilian_0,心配がひとつ減ったぜ！,
[BARK]PlayerSeen_0,クソ！,
[BARK]PlayerSeen_1,全員、固まれ！,
[BARK]PlayerSeen_10,あいつ、生理中か！,
[BARK]PlayerSeen_11,うぐっ、ポリシアだ！,
[BARK]PlayerSeen_2,誰も動くな！,
[BARK]PlayerSeen_3,お前、逃げるんじゃねえぞ！,
[BARK]PlayerSeen_4,どこへ行くつもりだ？！,
[BARK]PlayerSeen_5,くそ。,
[BARK]PlayerSeen_6,クソッタレ！,
[BARK]PlayerSeen_7,こっちから入って来るぞ！,
[BARK]PlayerSeen_8,あいつら来やがった！,
[BARK]PlayerSeen_9,こっちから入って来るぞ！,
[TELL]Fleeing_0,駄犬どもが俺らを殺しにきた、急げ、急げ！,
[TELL]Fleeing_1,俺らを殺す気だ！,
[TELL]Fleeing_2,クソッ、俺らを殺す気だ！,
[TELL]Fleeing_3,俺らを殺す気だ、逃げろ！,
[TELL]Fleeing_4,クソッ、俺らを殺す気だ！,
[TELL]Fleeing_5,助けてくれ！,
[TELL]Fleeing_6,やられた！,
[TELL]Fleeing_7,やられた、助けてくれ！,
[TELL]Shooting_0,てめえを殺してやる！,
[TELL]Shooting_1,腰抜けが！,
[TELL]Shooting_2,戻って来い！,
[TELL]Shooting_3,全員、固まれ！,
[TELL]Shooting_4,役立たずめ。,
[TELL]Shooting_5,へへへへへへへへ！,
[TELL]Shooting_6,ハハハハ！,
[TELL]Shooting_7,これでも食らえ、このクソ野郎！へへへへへへへへ！,
