Key,Dialogue,Context
[BARK]Arrested_0,外して！,
[BARK]Arrested_1,（うめき声）,
[BARK]Arrested_10,放して！,
[BARK]Arrested_11,放して！,
[BARK]Arrested_12,あんたたちとは違う。,
[BARK]Arrested_2,（うめき声）,
[BARK]Arrested_3,すべきことをしたまでよ！,
[BARK]Arrested_4,後悔はない。,
[BARK]Arrested_5,これじゃ誰も助からない！,
[BARK]Arrested_6,してないことはできない。,
[BARK]Arrested_7,くたばれ！,
[BARK]Arrested_8,彼女の言う通りよ。全てがね。,
[BARK]Arrested_9,彼女の言う通りよ。全てがね。,
[BARK]ArrestIdle_0,じわじわと死んでいくのを楽しみにしてるわ。,
[BARK]ArrestIdle_1,こっちよ！,
[BARK]ArrestIdle_2,こっちよ！,
[BARK]ArrestIdle_3,エレインが閉じ込めた。,
[BARK]ArrestIdle_4,苦痛と悲惨な毎日はどうにもならない。,
[BARK]Bashed_0,（うめき声）,
[BARK]Bashed_1,（うめき声）,
[BARK]Bashed_2,（うめき声）,
[BARK]Bashed_3,（うめき声）,
[BARK]Breathing_0,（咳）,
[BARK]Breathing_1,（咳）,
[BARK]Breathing_2,（咳）,
[BARK]Breathing_3,（咳）,
[BARK]Compliant_0,終わりよ！,
[BARK]Compliant_1,捨てた！他に何も持ってない！,
[BARK]Compliant_10,やってやる。,
[BARK]Compliant_11,やってやる！,
[BARK]Compliant_12,分かった、分かった、もうやめて！,
[BARK]Compliant_13,分かった、もうやめて！,
[BARK]Compliant_2,降参よ！,
[BARK]Compliant_3,撃たないで、降参する！,
[BARK]Compliant_4,撃たないで、降参する！,
[BARK]Compliant_5,もういい！もうたくさんよ！,
[BARK]Compliant_6,もういい！もうやめて！,
[BARK]Compliant_7,分かった、分かった！,
[BARK]Compliant_8,やめるから！,
[BARK]Compliant_9,何もしない！,
[BARK]Death_0,（ゴボゴボという音）,
[BARK]Death_1,（ゴボゴボという音）,
[BARK]Death_2,（ゴボゴボという音）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]FellowAIKilled_0,ああ！,
[BARK]FellowAIKilled_1,（悲鳴）,
[BARK]FellowAIKilled_2,ウソ！,
[BARK]FellowAIKilled_3,ウソ！,
[BARK]FellowAIKilled_4,ウソでしょ！,
[BARK]Flashed_0,（悲鳴）,
[BARK]Flashed_1,,
[BARK]Flashed_2,ああ！目が！目が！何も見えない！何も見えない！,
[BARK]Gassed_0,（悲鳴）,
[BARK]Gassed_1,（悲鳴）,
[BARK]Gassed_2,（悲鳴）,
[BARK]HeardSWAT_0,誰かいる。,
[BARK]HeardSWAT_1,誰？,
[BARK]HeardSWAT_2,誰？,
[BARK]HeardSWAT_3,ちょっと。,
[BARK]HeardSWAT_4,あれは何？,
[BARK]HeardSWAT_5,あれは何？,
[BARK]HeardSWAT_6,今のは何？,
[BARK]HeardSWAT_7,今のは何？,
[BARK]HeardSWAT_8,シッ...,
[BARK]HeardSWAT_9,聞いて。,
[BARK]Hesitating_0,いや…,
[BARK]Hesitating_1,あー…,
[BARK]Hesitating_2,え…えっと…,
[BARK]Hesitating_3,うーん…,
[BARK]Hesitating_4,Uフォールズ,
[BARK]Hesitating_5,,
[BARK]Hesitating_6,クソ。,
[BARK]Hesitating_7,クソ。,
[BARK]IdleAlly_0,彼女を信じる。,
[BARK]IdleAlly_1,彼女のおかげでここまで来られた。,
[BARK]IdleAlly_2,これが唯一の家族よ。,
[BARK]IdleAlly_3,何なの？,
[BARK]IdleAlly_4,怖がらなくていい。助け合いよ。,
[BARK]IdleAlly_5,私たちは姉妹よ。,
[BARK]IdleEnemy_0,どうしよう？,
[BARK]IdleEnemy_1,何なの？,
[BARK]IdleEnemy_2,すべきことをする準備はできてる。,
[BARK]IdleEnemy_3,ここが私の居場所。,
[BARK]IdleSelf_0,ああ。,
[BARK]IdleSelf_1,次は私の番よ。,
[BARK]IdleSelf_2,あなたは値しない。,
[BARK]IdleSelf_3,（独り笑い）,
[BARK]IdleSelf_4,（独り笑い）,
[BARK]IdleSelf_5,頭の…中から出ていって…,
[BARK]IdleSelf_6,つるを運ぶ。つるを運ぶ。つるを運ぶ。,
[BARK]Immune_0,（悲鳴）,
[BARK]Immune_1,（悲鳴）,
[BARK]Immune_2,何？,
[BARK]Immune_3,イエー！,
[BARK]Immune_4,ああ！,
[BARK]Immune_5,クソ！,
[BARK]Immune_6,クソ,
[BARK]IncapIdle_0,（悲鳴）,
[BARK]IncapIdle_1,（悲鳴）,
[BARK]IncapIdle_2,（悲鳴）,
[BARK]KnifeThePlayer_0,ああ！,
[BARK]KnifeThePlayer_1,ああ！,
[BARK]KnifeThePlayer_2,クソ警官！,
[BARK]KnifeThePlayer_3,クソ野郎！,
[BARK]NonCompliant_0,ウソ！,
[BARK]NonCompliant_1,嫌よ！,
[BARK]NonCompliant_10,ここが私の家！,
[BARK]NonCompliant_11,ここが私の家！,
[BARK]NonCompliant_12,うせろ！,
[BARK]NonCompliant_13,姉妹たちを傷つけさせはしない。,
[BARK]NonCompliant_14,これは私の分。,
[BARK]NonCompliant_15,これはみんなの分。,
[BARK]NonCompliant_2,嫌よ！,
[BARK]NonCompliant_3,あいつの所に戻る気はない！,
[BARK]NonCompliant_4,ここを離れるつもりはない！,
[BARK]NonCompliant_5,ここを離れない！,
[BARK]NonCompliant_6,ここを離れない！,
[BARK]NonCompliant_7,どこへも行かない！,
[BARK]NonCompliant_8,自分の居場所にいることにする。,
[BARK]NonCompliant_9,自分の居場所にいることにする！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,ああ、クソ野郎！,
[BARK]PickedUp_1,（うめき声）,
[BARK]PickedUp_2,ああ！下ろして！,
[BARK]PickedUp_3,（うめき声）,
[BARK]PickedUp_4,ちょっと！,
[BARK]PlayerSeen_0,あなたはお呼びじゃない。,
[BARK]PlayerSeen_1,ちょっと、ウソでしょ。,
[BARK]PlayerSeen_2,ウソ！,
[BARK]PlayerSeen_3,ねえ！,
[BARK]PlayerSeen_4,こっちよ！,
[BARK]PlayerSeen_5,警察！,
[BARK]PlayerSeen_6,まだいる！,
[BARK]PlayerSeen_7,来ないで！,
[BARK]PlayerSeen_8,姉妹たちを傷つけさせはしない。,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,ああ！ああ！ああ！,
[BARK]Stunned_2,うう！うう！うう！,
[BARK]Stunned_3,（苦痛に満ちた叫び声）,
[BARK]Stunned_4,ああ！ああ！ああ！,
[BARK]Stunned_5,ダメ！うう！ああ！うう！うう！うう！,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[BARK]Tased_2,（苦痛に満ちた叫び声）,
[BARK]Tased_3,（苦痛に満ちた叫び声）,
[REPLY]Fleeing_0,助けを呼んで！,
[REPLY]Fleeing_1,エレインを助けに行って！,
[REPLY]Fleeing_2,ここにいて！,
[REPLY]Fleeing_3,戻るのよ！早く！,
[REPLY]Shooting_0,エレインを守って！,
[REPLY]Shooting_1,こいつら、どこから来たの？,
[REPLY]Shooting_2,奴らを止めないと！,
[REPLY]Shooting_3,殺せ！,
[REPLY]Shooting_4,殺せ！,
[TELL]Fleeing_0,助けて！,
[TELL]Fleeing_1,来ないで！,
[TELL]Fleeing_2,来ないで！,
[TELL]Fleeing_3,来ないで！,
[TELL]Fleeing_4,助けを呼ぶ！,
[TELL]Shooting_0,彼女は渡さない！,
[TELL]Shooting_1,誰も連れて行かせない！,
[TELL]Shooting_2,銃を捨てて！,
[TELL]Shooting_3,殺してやる。,
[TELL]Shooting_4,クソ野郎！,
[TELL]Shooting_5,死ね！,
