Key,Dialogue,Context
[BARK]Arrested_0,みんなに新しい人生を歩ませてあげてるのよ！,
[BARK]Arrested_1,他の虐待者と何も変わらない！,
[BARK]Arrested_10,（笑い）,
[BARK]Arrested_2,これじゃ誰も助からない！,
[BARK]Arrested_3,超一流のクソ野郎ね！,
[BARK]Arrested_4,まだまだ、この程度じゃない。,
[BARK]Arrested_5,まだまだ、この程度じゃない。,
[BARK]Arrested_6,まだ終わってない。,
[BARK]Arrested_7,まだ終わってない！,
[BARK]Arrested_8,他のみんなには手を出さないで。,
[BARK]Arrested_9,死ぬまで背後に気をつけないといけない人生になるわよ。,
[BARK]ArrestIdle_0,みんなに新しい人生を歩ませてあげたの！,
[BARK]ArrestIdle_1,ここに来た人はみんな救われてる。,
[BARK]ArrestIdle_2,ここにいるのは選ばれた女性たちよ。新たな素晴らしい人生を生きるようにとね。,
[BARK]ArrestIdle_3,これで終わりだと思う？,
[BARK]ArrestIdle_4,私たちはあらゆる所にいる。,
[BARK]ArrestIdle_5,私たちはあらゆる所にいる！,
[BARK]ArrestIdle_6,外してよ…みんなを止めるから！,
[BARK]Bashed_0,（うめき声）,
[BARK]Bashed_1,（うめき声）,
[BARK]Bashed_2,（うめき声）,
[BARK]Bashed_3,（うめき声）,
[BARK]Bashed_4,（うめき声）,
[BARK]Bashed_5,（うめき声）,
[BARK]Bashed_6,（うめき声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,よし。そしてもう少し急いでて恐ろしくて、おびえてて、少しおびえてる。欲しい？,
[BARK]Compliant_0,クソ！,
[BARK]Compliant_1,クソ！,
[BARK]Compliant_10,あんたの勝ち。,
[BARK]Compliant_11,了解。,
[BARK]Compliant_12,膝をつく？,
[BARK]Compliant_13,分かったわ。,
[BARK]Compliant_14,分かったわ。,
[BARK]Compliant_15,分かった。,
[BARK]Compliant_16,オーケー！,
[BARK]Compliant_17,やってる！,
[BARK]Compliant_18,（笑い）,
[BARK]Compliant_19,私は何も持ってない！,
[BARK]Compliant_2,（うめき声）,
[BARK]Compliant_3,（うめき声）,
[BARK]Compliant_4,（うめき声）,
[BARK]Compliant_5,（うめき声）,
[BARK]Compliant_6,捨てた。,
[BARK]Compliant_7,ほら！捨てた。,
[BARK]Compliant_8,今から下ろす！,
[BARK]Compliant_9,下ろすわ。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（ゴボゴボという音）,
[BARK]Death_2,（ゴボゴボという音）,
[BARK]Death_3,（ゴボゴボという音）,
[BARK]FellowAIKilled_0,ああ！,
[BARK]FellowAIKilled_1,ああ！,
[BARK]FellowAIKilled_2,ああ！,
[BARK]FellowAIKilled_3,（苦痛に満ちた叫び声）,
[BARK]FellowAIKilled_4,クソ！,
[BARK]FellowAIKilled_5,立って！,
[BARK]FellowAIKilled_6,そこにいて！,
[BARK]Flanking_0,逃がさないで。,
[BARK]Flanking_1,逃がさないで。,
[BARK]Flanking_10,,
[BARK]Flanking_11,分断よ！,
[BARK]Flanking_2,奴らを止める！,
[BARK]Flanking_3,そこにいて！,
[BARK]Flanking_4,あそこよ！,
[BARK]Flanking_5,あそこよ！,
[BARK]Flanking_6,あそこよ！,
[BARK]Flanking_7,逃げたほうがいい。,
[BARK]Flanking_8,逃げたほうがいい！,
[BARK]Flanking_9,逃げたほうがいい！,
[BARK]Flashed_0,ああ！クソ！何も見えない！,
[BARK]Flashed_1,クソ！,
[BARK]Flashed_2,ああ！どう？クソ！,
[BARK]Flashed_3,ああ、何も見えない！目が！ああ！,
[BARK]Flashed_4,（苦痛に満ちた叫び声）,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]HeardSWAT_0,ああ、助けて！,
[BARK]HeardSWAT_1,助けて！ああ、助けて！,
[BARK]HeardSWAT_10,ねえ…,
[BARK]HeardSWAT_11,ねえ！,
[BARK]HeardSWAT_12,行って！,
[BARK]HeardSWAT_13,行って！,
[BARK]HeardSWAT_14,来る。,
[BARK]HeardSWAT_15,彼らよ！,
[BARK]HeardSWAT_16,彼らよ。,
[BARK]HeardSWAT_2,クソ！,
[BARK]HeardSWAT_3,クソ！,
[BARK]HeardSWAT_4,準備して。,
[BARK]HeardSWAT_5,準備して。,
[BARK]HeardSWAT_6,奴らが来た。,
[BARK]HeardSWAT_7,奴らが来た！,
[BARK]HeardSWAT_8,イブ？,
[BARK]HeardSWAT_9,イブ！,
[BARK]Hesitating_0,え…えっと…,
[BARK]Hesitating_1,うーん…,
[BARK]Hesitating_2,あー…,
[BARK]Hesitating_3,うーん…,
[BARK]Hesitating_4,ああ。,
[BARK]Hesitating_5,ああ。,
[BARK]Hesitating_6,ああ、クソ。,
[BARK]Hostage_0,あと一歩前に出れば死ぬ。,
[BARK]Hostage_1,ハ！もっと血が欲しい？,
[BARK]Hostage_2,やってやる。,
[BARK]Hostage_3,あと一歩前に出れば死ぬ！,
[BARK]Hostage_4,もっと血が欲しい？,
[BARK]Hostage_5,やってやる！,
[BARK]IdleAlly_0,彼に何をされたか思い出して。,
[BARK]IdleAlly_1,彼らに何をされたか思い出して。,
[BARK]IdleAlly_2,新しい自分を見せられるようになるわ。,
[BARK]IdleAlly_3,準備して。,
[BARK]IdleAlly_4,復讐のチャンスよ。,
[BARK]IdleAlly_5,あなたは彼よりすごい。,
[BARK]IdleAlly_6,チャンスよ。,
[BARK]IdleAlly_7,誰かにつけられた？,
[BARK]IdleEnemy_0,あなたは彼よりすごい。,
[BARK]IdleEnemy_1,諦めないで！ずっとひどい目に遭ってきたでしょ！,
[BARK]IdleEnemy_2,あなたに比べると彼らは何でもない。,
[BARK]IdleEnemy_3,彼らはあなたを苦しめて楽しんでる。,
[BARK]IdleEnemy_4,生まれ変わったあなたを見せてあげて。,
[BARK]IdleEnemy_5,生まれ変わったあなたを見せてあげて。,
[BARK]IdleEnemy_6,彼らはあなたをさらって虐待しようとしてくる。,
[BARK]IdleSelf_0,（溜め息）,
[BARK]IdleSelf_1,ああ。,
[BARK]IdleSelf_2,これしかない。,
[BARK]IdleSelf_3,（うめき声）,
[BARK]IdleSelf_4,おっと、次は戻るのね。,
[BARK]IdleSelf_5,基本命令を聞けない！,
[BARK]IdleSelf_6,ああ！基本命令を聞けない！,
[BARK]IdleSelf_7,ついに来た。,
[BARK]Immune_0,（笑い）,
[BARK]Immune_1,ああ、バカな子。,
[BARK]Immune_10,クソ,
[BARK]Immune_2,バカな子。,
[BARK]Immune_3,バカな子。,
[BARK]Immune_4,（笑い）,
[BARK]Immune_5,ハハハハ、バカな子。,
[BARK]Immune_6,ハハハハ！無駄ね！,
[BARK]Immune_7,無駄ね。,
[BARK]Immune_8,ああ！,
[BARK]Immune_9,クソ,
[BARK]IncapIdle_0,（悲鳴）,
[BARK]IncapIdle_1,（悲鳴）,
[BARK]IncapIdle_2,（悲鳴）,
[BARK]KillCivilian_0,これで自由よ。,
[BARK]KillCivilian_1,これで自由よ。,
[BARK]KillCivilian_2,目を閉じて。,
[BARK]KillCivilian_3,すぐ済ませる。,
[BARK]KillCivilian_4,すぐ済ませる。,
