Key,Dialogue,Context
[BARK]Arrested_0,あなたは自分が何をやっているのか、わかっていないわ。,
[BARK]Arrested_1,ここは私たちの家よ。,
[BARK]Arrested_10,あなたは他の連中と同じよ。,
[BARK]Arrested_11,あなたは他の連中と同じよ！,
[BARK]Arrested_2,こんなことしていいと思ってるの？,
[BARK]Arrested_3,私たちは数え切れない命を救った。,
[BARK]Arrested_4,彼女を連れて行かないで！私たちには彼女が必要なの！,
[BARK]Arrested_5,もう誰も傷つけないで。お願い。,
[BARK]Arrested_6,こんなことしないで！お願い！,
[BARK]Arrested_7,こんなことしないで。お願い。,
[BARK]Arrested_8,あなたも同じよ。,
[BARK]Arrested_9,こんなことしても何も変わらないわ。,
[BARK]ArrestIdle_0,私をここから引き離すことなんてできないわ。ここが私の家よ。,
[BARK]ArrestIdle_1,今は戻るわけにはいかないわ。,
[BARK]ArrestIdle_2,エレインは私たち全員に新しい人生を与えてくれたの。,
[BARK]ArrestIdle_3,私を治すことなんてできないわ、誰にも。,
[BARK]ArrestIdle_4,あなたには何も変えられない。,
[BARK]ArrestIdle_5,もう手遅れよ。,
[BARK]Bashed_0,（うめき声）,
[BARK]Bashed_1,（うめき声）,
[BARK]Bashed_2,（うめき声）,
[BARK]Bashed_3,（うめき声）,
[BARK]Bashed_4,（うめき声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,これ以上は嫌よ。,
[BARK]Compliant_1,もうたくさんよ！,
[BARK]Compliant_2,お願い、もうやめて！,
[BARK]Compliant_3,もう終わりにしたいの。,
[BARK]Compliant_4,もう終わりにしたいの。,
[BARK]Compliant_5,もうやめて。,
[BARK]Compliant_6,わかったわ。,
[BARK]Compliant_7,撃たないで！,
[BARK]Compliant_8,撃たないで！,
[BARK]Compliant_9,もうこれ以上、誰にも傷ついて欲しくないの。,
[BARK]Death_0,（ゴボゴボという音）,
[BARK]Death_1,（ゴボゴボという音）,
[BARK]Death_2,（ゴボゴボという音）,
[BARK]Death_3,（ゴボゴボという音）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]FellowAIKilled_0,あああああ！,
[BARK]FellowAIKilled_1,（悲鳴）,
[BARK]FellowAIKilled_2,（悲鳴）,
[BARK]FellowAIKilled_3,いやっ！,
[BARK]FellowAIKilled_4,やめて！,
[BARK]FellowAIKilled_5,やめて！,
[BARK]FellowAIKilled_6,ちょっと！,
[BARK]FellowAIKilled_7,（悲鳴）,
[BARK]Flashed_0,（苦痛に満ちた叫び声）,
[BARK]Flashed_1,ああ、目が！,
[BARK]Flashed_2,痛い！ああ、いやっ、目が見えないわ！,
[BARK]Flashed_3,いやっ！いやっ！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]HeardSWAT_0,誰？！,
[BARK]HeardSWAT_1,エレイン！,
[BARK]HeardSWAT_2,誰かいるの？出てきなさい！,
[BARK]HeardSWAT_3,ねぇ！,
[BARK]HeardSWAT_4,えっ？,
[BARK]HeardSWAT_5,えっ？！,
[BARK]Hesitating_0,私…私は…,
[BARK]Hesitating_1,え…えっと…,
[BARK]Hesitating_2,え…えっと…,
[BARK]Hesitating_3,どうしょう、私…,
[BARK]IdleAlly_0,もう何も覚えていないわ、記憶は全部消えたの。,
[BARK]IdleAlly_1,とある男性の事は覚えているわ。きっと彼のことを愛してたのね。,
[BARK]IdleAlly_2,今度は私たちの番よ。,
[BARK]IdleAlly_3,目を閉じるたびにね。,
[BARK]IdleEnemy_0,私も一度は迷っていたわ。,
[BARK]IdleEnemy_1,私はここで目的を見つけたの。あなたもそうなるわ。,
[BARK]IdleEnemy_2,私たちはここにいるべきなの。,
[BARK]IdleEnemy_3,私はここを離れられない。離れたくないの。,
[BARK]IdleSelf_0,うぅ。,
[BARK]IdleSelf_1,やめて。やめて、やめて、やめて。,
[BARK]IdleSelf_2,（泣き声）,
[BARK]IdleSelf_3,なんで？なんで？なんで？なんで？なんで？なんで？,
[BARK]IdleSelf_4,今度は私の番よ。,
[BARK]Immune_0,あああ！,
[BARK]Immune_1,（うめき声）,
[BARK]Immune_2,うぐっ！,
[BARK]Immune_3,ああ、もうっ！,
[BARK]IncapIdle_0,いやああっ！,
[BARK]IncapIdle_1,（悲鳴）,
[BARK]IncapIdle_2,（悲鳴）,
[BARK]KnifeThePlayer_0,うぐっ！,
[BARK]KnifeThePlayer_1,（うめき声）,
[BARK]KnifeThePlayer_2,クズ！,
[BARK]NonCompliant_0,いやっ！,
[BARK]NonCompliant_1,いやっ！,
[BARK]NonCompliant_2,行かないわ。,
[BARK]NonCompliant_3,できないわ、嫌よ！,
[BARK]NonCompliant_4,私、行かないわ！,
[BARK]NonCompliant_5,私はどこにも行かないわ！,
[BARK]NonCompliant_6,私を連れて行かないで！,
[BARK]NonCompliant_7,私を連れて行かないで！,
[BARK]NonCompliant_8,死ね！,
[BARK]NonCompliant_9,こっちに来ないで！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,連れて行かないで！,
[BARK]PickedUp_1,お願い！,
[BARK]PlayerSeen_0,撃たないで！,
[BARK]PlayerSeen_1,乱暴はやめて！,
[BARK]PlayerSeen_10,来ないで！,
[BARK]PlayerSeen_11,それ以上近づかないで！,
[BARK]PlayerSeen_2,乱暴はやめて！,
[BARK]PlayerSeen_3,助けて！,
[BARK]PlayerSeen_4,エレイン！,
[BARK]PlayerSeen_5,まさか！,
[BARK]PlayerSeen_6,なんで、ありえないわ！,
[BARK]PlayerSeen_7,助けて！,
[BARK]PlayerSeen_8,そのまま動かないで！,
[BARK]PlayerSeen_9,動かないで！,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Stunned_2,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[REPLY]Fleeing_0,どこに行くの？,
[REPLY]Fleeing_1,私を置いていかないで！,
[REPLY]Fleeing_2,待って！,
[REPLY]Fleeing_3,やめて！,
[REPLY]Shooting_0,（悲鳴）,
[REPLY]Shooting_1,やめて！,
[REPLY]Shooting_2,やめて！,
[TELL]Fleeing_0,助けて！,
[TELL]Fleeing_1,こっちよ！,
[TELL]Fleeing_2,こっちよ！,
[TELL]Fleeing_3,もう、いやっ！,
[TELL]Fleeing_4,（苦痛に満ちた叫び声）,
[TELL]Fleeing_5,（苦痛に満ちた叫び声）,
[TELL]Fleeing_6,（苦痛に満ちた叫び声）,
[TELL]Fleeing_7,こっちに来ないで！,
[TELL]Fleeing_8,来ないで！,
[TELL]Shooting_0,（うめき声）,
[TELL]Shooting_1,（うめき声）,
[TELL]Shooting_2,（うめき声）,
[TELL]Shooting_3,銃を捨てて！,
[TELL]Shooting_4,必要とあれば殺すわよ！,
[TELL]Shooting_5,私にこんな事させないで！,
[TELL]Shooting_6,人でなし！,
[TELL]Shooting_7,それ以上近づかないで！,
[TELL]Shooting_8,そのまま動かないで！,
[TELL]Shooting_9,クズ。,
