Key,Dialogue,Context
[BARK]Arrested_0,その程度か？,
[BARK]Arrested_1,情けない！,
[BARK]Arrested_2,お前が探してる奴らはとっくにもういないぞ。,
[BARK]Arrested_3,お前の仲間がここへ来て俺達に発砲し始めたんだ！,
[BARK]Arrested_4,卑怯者め！,
[BARK]Arrested_5,卑怯者め。,
[BARK]Arrested_6,もうどこに行っても逃げられないぞ。,
[BARK]Arrested_7,どうせすぐにまた会うことになる！,
[BARK]Arrested_8,（笑い）,
[BARK]Arrested_9,どうせまた会うことになる。,
[BARK]ArrestIdle_0,仲間を探してるのか？まだここにいるとでも思ってるのか？,
[BARK]ArrestIdle_1,仲間を探してるのか？まだここにいるとでも思ってるのか？,
[BARK]ArrestIdle_2,恐怖で夜も眠れなくしてやる。,
[BARK]ArrestIdle_3,恐怖で夜も眠れなくしてやる。,
[BARK]ArrestIdle_4,お前は自分が何に巻き込まれているのかわかってない。,
[BARK]ArrestIdle_5,さあ、思い切ってやれ、この駄犬ども。,
[BARK]ArrestIdle_6,俺からは何も引き出せないぞ。,
[BARK]ArrestIdle_7,どうせすぐにまた会うことになる。,
[BARK]Bashed_0,（うめき声）,
[BARK]Bashed_1,（うめき声）,
[BARK]Bashed_2,（うめき声）,
[BARK]Bashed_3,（うめき声）,
[BARK]Bashed_4,（うめき声）,
[BARK]Bashed_5,（うめき声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,下ろしたぞ。,
[BARK]Compliant_1,下ろしたぞ。,
[BARK]Compliant_10,今下ろしてる。,
[BARK]Compliant_11,じっとしてる。,
[BARK]Compliant_12,降参だ！,
[BARK]Compliant_2,何も持ってないぞ。,
[BARK]Compliant_3,降参する。,
[BARK]Compliant_4,伏せるぞ。,
[BARK]Compliant_5,いま伏せる。,
[BARK]Compliant_6,撃つな！,
[BARK]Compliant_7,わかった。,
[BARK]Compliant_8,わかった、わかった！,
[BARK]Compliant_9,わかった、降参だ。,
[BARK]Death_0,（ゴボゴボという音）,
[BARK]Death_1,（ゴボゴボという音）,
[BARK]Death_2,（ゴボゴボという音）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]FellowAIKilled_0,動くな。,
[BARK]FellowAIKilled_1,ああ！,
[BARK]FellowAIKilled_2,じっとしろ！,
[BARK]FellowAIKilled_3,どこを撃たれた？,
[BARK]FellowAIKilled_4,きっと助かる！,
[BARK]Flanking_0,そこだ！,
[BARK]Flanking_1,そこだ！,
[BARK]Flanking_2,回り込むぞ。,
[BARK]Flanking_3,回り込め！,
[BARK]Flanking_4,回り込め。,
[BARK]Flashed_0,ああ、くそっ！目が！,
[BARK]Flashed_1,くそっ！,
[BARK]Flashed_2,ああ、くそっ！目が！目が見えない！,
[BARK]Flashed_3,ああ！ああ、クソ！目が！何も見えない！ああ！,
[BARK]Gassed_0,（激しい咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]HeardSWAT_0,静かに！,
[BARK]HeardSWAT_1,静かに。,
[BARK]HeardSWAT_2,助けて！,
[BARK]HeardSWAT_3,くそ。,
[BARK]HeardSWAT_4,くそ。,
[BARK]HeardSWAT_5,この音、奴らだ。,
[BARK]HeardSWAT_6,この音、奴らだ。,
[BARK]HeardSWAT_7,誰だ？,
[BARK]HeardSWAT_8,シーッ。,
[BARK]HeardSWAT_9,奴らが来たぞ。,
[BARK]Hesitating_0,お、お、お、俺は…,
[BARK]Hesitating_1,俺…俺は…,
[BARK]Hesitating_2,俺…俺は…,
[BARK]Hesitating_3,俺は…,
[BARK]Hesitating_4,えーと…,
[BARK]Hesitating_5,くそ。,
[BARK]Hostage_0,それ以上来るな！,
[BARK]Hostage_1,それ以上来るな！,
[BARK]Hostage_2,一歩でも動いたら殺す。,
[BARK]Hostage_3,一歩でも動いたら殺す。,
[BARK]Hostage_4,銃を捨てろ！,
[BARK]Hostage_5,銃を捨てろ！,
[BARK]Hostage_6,今すぐ止まれ！,
[BARK]IdleAlly_0,誰が奴らをここに連れてきたんだ？,
[BARK]IdleAlly_1,通報されたはずだ。,
[BARK]IdleAlly_2,ラスキンはどこ行った？,
[BARK]IdleAlly_3,奴ら、昼間に来るなんて馬鹿だな。,
[BARK]IdleAlly_4,彼女は怒るだろうな。,
[BARK]IdleEnemy_0,奴らはお前を殺しにきた。お前の死を望んでいる。,
[BARK]IdleEnemy_1,奴ら、お前を痛い目に合わせたいんだ。,
[BARK]IdleEnemy_2,俺がお前を守る。,
[BARK]IdleEnemy_3,時間がない。,
[BARK]IdleEnemy_4,隠れてろ。,
[BARK]IdleSelf_0,うぅ。,
[BARK]IdleSelf_1,くそ。,
[BARK]IdleSelf_2,奴らは何を考えてんだ？,
[BARK]IdleSelf_3,やっと来たか。,
[BARK]IdleSelf_4,（咳払い）,
[BARK]Immune_0,もう一度やってみろ！,
[BARK]Immune_1,今のは重大なミスだったな。,
[BARK]Immune_2,今のは重大なミスだったな。,
[BARK]Immune_3,（笑い）,
