Key,Dialogue,Context
[BARK]Arrested_0,あいつらはまだここにいる！捕まえてくれ！,
[BARK]Arrested_1,助けてくれ！お願いだ、助けてくれ！,
[BARK]Arrested_10,これ…外してくれないか？,
[BARK]Arrested_11,ああ、よかった！間に合ってくれて助かった。,
[BARK]Arrested_12,おい、こんなの必要ないよ！,
[BARK]Arrested_13,あいつらは刑務所から来たに違いない。,
[BARK]Arrested_14,くそ麻薬中毒者め。,
[BARK]Arrested_15,俺は無実だよ！,
[BARK]Arrested_2,ガソリンを買いに来ただけだ。,
[BARK]Arrested_3,あいつらを追ってくれよ！,
[BARK]Arrested_4,お前なにしてるんだ？！,
[BARK]Arrested_5,おい、手錠なんかいらないよ。,
[BARK]Arrested_6,おい、一体何が起こってるんだ？,
[BARK]Arrested_7,うぐっ！どう見ても俺は犯人じゃないだろう？！,
[BARK]Arrested_8,ここに置いていかないでくれよ、な？,
[BARK]Arrested_9,誰か撃たれたんだ。救急車を呼ばないと！,
[BARK]ArrestIdle_0,あなたたちは何人いるんだ？,
[BARK]ArrestIdle_1,あいつらは話し合う気はないと思うぞ。,
[BARK]ArrestIdle_2,気をつけろ、あいつらはクスリをやっていると思う。,
[BARK]ArrestIdle_3,ここから出してくれよ、な？俺は犯人じゃないんだ。,
[BARK]ArrestIdle_4,今の世の中は本当に狂っている。,
[BARK]ArrestIdle_5,俺をここに置いていくのか？あいつらはとっくに逃げてるよ！,
[BARK]ArrestIdle_6,仲間の警官に、俺をここから連れ出してと伝えてくれないか？,
[BARK]ArrestIdle_7,おい、仲間の警官に、俺をここから連れ出してと伝えてくれないか？,
[BARK]ArrestIdle_8,おい、俺はどうなるんだ？,
[BARK]Bashed_0,（うめき声）,
[BARK]Bashed_1,（うめき声）,
[BARK]Bashed_2,（うめき声）,
[BARK]Bashed_3,（うめき声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,じっとしているよ。,
[BARK]Compliant_1,ああ、じっとしているから！,
[BARK]Compliant_2,聞いているよ！,
[BARK]Compliant_3,逃げたりなんかしないよ！,
[BARK]Compliant_4,分かったから撃たないでくれ！,
[BARK]Compliant_5,わかった、とにかく急いでくれ！,
