Key,Dialogue,Context
[BARK]Arrested_0,ムダシールは大丈夫？,
[BARK]Arrested_10,手を離せ！,
[BARK]Arrested_12,ムデシールは大丈夫？,
[BARK]Arrested_14,ここの従業員だよ。,
[BARK]Arrested_15,放してくれ。何でも話すから。,
[BARK]Arrested_16,すまない。こっちが悪い。,
[BARK]Arrested_17,2日前にクソ野郎にやられた！,
[BARK]Arrested_18,何をしてる？,
[BARK]Arrested_2,どこかで見た奴らだ。同じ学校だった気がする。,
[BARK]Arrested_20,すまない。,
[BARK]Arrested_21,奴らはマネジャーを撃った。どうしていいか分からなかったんだ。彼は死んだと思う。,
[BARK]Arrested_5,ここの従業員だよ。,
[BARK]Arrested_6,放してくれ。何でも話すから。,
[BARK]Arrested_7,こっちが悪い。,
[BARK]Arrested_9,何をしてる？,
[BARK]ArrestIdle_0,刑務所に入れるのか？,
[BARK]ArrestIdle_1,あいつらが殺そうとしてきたんだ！,
[BARK]ArrestIdle_10,金は保管してある。デバンコのストライキのせいだ。すまない。,
[BARK]ArrestIdle_11,金庫の鍵があるんだ。マネジャーが持ってた。,
[BARK]ArrestIdle_12,クソ、やっちまった。,
[BARK]ArrestIdle_2,あいつらが殺そうとしてきたんだ！,
[BARK]ArrestIdle_3,奴らの目当ては金だった。,
[BARK]ArrestIdle_4,自分でも理由が分からなかった。,
[BARK]ArrestIdle_5,誰か話せる人はいる？,
[BARK]ArrestIdle_6,話したいことがある。,
[BARK]ArrestIdle_7,話したら安全を保証してくれる？,
[BARK]ArrestIdle_8,解放してくれるの？,
[BARK]ArrestIdle_9,放っておいてくれると思ったのに。,
[BARK]Bashed_0,（うめき声）,
[BARK]Bashed_1,（うめき声）,
[BARK]Bashed_2,（うめき声）,
[BARK]Bashed_3,クソ！,
[BARK]Bashed_4,（うめき声）,
[BARK]Bashed_5,（うめき声）,
[BARK]Bashed_6,（うめき声）,
[BARK]Bashed_7,（うめき声）,
[BARK]Bashed_8,（うめき声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,何もかも説明できる。,
[BARK]Compliant_1,わ、分かったよ。,
[BARK]Compliant_2,ああ、分かったよ！,
[BARK]Compliant_3,イエッサー。了解。,
[BARK]Compliant_4,分かった！分かった！分かった！,
[BARK]Compliant_5,撃たれたくないんだ。,
[BARK]Compliant_6,話すよ。全部話すから。,
[BARK]Compliant_7,分かった、分かった、撃たないで！,
[BARK]Death_0,（ゴボゴボという音）,
[BARK]Death_1,（ゴボゴボという音）,
[BARK]Death_2,（ゴボゴボという音）,
[BARK]Death_3,（ゴボゴボという音）,
[BARK]FellowAIKilled_0,何してる？,
[BARK]FellowAIKilled_1,何してる？,
[BARK]FellowAIKilled_2,よせ！やめろ！,
[BARK]FellowAIKilled_3,何なんだ？,
[BARK]FellowAIKilled_4,ああ、クソ！ああ！みんな死ぬんだ！,
[BARK]FellowAIKilled_5,何をした？,
[BARK]FellowAIKilled_6,やめろ、やめろ、やめろ,
[BARK]FellowAIKilled_7,何なんだ？,
[BARK]FellowAIKilled_8,何なんだ？,
[BARK]FellowAIKilled_9,ああ、クソ！ああ！みんな死ぬんだ！,
