Key,Dialogue,Context
[BARK]Arrested_0,（吠え声）,
[BARK]Arrested_1,さわんな、てめえ。唾吐くぞ！,
[BARK]Arrested_10,あいつらクソくらえ、俺は何もしてねえ！,
[BARK]Arrested_11,これを外せ、てめえ！,
[BARK]Arrested_12,おい、何してんだ？,
[BARK]Arrested_13,このクソ野郎！,
[BARK]Arrested_14,くそったれのポリ公が！,
[BARK]Arrested_15,表へ出ろ、てめえ！弾ぶち込んでやる！,
[BARK]Arrested_16,くそ食らえ！,
[BARK]Arrested_17,てめえ、俺が誰かわかってのか！あぁ！？,
[BARK]Arrested_18,何してんだ、てめぇ？！,
[BARK]Arrested_19,クソくらえ！,
[BARK]Arrested_2,俺は何もしてねえ！,
[BARK]Arrested_20,おい、これを外せよ！,
[BARK]Arrested_21,俺に触んな！,
[BARK]Arrested_3,おいおいおい、てめぇ！,
[BARK]Arrested_4,くそっ、理由もなく逮捕しやがって！,
[BARK]Arrested_5,俺は抵抗してねえぞ！,
[BARK]Arrested_6,ドラッグのために金が必要なんだ。俺は悪くねえ。これが俺の人生だ。,
[BARK]Arrested_7,警察なんかくそ食らえ！,
[BARK]Arrested_8,てめえはくそったれ野郎だ！,
[BARK]Arrested_9,そんなのクソくらえだ！,
[BARK]ArrestIdle_0,自分を何様だと思ってんだ。,
[BARK]ArrestIdle_1,そんなんじゃ長続きしねえぜ、てめぇ。,
[BARK]ArrestIdle_10,てめぇ、俺が出所するまで待ってろ。,
[BARK]ArrestIdle_2,てめえはクソ野郎だ！,
[BARK]ArrestIdle_3,てめぇ自分が強いとでも思ってんのか？雑魚が。,
[BARK]ArrestIdle_4,やりやがったなてめぇ、ぜってぇ後悔するぞ。,
[BARK]ArrestIdle_5,てめぇのこと覚えとくからな。俺が刑務所でた後、覚悟しとけよ。,
[BARK]ArrestIdle_6,俺はもう刑務所に入ったことあんだよ。慣れたもんさ。,
[BARK]ArrestIdle_7,てめぇは大きなミスを犯したぜ。ただ気付いてないだけだ。,
[BARK]ArrestIdle_8,俺は何もしてねえ。,
[BARK]ArrestIdle_9,俺が逮捕されるのが初めてだとでも思ってんのか？,
[BARK]Bashed_0,（うめき声）,
[BARK]Bashed_1,（うめき声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Compliant_0,わかった、わかった。,
[BARK]Compliant_1,くっそーー、てめぇ！,
[BARK]Compliant_10,聞こえてるって、てめぇ。,
[BARK]Compliant_11,くそっ、てめえ。伏せればいんだろ。,
[BARK]Compliant_12,わかったよ。な？,
[BARK]Compliant_13,わかった、わかった。な？,
[BARK]Compliant_14,わかった、もういいから。,
[BARK]Compliant_15,わかった、わかった。,
[BARK]Compliant_2,お手柔らかに頼むぞ、な？,
[BARK]Compliant_3,まじでこれはねえだろ。,
[BARK]Compliant_4,わかったわかった、俺の負けだ。,
[BARK]Compliant_5,わかった、わかった！,
[BARK]Compliant_6,伏せりゃいんだろ。,
[BARK]Compliant_7,動いてねえよ！,
[BARK]Compliant_8,わかったぜ。,
[BARK]Compliant_9,わかったぜ。な？,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]FellowAIKilled_0,逃げろ、兄弟！早く起きろ！,
[BARK]FellowAIKilled_1,くそくらえ！,
[BARK]FellowAIKilled_2,クソ野郎どもめ！,
[BARK]FellowAIKilled_3,くそっ！てめぇ大丈夫か？,
[BARK]Flashed_0,ああ！ぐっ！ぐっ！くそっ！何も見えねえ！,
[BARK]Flashed_1,目が！やべえ！見えねえ！くそっ、くそっ！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]HeardSWAT_0,何なんだ、くそったれが！,
[BARK]HeardSWAT_1,何だぁ、あの音？,
[BARK]HeardSWAT_2,誰だあいつ？死にてぇのか？,
[BARK]HeardSWAT_3,誰だ、そこにいんのは？,
[BARK]HeardSWAT_4,おい、誰だ、そこいんのは？,
[BARK]HeardSWAT_5,おい、てめぇ。,
[BARK]Hesitating_0,くそがー－ー！,
[BARK]Hesitating_1,くそっ！くそったれが！,
[BARK]Hesitating_2,どうすりゃいいんだ...,
[BARK]Hesitating_3,くそ！,
[BARK]HitThePlayer_0,俺を舐めんなって言ってんだろ！,
[BARK]HitThePlayer_1,この腰抜け野郎！,
[BARK]HitThePlayer_2,くそくらえ！,
[BARK]IdleAlly_0,落ち着け兄弟、冷静になれ。,
[BARK]IdleAlly_1,さっさとずらかろうぜ。,
[BARK]IdleAlly_2,早くしろよ、兄弟！何やってんだ？,
[BARK]IdleAlly_3,あいつが俺たちのことチクりやがった、そうにちげぇねー！,
[BARK]IdleAlly_4,おい、窓を見ろ。誰かが通報したかもしれねえ。,
[BARK]IdleAlly_5,おい、そろそろズラかろうぜ。持てる分だけ持ってこい。,
[BARK]IdleAlly_6,てめぇとんだイカレ野郎だぜ。,
[BARK]IdleAlly_7,落ち着けよ、兄弟、落ち着け！,
[BARK]IdleEnemy_0,黙ってろ！,
[BARK]IdleEnemy_1,俺らはてめえみたいにラクして生きてねえんだよ。,
[BARK]IdleEnemy_2,俺の何を知ってんだ？何も知らねえくせに。,
