Key,Dialogue,Context
[BARK]Arrested_0,待ってよ、なんで私を逮捕してるの？,
[BARK]Arrested_1,ちょっと、放して！,
[BARK]Arrested_10,誰かが私たちを狙ってるってこと？,
[BARK]Arrested_11,ちょっと…キャッ！放して！,
[BARK]Arrested_12,何なの？私、何かした？,
[BARK]Arrested_13,クソ。クソ。クソ。,
[BARK]Arrested_14,クソ、クソ。クソ、クソ！,
[BARK]Arrested_2,放してよ！私は何もしてない！,
[BARK]Arrested_3,本気なの？,
[BARK]Arrested_4,とにかくここから出して。,
[BARK]Arrested_5,お願い、ここから出して。,
[BARK]Arrested_6,いたっ！腕はそっちに曲がらないわよ、クソ野郎！,
[BARK]Arrested_7,ねえ、本気じゃないわよね？,
[BARK]Arrested_8,何なの？帰りたい。,
[BARK]Arrested_9,ここに置いていかないで。お願い。,
[BARK]ArrestIdle_0,これじゃ動けない。奴らが戻ってきたらどうする？,
[BARK]ArrestIdle_1,これじゃ動けない。奴らが戻ってきたらどうする？,
[BARK]ArrestIdle_10,クソ、死にたくない！,
[BARK]ArrestIdle_2,これで安全なの？,
[BARK]ArrestIdle_3,クソ、もう疲れた。,
[BARK]ArrestIdle_4,これで安全なの？,
[BARK]ArrestIdle_5,いつまでここにいさせるつもり？,
[BARK]ArrestIdle_6,せめて座らせてくれない？,
[BARK]ArrestIdle_7,せめて座らせてくれない？,
[BARK]ArrestIdle_8,ママ、会いに来て。,
[BARK]ArrestIdle_9,あの…ああ、手錠がきつすぎる。,
[BARK]CallOutForHelp_0,お願いだからここから出して！,
[BARK]CallOutForHelp_1,お願い、助けて！,
[BARK]CallOutForHelp_2,ちょっと、こっちよ。お願い、助けて。,
[BARK]CallOutForHelp_3,お願い！助けて！,
[BARK]CallOutForHelp_4,誰か助けて！,
[BARK]Compliant_0,手を上げてるでしょ、撃たないで！,
[BARK]Compliant_1,手を上げてるでしょ、撃たないで！,
[BARK]Compliant_10,武器は持ってない。,
[BARK]Compliant_11,武器は持ってない！,
[BARK]Compliant_12,武器は持ってない！撃たないで！クソ！,
[BARK]Compliant_13,撃たないで！クソ！,
[BARK]Compliant_14,分かった、言う通りにするから！,
[BARK]Compliant_15,まったく。言う通りにするから！,
[BARK]Compliant_16,本当？分かった！手を上げる！,
[BARK]Compliant_17,手を上げてる！,
[BARK]Compliant_18,何も持ってない！撃たないで！,
[BARK]Compliant_19,何も持ってない！撃たないで！,
[BARK]Compliant_2,撃たないで！お願い！,
[BARK]Compliant_20,私は何も持ってない。とにかく助けて。,
[BARK]Compliant_21,クソ。クソ。クソ。クソ。,
[BARK]Compliant_3,言うことを聞くから！,
[BARK]Compliant_4,言うことを聞くから！,
[BARK]Compliant_5,クソ！言うことを聞くから！,
[BARK]Compliant_6,はいはい、聞いてる。,
[BARK]Compliant_7,分かった、分かった！,
[BARK]Compliant_8,何も持ってない！,
[BARK]Compliant_9,何も持ってない！,
[BARK]Death_0,（ゴボゴボという音）,
[BARK]Death_1,（ゴボゴボという音）,
[BARK]Death_10,（ゴボゴボという音）,
[BARK]Death_11,（ゴボゴボという音）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（ゴボゴボという音）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_26,（悲鳴）,
[BARK]Death_27,（悲鳴）,
[BARK]Death_28,（悲鳴）,
[BARK]Death_29,（悲鳴）,
[BARK]Death_3,（ゴボゴボという音）,
[BARK]Death_30,（悲鳴）,
[BARK]Death_31,（悲鳴）,
[BARK]Death_32,（悲鳴）,
[BARK]Death_33,（悲鳴）,
[BARK]Death_34,（悲鳴）,
[BARK]Death_35(Screams),,
[BARK]Death_36,（悲鳴）,
[BARK]Death_37,（悲鳴）,
[BARK]Death_38,（悲鳴）,
[BARK]Death_39,（悲鳴）,
[BARK]Death_4,（ゴボゴボという音）,
[BARK]Death_40,（悲鳴）,
[BARK]Death_41,（悲鳴）,
[BARK]Death_42,（悲鳴）,
[BARK]Death_43,（悲鳴）,
[BARK]Death_44,（悲鳴）,
[BARK]Death_45,（悲鳴）,
[BARK]Death_46,（悲鳴）,
[BARK]Death_47,（悲鳴）,
[BARK]Death_48,（悲鳴）,
[BARK]Death_49,（悲鳴）,
[BARK]Death_5,（ゴボゴボという音）,
[BARK]Death_50,（悲鳴）,
[BARK]Death_51,（悲鳴）,
[BARK]Death_52,（悲鳴）,
[BARK]Death_53,（悲鳴）,
[BARK]Death_54,（悲鳴）,
[BARK]Death_6,（ゴボゴボという音）,
[BARK]Death_7,（ゴボゴボという音）,
[BARK]Death_8,（ゴボゴボという音）,
[BARK]Death_9,（ゴボゴボという音）,
[BARK]FellowAIKilled_0,（悲鳴）,
[BARK]FellowAIKilled_1,殺される！,
[BARK]FellowAIKilled_2,殺される！,
[BARK]FellowAIKilled_3,殺される！,
[BARK]FellowAIKilled_4,ちょっと！,
[BARK]FellowAIKilled_5,ちょっと！,
[BARK]FellowAIKilled_6,ウソ！,
[BARK]FellowAIKilled_7,ウソでしょ！,
[BARK]FellowAIKilled_8,ウソでしょ！ねえ！,
[BARK]FellowAIKilled_9,ウソでしょ！ねえ！,
[BARK]FightBack_0,武器は持ってる。イカれ野郎ども、聞こえた？,
[BARK]FightBack_1,イカれ野郎！,
[BARK]FightBack_2,頭に風穴を開けてやる！,
[BARK]FightBack_3,手を上げろ、クソ野郎！,
[BARK]FightBack_4,手を上げろ！,
[BARK]FightBack_5,こんなくだらないことはもうたくさんよ！,
[BARK]FightBack_6,こんなくだらないことはもうたくさんよ！手を上げて！,
[BARK]FightBack_7,クソ野郎！,
[BARK]Flashed_0,何も見えない！,
[BARK]Flashed_1,クソ、何も見えない！,
[BARK]Flashed_2,何も見えない！クソ！,
[BARK]Flashed_3,何も見えない！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]Gassed_3,（咳）,
[BARK]HeardSWAT_0,クソ、あれは警察？,
[BARK]HeardSWAT_1,奴らの仲間じゃないでしょうね。,
[BARK]HeardSWAT_10,今の、聞こえた？クソ！,
[BARK]HeardSWAT_2,警察が来た。,
[BARK]HeardSWAT_4,あれはSWAT？,
[BARK]HeardSWAT_5,今のは何？,
[BARK]HeardSWAT_6,今の、聞こえた？,
[BARK]HeardSWAT_8,クソ、今のは何？,
[BARK]HeardSWAT_9,クソ！今のは何？,
[BARK]IdleAlly_0,お願い、神様、ここから連れ出して。,
[BARK]IdleAlly_1,今のは何？,
[BARK]IdleAlly_10,今の、聞こえた？,
[BARK]IdleAlly_11,今のは何？,
[BARK]IdleAlly_12,神様、助けて！,
[BARK]IdleAlly_13,クソ！,
[BARK]IdleAlly_14,ちょっと！ウソでしょ！,
[BARK]IdleAlly_15,こんな場所から逃げ出したい。,
[BARK]IdleAlly_2,誰かいる？,
[BARK]IdleAlly_3,ねえ、誰かいる？,
[BARK]IdleAlly_4,考えるのよ。考えればきっとできる。,
[BARK]IdleAlly_5,きっとできる。,
[BARK]IdleAlly_6,大丈夫、大丈夫。心配ない。,
[BARK]IdleAlly_7,大丈夫、大丈夫。,
[BARK]IdleAlly_8,今逃げ出したら…ダメよ、クソ。,
[BARK]IdleAlly_9,こんな場所から逃げ出したい！,
[BARK]IdleEnemy_0,お願い、家に帰りたいだけなの。,
[BARK]IdleEnemy_1,ちょっと！,
[BARK]IdleEnemy_10,クソ野郎！,
[BARK]IdleEnemy_11,外の空気を吸いたい。,
[BARK]IdleEnemy_12,クソ！,
[BARK]IdleEnemy_13,何かするつもりなの？,
[BARK]IdleEnemy_2,家に帰りたいだけよ。神様、お願い。,
[BARK]IdleEnemy_3,（泣く）,
[BARK]IdleEnemy_4,（泣く）,
[BARK]IdleEnemy_5,ここは暑い。,
[BARK]IdleEnemy_6,息ができない。外の空気を吸いたい。,
[BARK]IdleEnemy_7,ここで死にたくない！,
[BARK]IdleEnemy_8,ここで死にたくない。,
[BARK]IdleEnemy_9,クソ、死にたくない。,
[BARK]IdleSelf_0,クソ、ガラスが割れてる。,
[BARK]IdleSelf_1,（荒い息遣い）,
[BARK]IdleSelf_10,ウソでしょ！,
[BARK]IdleSelf_11,誰か聞いてる？,
[BARK]IdleSelf_12,誰か聞いてる？,
[BARK]IdleSelf_13,クソ、どうして私が？どうして？クソ。,
[BARK]IdleSelf_14,ちょっと！ウソでしょ！,
[BARK]IdleSelf_2,（荒い息遣い）,
[BARK]IdleSelf_3,今のは何？,
[BARK]IdleSelf_4,何？,
[BARK]IdleSelf_5,（あえぎ）,
[BARK]IdleSelf_6,（あえぎ）,
[BARK]IdleSelf_7,何？,
[BARK]IdleSelf_8,何？,
[BARK]IdleSelf_9,何も心配ない。ただ銃が大量にあるだけ。,
[BARK]NonCompliant_0,こんなのウソでしょ！,
[BARK]NonCompliant_1,ウソでしょ！,
[BARK]NonCompliant_2,こっちに来ないで！,
[BARK]NonCompliant_3,こっちに来ないで！,
[BARK]NonCompliant_4,冗談でしょ？奴らはまだいる！,
[BARK]NonCompliant_5,あれをどこかへ持っていって！,
[BARK]NonCompliant_6,近寄らないで。クソ。,
[BARK]NonCompliant_7,私は何も持ってない。とにかく助けて。,
[BARK]Pain_0,ああ！,
[BARK]Pain_1,（苦しそうな怒鳴り声）,
[BARK]Pain_2,ああ！,
[BARK]Pain_3,（苦しそうな怒鳴り声）,
[BARK]Pain_4,ああ！,
[BARK]Pain_5,（苦しそうな怒鳴り声）,
[BARK]PlayerSeen_0,撃たないで！,
[BARK]PlayerSeen_1,何かするつもりなの？,
[BARK]PlayerSeen_10,ここから出して！,
[BARK]PlayerSeen_11,助けてくれ！,
[BARK]PlayerSeen_2,お願いだから撃たないで。クソ。,
[BARK]PlayerSeen_3,武器は持ってない。助けて。,
[BARK]PlayerSeen_4,武器は持ってない。助けて。,
[BARK]PlayerSeen_5,あれはSWAT？お願いだからここから出して！,
[BARK]PlayerSeen_6,警察が来た。お願い、助けて。,
[BARK]PlayerSeen_7,武器は持ってない。助けて！,
[BARK]PlayerSeen_8,ここから出して。,
[BARK]PlayerSeen_9,お願い、銃は持ってないから。,
[BARK]Stunned_0,ああ！,
[BARK]Stunned_1,ああ！,
[BARK]Stunned_2,ああ！,
[BARK]Stunned_3,ライスロールにリンゴをくるむ,
[BARK]Tased_0,（苦しそうな怒鳴り声）,
[BARK]Tased_1,（苦しそうな怒鳴り声）,
[BARK]Tased_2,（苦しそうな怒鳴り声）,
[BARK]Tased_3,（苦しそうな怒鳴り声）,
[BARK]Tased_4,（苦しそうな怒鳴り声）,
[REPLY]Shooting_0,銃声よ！クソ！,
[REPLY]Shooting_1,大変、大変！,
[REPLY]Shooting_2,何も聞こえない！,
[REPLY]Shooting_3,撃ってきてる！,
[REPLY]Shooting_4,撃ってきてる！,
[REPLY]Shooting_5,殺される！,
[REPLY]Shooting_6,神様！,
[REPLY]Shooting_7,神様、見捨てないで、死にたくない！,
[TELL]Fleeing_0,こんな場所はもうゴメンよ！,
[TELL]Fleeing_1,クソ、もうめちゃくちゃよ！,
[TELL]Fleeing_10,クソ、クソ、クソ！,
[TELL]Fleeing_11,ああ！クソ！,
[TELL]Fleeing_12,クソ、クソ、クソ！,
[TELL]Fleeing_13,ああ、クソ！,
[TELL]Fleeing_14,クソ！逃げるわ！,
[TELL]Fleeing_15,クソ！逃げるわ！,
[TELL]Fleeing_16,神様！,
[TELL]Fleeing_2,クソ、もうめちゃくちゃよ！,
[TELL]Fleeing_3,逃げて！,
[TELL]Fleeing_4,どいて！,
[TELL]Fleeing_5,もうどうでもいい！,
[TELL]Fleeing_6,もうどうでもいい！,
[TELL]Fleeing_7,どいて！どいて！,
[TELL]Fleeing_8,どいて！どいて！,
[TELL]Fleeing_9,誰か助けて！,
