Key,Dialogue,Context
[BARK]Arrested_0,ちょっと！待って！,
[BARK]Arrested_1,市民を助けるのが仕事でしょ！,
[BARK]Arrested_10,銃を持った奴らはどうなの？,
[BARK]Arrested_11,銃を持った奴らはどうなの？,
[BARK]Arrested_12,本気？私のことがそんなに心配なの？,
[BARK]Arrested_13,本気？私のことがそんなに心配なの？,
[BARK]Arrested_14,今すぐここから出して！お願い！,
[BARK]Arrested_15,今すぐここから出して！お願い！,
[BARK]Arrested_16,ああ、クソ！,
[BARK]Arrested_17,まったく。,
[BARK]Arrested_2,ちょっと待って！市民を助けるのが仕事でしょ！,
[BARK]Arrested_3,お願い…お願い…家に子供がいるの。,
[BARK]Arrested_4,お願い、家に子供がいるの。,
[BARK]Arrested_5,お願い、家に子供がいるの。,
[BARK]Arrested_6,ここに置いていかないで。,
[BARK]Arrested_7,ここに置いていかないで。,
[BARK]Arrested_8,放して！,
[BARK]Arrested_9,銃を持った奴らはどうなの？,
[BARK]ArrestIdle_0,上司に報告するから。,
[BARK]ArrestIdle_1,手の感覚がない。,
[BARK]ArrestIdle_2,お願い、手の感覚がないの。,
[BARK]ArrestIdle_3,お願い、ここから出して。,
[BARK]ArrestIdle_4,お願い、ここから出して！,
[BARK]ArrestIdle_5,ああ、クソ。,
[BARK]ArrestIdle_6,ああ、クソ。,
[BARK]ArrestIdle_7,まったく。,
[BARK]CallOutForHelp_0,私たちは市民よ！助けて！,
[BARK]CallOutForHelp_1,クソ！誰か助けてくれないの？,
[BARK]CallOutForHelp_2,こっちよ！助けて！,
[BARK]CallOutForHelp_3,こっちよ！,
[BARK]CallOutForHelp_4,助けて！,
[BARK]CallOutForHelp_5,警察！助けて！お願い！,
[BARK]CallOutForHelp_6,誰か助けて！,
[BARK]CallOutForHelp_7,誰か助けて！,
[BARK]CallOutForHelp_8,誰か助けて！,
[BARK]Compliant_0,ああ、もう。,
[BARK]Compliant_1,撃たないで！撃たないで！,
[BARK]Compliant_10,言うことを聞くから！,
[BARK]Compliant_11,何でもいいから撃たないで。,
[BARK]Compliant_12,何でもいいから撃たないで。,
[BARK]Compliant_13,お願い、何でも言う通りにする！,
[BARK]Compliant_14,お願い、何でも言う通りにする！,
[BARK]Compliant_15,降参する！,
[BARK]Compliant_16,降参するわ。,
[BARK]Compliant_17,手を上げてる！手を上げてる！,
[BARK]Compliant_18,何でもいいから撃たないで。,
[BARK]Compliant_19,分かった、分かったから！,
[BARK]Compliant_2,従うから、お願い！,
[BARK]Compliant_20,どうしよう、お願い！,
[BARK]Compliant_3,従うから！お願い！,
[BARK]Compliant_4,従うから、お願い！,
[BARK]Compliant_5,手を見せてる！,
[BARK]Compliant_6,手を見せてる！,
[BARK]Compliant_7,手を見せてる！,
[BARK]Compliant_8,分かった、分かったから！,
[BARK]Compliant_9,分かった、分かったから！,
[BARK]Death_0,（悲鳴）,
