Key,Dialogue,Context
[BARK]Arrested_0,触らないで！信じらんない、手を離してよ。このキモ野郎！,
[BARK]Arrested_1,触らないで！信じらんない、手を離してよ。このキモ野郎！,
[BARK]Arrested_2,触らないで！信じらんない、手を離してよ。このキモ野郎！,
[BARK]Arrested_5,映画に出てくる連中みたい。いい銃ね。,
[BARK]Arrested_6,話しかけないでよ、負け犬のくせに。,
[BARK]Bashed_0,これって違法じゃない？,
[BARK]Bashed_1,ねえ、マジで命の危険を感じるんだけど。今夜のアンナのパーティーを逃したくない。,
[BARK]Bashed_2,ありえない！まさにハリウッドじゃない。こんなところにいられない！,
[BARK]Bashed_3,さっさと助けてよ？信じらんない！,
[BARK]CallOutForHelp_0,ここよ！さっさと助けなさいよ、もうっ！,
[BARK]CallOutForHelp_1,ここよ！さっさと助けなさいよ、もうっ！,
[BARK]CallOutForHelp_2,ここよ！さっさと助けなさいよ、もうっ！,
[BARK]CallOutForHelp_3,ここよ！さっさと助けなさいよ、もうっ！,
[BARK]CallOutForHelp_4,ここよ！さっさと助けなさいよ、もうっ！,
[BARK]CallOutForHelp_5,ここよ！さっさと助けなさいよ！もうっ！,
[BARK]CallOutForHelp_6,ここよ！さっさと助けなさいよ！もうっ！,
[BARK]Compliant_0,撃つな！撃たないで！,
[BARK]Compliant_1,撃たないで！,
[BARK]Compliant_2,撃たないで！,
[BARK]Compliant_3,死にたくない！死にたくないよう！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,うわあ！,
[BARK]Death_15,ウソでしょ！,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_26,（悲鳴）,
[BARK]Death_27,（悲鳴）,
[BARK]Death_28,（悲鳴）,
[BARK]Death_29,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_30,（悲鳴）,
[BARK]Death_31,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,ありえない！まさにハリウッドじゃない！こんなところにいられない！,
[BARK]FellowAIKilled_1,これって違法じゃない？,
[BARK]FellowAIKilled_2,そんなことしていいの？,
[BARK]FellowAIKilled_3,そんなことしていいの？,
[BARK]Flashed_0,（悲鳴）,
[BARK]Flashed_1,きゃあ！耳が！,
[BARK]Flashed_2,ああっ！耳が！,
[BARK]Flashed_3,ああっ！耳が！,
[BARK]Flashed_4,ああっ！耳が！,
[BARK]Gassed_0,（咳き込む）,
[BARK]NonCompliant_0,ヤダ！やめて！,
[BARK]NonCompliant_1,ヤダ！やめてよ！,
[BARK]NonCompliant_2,イヤ、やめて！,
[BARK]NonCompliant_3,やめて、このレイプ魔！,
[BARK]NonCompliant_4,イヤだってば！あー！やめて！イヤ！,
[BARK]NonCompliant_5,イヤ、絶対ヤダ！,
[BARK]NonCompliant_6,あー！イヤ、絶対イヤ！,
[BARK]NonCompliant_7,あー！イヤ、絶対イヤ！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Peppered_0,（咳き込む）,
[BARK]PlayerSeen_0,急いで助けらんないの？信じらんない！,
[BARK]PlayerSeen_1,急いで助けらんないの？信じらんない！,
[BARK]PlayerSeen_2,さっさと助けてよ？信じらんない！,
[BARK]PlayerSeen_3,遅かったわね！早く助けて！,
[BARK]PlayerSeen_4,今まで何してたの！早く助けて！,
[BARK]PlayerSeen_5,爪を折らないでよ！,
[BARK]PlayerSeen_6,爪を折らないでよ！,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
