Key,Dialogue,Context
[BARK]Arrested_0,ここから出してくれ！,
[BARK]Arrested_1,なぜ俺を逮捕するんだ？,
[BARK]Arrested_10,俺は何も持ってない。放してくれ！,
[BARK]Arrested_11,何なんだ？俺じゃなくて奴らを追いかけろよ。,
[BARK]Arrested_12,何なんだ？俺じゃなくて奴らを追いかけろよ！,
[BARK]Arrested_2,あれは手錠か？,
[BARK]Arrested_3,家に帰りたい。,
[BARK]Arrested_4,とにかく、家に帰りたい。,
[BARK]Arrested_5,お願いだ、家に帰りたいんだ。,
[BARK]Arrested_6,放せよ！,
[BARK]Arrested_7,放せよ！,
[BARK]Arrested_8,放せよ、放してくれ。,
[BARK]Arrested_9,おい、マヌケ、俺じゃない。,
[BARK]ArrestIdle_0,手の感覚がない。,
[BARK]ArrestIdle_1,あのー？,
[BARK]ArrestIdle_10,俺たちをここへ置いて行くなんて。信じられない。,
[BARK]ArrestIdle_2,お巡りさん、手錠がきつすぎるよ。,
[BARK]ArrestIdle_3,なあ、手錠がちょっときついんだ。,
[BARK]ArrestIdle_4,頼む、手の感覚がないんだ。,
[BARK]ArrestIdle_5,頼むよ、手の感覚がないんだ！,
[BARK]ArrestIdle_6,頼む、手の感覚がないんだ。,
[BARK]ArrestIdle_7,家に帰りたい。家に帰らせてくれ。お願いだ。,
[BARK]ArrestIdle_8,家に帰りたい。家に帰らせてくれ。お願いだ！,
[BARK]ArrestIdle_9,家に帰りたい。家に帰らせてくれ。お願いだ。,
[BARK]Bashed_0,（うめき）,
[BARK]Bashed_1,（うめき）,
[BARK]Bashed_2,（うめき）,
[BARK]Bashed_3,（うめき）,
[BARK]Bashed_4,（うめき）,
[BARK]BashImmune_0,殴るのはやめてくれ！,
[BARK]CallOutForHelp_0,助けてくれ！,
[BARK]CallOutForHelp_1,頼む、こっちだ。助けが必要なんだ！,
[BARK]CallOutForHelp_2,おーい！こっちに人がいる！助けてくれ！,
[BARK]Compliant_0,手を上げてる！,
[BARK]Compliant_1,手を上げてる！,
[BARK]Compliant_2,頼むから乱暴はしないでくれ！,
[BARK]Compliant_3,言うことを聞くから。,
[BARK]Compliant_4,わかった、わかった。トラブルはゴメンだ。,
[BARK]Compliant_5,頼むから、乱暴はやめてくれ。,
[BARK]Compliant_6,お巡りさんに従うよ。俺はあいつらの仲間じゃない。,
[BARK]Death_0,（ゴボゴボという音）,
[BARK]Death_1,（ゴボゴボという音）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]DirectToSuspect_0,あそこだ！,
[BARK]FellowAIKilled_0,ウソだろ！,
[BARK]FellowAIKilled_1,なんてことだ！,
[BARK]FellowAIKilled_10,クソッ、ウソだろ。死んだのか？,
[BARK]FellowAIKilled_2,殺される！,
[BARK]FellowAIKilled_3,畜生、奴らに殺される！,
[BARK]FellowAIKilled_4,ああ、クソッ、奴らに殺される！,
[BARK]FellowAIKilled_5,ああ、クソッ！,
[BARK]FellowAIKilled_6,クソ、クソ、助けてくれ！,
[BARK]FellowAIKilled_7,クソ、クソ、助けてくれ！,
[BARK]FellowAIKilled_8,なんてこった、助けてくれ！,
[BARK]FellowAIKilled_9,ああ、畜生、クソッ、なんてことだ。,
[BARK]Flashed_0,（悲鳴）,
[BARK]Flashed_1,ああ、クソ！ヤバい！,
[BARK]Flashed_2,ああ、目が！クソッ！,
[BARK]Flashed_3,ああ、目が！,
[BARK]Flashed_4,ああ、なんてことだ！,
[BARK]Flashed_5,ああ、クソッ！,
[BARK]GasImmune_0,あきらめてたまるか！,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]Gassed_2,（咳き込む）,
[BARK]IdleAlly_0,必ずここから抜け出せる。俺はそう信じてる。,
[BARK]IdleAlly_1,とにかく落ち着け。落ち着くんだ。落ち着いてろ。,
[BARK]IdleAlly_2,うわ、血だ。,
[BARK]IdleAlly_3,とにかくここから逃げ出したい！,
[BARK]IdleAlly_4,ここから逃げ出せると思うか？,
[BARK]IdleAlly_5,ここから出られると思うか？,
[BARK]IdleAlly_6,俺たちのために来たんじゃないよな？,
[BARK]IdleAlly_7,俺たちのために来たんじゃないよな？,
[BARK]IdleAlly_8,俺たちを行かせてくれると思うか？,
[BARK]IdleEnemy_0,あまり具合が良くない。,
[BARK]IdleSelf_0,慌てるな、パニくるんじゃない、クソ。クソッ。,
[BARK]IdleSelf_1,慌てるな、パニくるんじゃない。きっと何とかなる。ああ、なんてこった。,
[BARK]IdleSelf_2,ああ、なんてこった。,
[BARK]IdleSelf_3,きっとここから出られるさ。,
[BARK]IdleSelf_4,聖母マリアよ、恵みに満ちたお方よ、主はあなたとともにおられます。,
[BARK]IdleSelf_5,うわ、血だ。,
[BARK]NonCompliant_0,やめろ、触るな！,
[BARK]NonCompliant_1,やめろ、こっちに来るな！,
[BARK]NonCompliant_2,俺に触るな、いいな。,
[BARK]NonCompliant_4,やめろ、俺に近寄るな。,
[BARK]Pain_0,（苦しそうな怒鳴り声）,
[BARK]Pain_1,（苦しそうな怒鳴り声）,
[BARK]Pain_2,（苦しそうな怒鳴り声）,
[BARK]Pain_3,（苦しそうな怒鳴り声）,
[BARK]Pain_4,（苦しそうな怒鳴り声）,
[BARK]Pain_5,（苦しそうな怒鳴り声）,
[BARK]Pain_6,（苦しそうな怒鳴り声）,
[BARK]Pain_7,（苦しそうな怒鳴り声）,
[BARK]Peppered_0,（咳き込む）,
[BARK]PepperImmune_0,スプレーはやめろ！,
[BARK]PlayerSeen_0,こっちだ！助けてくれ！,
[BARK]PlayerSeen_1,おい！おい、こっちだ！,
[BARK]PlayerSeen_10,おい、ここに人がいるんだ！助けてくれ、お願いだ！,
[BARK]PlayerSeen_11,助けてくれ、ここだ、こっちだ！,
[BARK]PlayerSeen_2,おーい、ここだ。助けてくれ、頼む！,
[BARK]PlayerSeen_3,おーい、ここだ、こっちだ！助けてくれ！,
[BARK]PlayerSeen_4,おーい、ここだ、こっちだ。助けてくれ！,
[BARK]PlayerSeen_7,おーい、ここだ。助けが必要なんだ！,
[BARK]PlayerSeen_8,助けてくれ！,
[BARK]StunImmune_0,今のは何だ？,
[BARK]Stunned_0,ああ、クソ！何だ？！,
[BARK]Stunned_1,ああ、クソ！え？！,
[BARK]Stunned_2,ああ、くそっ！,
[BARK]Stunned_3,クソッ、何だ？,
