Key,Dialogue,Context
[BARK]Arrested_0,うわあ、おい、何する？！,
[BARK]Arrested_1,何なんだよ？俺はあいつらの仲間じゃない！,
[BARK]Arrested_10,それは何のためだ？,
[BARK]Arrested_11,俺は何もしていない。だから、もう行っていいか？,
[BARK]Arrested_12,ひとりにしないでくれ！,
[BARK]Arrested_13,あ、あんたたち、LSPDだろ？,
[BARK]Arrested_14,ようやくこの地獄みたいな所を何とかする気になったか。,
[BARK]Arrested_15,次は金持ちのろくでなしどもを狙うんだな！あいつらのせいなんだ。,
[BARK]Arrested_16,あんなやつら殺しちまえばいいんだ、クソ犯罪者どもめ！,
[BARK]Arrested_17,おい、俺と一緒にいてくれるんじゃなかったのか？,
[BARK]Arrested_18,どこへ行くんだ？,
[BARK]Arrested_19,頼む、戻ってきてくれ！,
[BARK]Arrested_2,自分が何をしているかわかってるのか？,
[BARK]Arrested_20,銃か何か貸してくれ、俺も手伝う！,
[BARK]Arrested_21,なあ、あまり気分が優れないんだ。,
[BARK]Arrested_22,長くかかりそうなのか？,
[BARK]Arrested_23,お巡りさん、俺はそんなにヒマじゃないんだ！,
[BARK]Arrested_24,やっぱりあんたらに盾突くべきじゃないな。,
[BARK]Arrested_25,市はなぜこんなことを放置しているんだ？誰も気に留めやしない！,
[BARK]Arrested_26,俺がロススエノスに引っ越してきた頃は安全だった。だが、今は違う。,
[BARK]Arrested_27,LSPDは取り締まりを始めるべきだ！この状況を見てみろよ！,
[BARK]Arrested_28,ここはホームレスの居住地だ…二度と来くるか。,
[BARK]Arrested_29,二度と来るか。,
[BARK]Arrested_3,ここまでする必要あるのか？,
[BARK]Arrested_30,市はもっと警官を雇うべきだ。,
[BARK]Arrested_31,真っ昼間に人が強盗に襲われる所だって見たことあるんだ。狂ってるよ！,
[BARK]Arrested_32,ここはドラッグや銃だらけの無法地帯と化してる。なんでそいつらを捕まえない？,
[BARK]Arrested_33,もう外に出かけることもできやしない。安全な場所なんてない。,
[BARK]Arrested_34,このクソみたいな街のクソみたいなこと全部。もう我慢できない。,
[BARK]Arrested_4,手錠は悪人のためにあるんじゃないのか？,
[BARK]Arrested_5,こいつはすぐに外してくれるんだろ？,
[BARK]Arrested_6,俺は悪いことは何もしていない！,
[BARK]Arrested_7,こんなことは無意味だが、まあいい！,
[BARK]Arrested_8,俺はこんなところにいるべきじゃないんだ！,
[BARK]Arrested_9,人違いだと思うぞ。,
[BARK]BashImmune_0,あんたは本当にイカれてるよ！,
[BARK]Compliant_0,いや、失礼なことを言うつもりはないんだ。,
[BARK]Compliant_1,わかったから、さっさとここから出してくれ！,
[BARK]Compliant_10,了解した。,
[BARK]Compliant_11,わかった、わかった！,
[BARK]Compliant_2,怒鳴ることはないだろ。,
[BARK]Compliant_3,わかったって。今やってるよ！,
[BARK]Compliant_4,次は何をすればいいんだ？,
[BARK]Compliant_5,助かった。,
[BARK]Compliant_6,聞いてるよ。とにかくそいつを向こうに向けてくれ！,
[BARK]Compliant_7,お手柔らかに頼むよ、な？,
[BARK]Compliant_8,俺はあんたらの味方だ！,
[BARK]Compliant_9,俺はあんたらと問題を起こすのはゴメンだ。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_26,くそっ！ああー！なんてこった！ああー！,
[BARK]Death_27,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,くそっ！まじかよ！,
[BARK]FellowAIKilled_1,奴らが彼を殺しやがった！,
[BARK]FellowAIKilled_2,奴らが彼女を殺しやがった！,
[BARK]FellowAIKilled_3,くそっ！どうなってやがる！,
[BARK]FellowAIKilled_4,やめろ、お願いだ！死にたくない！,
[BARK]FellowAIKilled_5,ありえない！この狂人め！,
[BARK]Flashed_0,何も見えない！クソッ、目が見えない！,
[BARK]Flashed_1,（悲鳴）,
[BARK]Flashed_2,（悲鳴）,
[BARK]FlashImmune_0,今のわざとやってないだろうな？！,
[BARK]FlashImmune_1,今のは何のためだ？,
[BARK]GasImmune_0,なんなんだよ？俺は持病があるんだ！,
[BARK]GasImmune_1,おまえのケツを蹴っ飛ばしてやる！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]HeardSWAT_0,あれは警察か？助かった！,
[BARK]HeardSWAT_1,誰かいるか？助けてくれ！,
[BARK]HeardSWAT_2,誰だ？奴らの仲間か？,
[BARK]HeardSWAT_3,頼むから警察であってくれ！,
[BARK]HeardSWAT_4,おい、聞こえるか？ここだ！,
[BARK]HeardSWAT_5,ここに助けが必要だ！,
[BARK]HeardSWAT_6,誰だ？,
[BARK]HeardSWAT_7,ここから出してくれぇー！！,
[BARK]HeardSWAT_8,警察か？！助けてくれぇ！！,
[BARK]IdleAlly_0,俺たちはここから脱出するぞ。,
[BARK]IdleAlly_1,一体、何が起こってるんだ？,
[BARK]IdleAlly_10,銃を買っておけばよかった。,
[BARK]IdleAlly_11,こんな場所なんて、くそくらえ！,
[BARK]IdleAlly_12,これが終わったら、俺は家を売る。,
[BARK]IdleAlly_13,この街で何が起きたんだ？,
[BARK]IdleAlly_14,引っ越せるときに引っ越しておくべきだった。,
[BARK]IdleAlly_15,こいつら、クスリでもやってるのか？！,
[BARK]IdleAlly_2,助けの合図を出せるかもしれない。それしか方法はない！,
[BARK]IdleAlly_3,こんな状況になったのは初めてだ。どうしたらいいのかわからない。,
[BARK]IdleAlly_4,奴らに話しかけるな。俺たちのことは放っておいてくれるさ。,
[BARK]IdleAlly_5,シーッ！とにかく静かにしてろ！,
[BARK]IdleAlly_6,あのタバコのストライキが起きたときにすべてがクソになった！,
[BARK]IdleAlly_7,まったく驚きはしないな。ロススエノスの変わりっぷりを見てみろよ。,
[BARK]IdleAlly_8,携帯が壊れやがった。クソ！,
[BARK]IdleAlly_9,助けを得られるかもしれない。,
[BARK]IdleEnemy_0,とにかく俺を放してくれ！欲しい物は金でも何でもやるから。,
[BARK]IdleEnemy_1,危害は加えないでくれ！家族がいるんだ！もう一度家族に会いたい。,
[BARK]IdleEnemy_2,ここから出してくれ！何も話さないから！,
[BARK]IdleEnemy_3,教えてくれ。俺は助かるのか？,
[BARK]IdleEnemy_4,一体何が起きてるんだ？！,
[BARK]IdleEnemy_5,落ち着け。とにかく落ち着くんだ。,
[BARK]IdleSelf_0,クソッ！携帯がない！,
[BARK]IdleSelf_1,吐きそうだ。,
[BARK]IdleSelf_2,クソッ！俺は世界一ツイてない人間だ！,
[BARK]IdleSelf_3,なんで俺がこんな目に遭わなきゃならないんだ？,
[BARK]IdleSelf_4,ここを脱出する方法を見つけないと。,
[BARK]IdleSelf_5,奴らに見つかったら、殺される。,
[BARK]IdleSelf_6,クソ、クソ、クソッ！どうすればいいんだ？,
[BARK]IdleSelf_7,神様、どうかこれがすべて夢だって言ってくれ。,
[BARK]NonCompliant_0,まさか！俺は何もしていない！,
[BARK]NonCompliant_1,俺は悪人じゃない！,
[BARK]NonCompliant_2,何するんだよ？目が見えないのか？,
[BARK]NonCompliant_3,ふざけんな！,
[BARK]NonCompliant_4,さもないと何だ？俺を撃つつもりか？,
[BARK]NonCompliant_5,俺はこの件とは何の関係もない！,
[BARK]NonCompliant_6,LSPDなんか地獄に落ちろ！,
[BARK]NonCompliant_7,100万ドルやると言われても、こんなところにいたくない！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,まったく！,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]Pain_6,（苦痛に満ちた叫び声）,
[BARK]Pain_7,（苦痛に満ちた叫び声）,
[BARK]PlayerSeen_0,俺はこの件とは無関係だ！善良な市民なんだ！,
[BARK]PlayerSeen_1,撃つな！,
[BARK]StunImmune_0,うわあ、今のは一体何だったんだ？,
[BARK]StunImmune_1,訴えるぞ！,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[REPLY]Shooting_0,誰が撃ってるんだ？,
[REPLY]Shooting_1,ヤバい！あの銃は本物だ！,
[REPLY]Shooting_2,あれは花火か、それとも本物なのか？,
[REPLY]Shooting_3,わあぁ、クソッ、クソッ！撃たれるのは嫌だ！,
[REPLY]Shooting_4,わあぁ、クソッ、クソッ！撃たれるのは嫌だ！,
[REPLY]Shooting_5,（悲鳴）,
[REPLY]Shooting_6,伏せろ！,
[REPLY]Shooting_7,クソッ！もう少しで当たるところだった！,
[TELL]Fleeing_0,気をつけろ！,
[TELL]Fleeing_1,俺はまだ若いんだ！まだ死にたくない！,
[TELL]Fleeing_10,もう限界だ！こんなのクソだ！,
[TELL]Fleeing_11,こんなことに命をかける価値はない！,
[TELL]Fleeing_12,これ以上ここにはいられない！,
[TELL]Fleeing_13,こんなの完全に狂ってる！,
[TELL]Fleeing_2,クソッ！どうしようもない！,
[TELL]Fleeing_3,俺の人生はこれからなんだ！,
[TELL]Fleeing_4,（悲鳴）,
[TELL]Fleeing_5,（悲鳴）,
[TELL]Fleeing_6,ああ、なんてこった！俺は撃たれたのか？,
[TELL]Fleeing_7,クソッ、出口はどこだ？！,
[TELL]Fleeing_8,俺はここを脱出する！,
[TELL]Fleeing_9,俺は助けを呼びに行く！,
