Key,Dialogue,Context
[BARK]Arrested_0,マズイ。,
[BARK]Arrested_1,サイアクだ。,
[BARK]Arrested_10,いたっ！,
[BARK]Arrested_11,あたしはやってない！,
[BARK]Arrested_12,あたしはやってない。やってない。やってない。,
[BARK]Arrested_13,クソッタレ！チッ。,
[BARK]Arrested_14,くたばれ！,
[BARK]Arrested_15,くそったれ！,
[BARK]Arrested_16,何も言うもんか。,
[BARK]Arrested_17,わかったよ。あんたはやるべきことをやってるんだろ。,
[BARK]Arrested_18,わかったよ。あんたはやるべきことをやってるんだろ。あたしたちと同じだ。,
[BARK]Arrested_19,クソッ、少なくとも自分の寝床はあるんだ。,
[BARK]Arrested_2,ちょっと、腕に気をつけてよ！,
[BARK]Arrested_20,ちょっとあんた、またなの？無理。,
[BARK]Arrested_21,なぜ撃たなかったのよ？クソ。,
[BARK]Arrested_22,なぜ撃たなかったのよ？クソッ！,
[BARK]Arrested_23,あんたの決めつけなんて、いらないんだよ、ブタ野郎。,
[BARK]Arrested_24,あんたの決めつけなんて、いらないんだよ、ブタ野郎。,
[BARK]Arrested_25,あたしにはやましいことなんてないんだよ、ブタ野郎。,
[BARK]Arrested_26,何も言うもんか。,
[BARK]Arrested_27,何も言うもんか。,
[BARK]Arrested_28,これで終わりってわけ？,
[BARK]Arrested_29,クソッ、少なくとも自分の寝床はあるんだ。,
[BARK]Arrested_3,ちょっと！腕に気をつけてよ！,
[BARK]Arrested_30,ちょっとあんた、カンベンしてよ。,
[BARK]Arrested_4,腕に気をつけろよ、クソが！,
[BARK]Arrested_5,クソッ！,
[BARK]Arrested_6,クソッ！,
[BARK]Arrested_7,クソッ！,
[BARK]Arrested_8,クソ。,
[BARK]Arrested_9,エライ人になった気分ってわけ？,
[BARK]BashImmune_0,それだけ？,
[BARK]Compliant_0,わかった、わかった。,
[BARK]Compliant_1,OK！わかった、わかった。,
[BARK]Compliant_10,わかったよ、もういい、もういいよ。,
[BARK]Compliant_11,わかったよ、もういい！もういいよ！,
[BARK]Compliant_12,降伏するよ！,
[BARK]Compliant_13,降伏するよ！,
[BARK]Compliant_14,もうたくさんだ！もういいよ！,
[BARK]Compliant_15,もうたくさんだ！もういいよ！,
[BARK]Compliant_2,わかった、負けたよ！,
[BARK]Compliant_3,神様に従うよ！,
[BARK]Compliant_4,クソッ、撃たないで！,
[BARK]Compliant_5,言うことを聞くから！,
[BARK]Compliant_6,銃がダメになった！壊れた！,
[BARK]Compliant_7,銃がダメになった！こ、壊れた！,
[BARK]Compliant_8,あたしは丸腰だよ！,
[BARK]Compliant_9,わかった、わかったよ！あんたらの勝ちだ！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_26,（悲鳴）,
[BARK]Death_27,（悲鳴）,
[BARK]Death_28,（悲鳴）,
[BARK]Death_29,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_30,（悲鳴）,
[BARK]Death_31,（悲鳴）,
[BARK]Death_32,（悲鳴）,
[BARK]Death_33,（悲鳴）,
[BARK]Death_34,（悲鳴）,
[BARK]Death_35,（悲鳴）,
[BARK]Death_36,（悲鳴）,
[BARK]Death_37,（悲鳴）,
[BARK]Death_38,（悲鳴）,
[BARK]Death_39,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_40,（悲鳴）,
[BARK]Death_41,（悲鳴）,
[BARK]Death_42,（悲鳴）,
[BARK]Death_43,（悲鳴）,
[BARK]Death_44,（悲鳴）,
[BARK]Death_45,（悲鳴）,
[BARK]Death_46,（悲鳴）,
[BARK]Death_47,（悲鳴）,
[BARK]Death_48,（悲鳴）,
[BARK]Death_49,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_50,（悲鳴）,
[BARK]Death_51,（悲鳴）,
[BARK]Death_52,（悲鳴）,
[BARK]Death_53,（悲鳴）,
[BARK]Death_54,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,クソッ！,
[BARK]FellowAIKilled_1,なんてことだ！,
[BARK]FellowAIKilled_2,奴らが殺しやがったんだよ！,
[BARK]FellowAIKilled_3,クソッ！,
[BARK]FellowAIKilled_4,奴らが殺しやがったんだよ！,
[BARK]FellowAIKilled_5,あのクソ野郎を捕まえるんだ！,
[BARK]FellowAIKilled_6,あのクソ野郎を捕まえるんだ！,
[BARK]FellowAIKilled_7,あのクソ野郎を捕まえるんだ！,
[BARK]FellowAIKilled_8,おまえはもうおしまいだ、わかったか？！,
[BARK]Flashed_0,うぅ！ああ、耳が聞こえない！,
[BARK]Flashed_1,あー！ああ、耳が聞こえない！,
[BARK]Flashed_2,クソッ！目が！,
[BARK]FlashImmune_0,アハハハハ！,
