Key,Dialogue,Context
[BARK]Arrested_0,ああ、クソッ。,
[BARK]Arrested_1,おい、この手錠、きつく締めすぎだぜ！,
[BARK]Arrested_10,くそっ。,
[BARK]Arrested_11,手を離せ。,
[BARK]Arrested_13,手を離せ！,
[BARK]Arrested_15,うっ、くそっ！,
[BARK]Arrested_16,底辺の世界がどんなものか、お前には分からなんだろうな。,
[BARK]Arrested_17,お前らには分からねえだろ。俺たちは生き延びるために必死なんだ。,
[BARK]Arrested_18,やらなきゃならなかったことをやっただけだ。,
[BARK]Arrested_19,俺を喋らせることなんて無理だ。,
[BARK]Arrested_2,この手錠、少し緩めてくれねえか？,
[BARK]Arrested_20,俺はこれが起こると分かってた。,
[BARK]Arrested_21,お前のやるべきことをやれ。,
[BARK]Arrested_22,路上で一晩過ごせば、お前も分かるだろうよ。,
[BARK]Arrested_3,俺は何もしてない！,
[BARK]Arrested_5,弁護士と話させろ。,
[BARK]Arrested_6,お前には何も言わねえ。,
[BARK]Arrested_7,これは良くないぜ。,
[BARK]Arrested_8,くそっ。,
[BARK]Arrested_9,くそっ。,
[BARK]Bashed_0,（うめき声）,
[BARK]Bashed_1,（うめき声）,
[BARK]Bashed_2,（うめき声）,
[BARK]BashImmune_0,もっかいやってみろ、このクソ野郎！,
[BARK]BashImmune_1,もっとマシな攻撃はねえのかよ！,
[BARK]Compliant_0,手を上げてるから、撃つなよ！,
[BARK]Compliant_1,銃は捨てたから。,
[BARK]Compliant_3,銃は下ろした、もう何も持ってない。,
[BARK]Compliant_4,もうダメだ、降参する！,
[BARK]Compliant_5,降参だ。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_26,（悲鳴）,
[BARK]Death_27,（悲鳴）,
[BARK]Death_28,（悲鳴）,
[BARK]Death_29,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_30,（悲鳴）,
[BARK]Death_31,（悲鳴）,
[BARK]Death_32,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,ああ、クソッ！,
[BARK]FellowAIKilled_1,ああ、クソッ！,
[BARK]FellowAIKilled_3,ああ、クソッ！,
[BARK]FellowAIKilled_4,ああ、くそ！,
[BARK]FellowAIKilled_5,ああ、くそ。,
[BARK]FellowAIKilled_6,ああ、くそ！,
[BARK]FellowAIKilled_7,ああ、くそ！,
[BARK]Flashed_0,（悲鳴）,
[BARK]Flashed_1,（悲鳴）,
[BARK]FlashImmune_0,それで精一杯か？,
[BARK]FlashImmune_1,もっと頑張れよ、このポリ公。,
[BARK]FlashImmune_2,もっとマシな攻撃はねえのかよ！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]GettingFlanked_0,奴らが来るぞ！,
[BARK]GoingToFallbackPoint_0,後退するぞ！,
[BARK]GoingToFallbackPoint_1,退くぞ！,
[BARK]GoingToFallbackPoint_2,退くぞ！,
[BARK]GoingToFallbackPoint_3,くそ、銃が壊れやがった！,
[BARK]GoingToFallbackPoint_4,銃が詰まった！,
[BARK]HeardSwat_0,この音、奴だ！,
[BARK]HeardSwat_1,この音、奴だ！,
[BARK]HitThePlayer_0,死ね、このポリ公！,
[BARK]Hostages_0,おいおい、人質のところへ行け！警察がきた！,
[BARK]Hostages_1,人質のところへ行け！SWATだ！,
[BARK]IdleAlly_0,おう。,
[BARK]IdleAlly_1,おう。,
[BARK]IdleEnemy_0,奴らが下手に動いたら、お前らを殺す。,
[BARK]IdleEnemy_1,サツが下手に動かないことを祈るがいい。,
[BARK]IdleEnemy_2,もういい、黙れ。,
[BARK]IdleEnemy_3,黙って考えさせろ、クソ。,
[BARK]IdleEnemy_4,黙って考えさせろ、クソ。,
[BARK]IdleEnemy_5,逃げようとするなよ。,
[BARK]IdleSelf_0,おう。,
[BARK]KillCivilian_0,クソったれ、人質を殺せぇ！,
[BARK]KillCivilian_1,クソったれ、人質を殺せ！,
[BARK]KillCivilian_2,人質を殺せ、クソったれ！,
[BARK]KillCivilian_3,クソったれ、人質を撃て！,
[BARK]KillCivilian_4,クソったれぇ！人質を撃て！,
[BARK]KillCivilian_5,奴らを処刑しろ！,
[BARK]KillCivilian_6,奴らを処刑しろ！,
[BARK]KillCivilian_7,奴を撃ち殺せ！,
[BARK]KillCivilian_8,奴を処刑しろ！撃ち殺せ！,
[BARK]NonCompliant_0,くそ食らえ！,
[BARK]NonCompliant_1,くそ食らえ！,
[BARK]NonCompliant_2,消え失せろ、このポリ公が！,
[BARK]NonCompliant_3,絶対ありえねえ！,
[BARK]NonCompliant_4,何も下ろさねえぞ！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_10,（苦痛に満ちた叫び声）,
[BARK]Pain_11,（苦痛に満ちた叫び声）,
[BARK]Pain_12,（苦痛に満ちた叫び声）,
[BARK]Pain_13,（苦痛に満ちた叫び声）,
[BARK]Pain_14,（苦痛に満ちた叫び声）,
[BARK]Pain_15,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]Pain_6,（苦痛に満ちた叫び声）,
[BARK]Pain_7,（苦痛に満ちた叫び声）,
[BARK]Pain_8,（苦痛に満ちた叫び声）,
[BARK]Pain_9,（苦痛に満ちた叫び声）,
[BARK]Peppered_0,（咳）,
[BARK]PepperImmune_0,もっと頑張れよな、このポリ公！,
[BARK]PlayerSeen_1,駄犬どもめ！,
[BARK]PlayerSeen_2,くそっ、くたばれ！,
[BARK]PlayerSeen_3,奴らが来やがった！,
[BARK]PlayerSeen_4,奴らが来やがった。,
[BARK]PlayerSeen_5,サツが来るぞ！,
[BARK]PlayerSeen_8,準備しろ。,
[BARK]StunImmune_0,もう一回やってみろ、この野郎。,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]TaserImmune_0,おっと、今回は効かねえよ！,
[REPLY]Cover_0,分かった！,
[REPLY]Flash_0,フラッシュバンを投げてくるぞ！,
[REPLY]Hiding_0,この腰抜けが。,
[REPLY]Hiding_1,この弱虫め！,
[REPLY]Reloading_0,援護するぞ！,
[REPLY]Shooting_0,これでも食らえ！,
[REPLY]Shooting_1,食らえ、クソ野郎！,
[REPLY]Shooting_2,全員ぶっ殺せ！,
[REPLY]Shooting_3,てめえ殺してやる！,
[REPLY]Shooting_4,避けろ、お前の近くにいるぞ。,
[REPLY]Shooting_5,この部屋に引き込め！,
[REPLY]Shooting_6,あの隠れ場を撃ち抜け！,
[REPLY]Shooting_7,隠れ場を撃ち抜け！,
[REPLY]Shooting_8,今だ！押し寄せろ！奴らが気を取られてる！,
[TELL]Beanbag_0,奴らのビーンバッグに注意しろ！,
[TELL]Cover_0,避けろ、お前の近くにいるぞ。,
[TELL]Cover_1,近づけ！こっちに来い！,
[TELL]Fleeing_10,駄犬どもが来たぞ、逃げろ！,
[TELL]Fleeing_11,奴らが撃ってくるぞ！,
[TELL]Fleeing_3,ここから逃げなきゃ！,
[TELL]Fleeing_4,ここから逃げなきゃ。,
[TELL]Fleeing_5,くそ。サツだ！,
[TELL]Fleeing_6,くそ、サツだ！,
[TELL]Fleeing_7,俺は逃げるぞ。,
[TELL]Fleeing_8,くそ。おい、おい！サツだ！隠れろ！,
[TELL]Fleeing_9,くそ、おい、サツが来たぞ！隠れろ！,
[TELL]Grenades_0,手榴弾に注意しろ！,
[TELL]HeardSwat_0,何か聞こえたか？,
[TELL]HeardSwat_2,しー、何か聞こえたぞ。,
[TELL]HeardSwat_3,何か聞こえたぞ。,
[TELL]HeavyArmor_0,やつら重装備してるぞ、注意しろ！,
[TELL]HeavyArmor_1,胴体に装備を着ているぞ、頭を狙え！,
[TELL]HeavyArmor_2,脚を狙え！,
[TELL]Reloading_0,弾切れだ！,
[TELL]Reloading_1,装填中だ！,
[TELL]Shooting_0,くそったれども！,
[TELL]Shooting_1,ハハッ！,
[TELL]Shooting_4,これでも食らえ！,
[TELL]Shooting_5,奴をぶっ飛ばせ！,
[TELL]Shooting_6,近づけ！こっちに来い！,
[TELL]Shooting_7,奴を回り込め！,
[TELL]Shooting_8,壁越しに撃ち抜け！,
[TELL]Shooting_9,ぶっ放せ！,
[TELL]Tracking_0,何が見えるか教えてくれ。,
[TELL]Waiting_0,奴が近づくのを待て。,
[TELL]Waiting_1,出て来い、このクソ野郎ども。,
[TELL]Waiting_2,こっちに来い、このクソ野郎ども。見せてやるぜ。,
