Key,Dialogue,Context
[BARKS]NonCompliant_4,いや、お前が先に銃を下ろせ！,
[BARKS]NonCompliant_5,お前が先だ。,
[BARK]Arrested_0,クソ野郎どもめ、こいつを外せ！,
[BARK]Arrested_1,クソ野郎どもめ！,
[BARK]Arrested_10,はいはい、慣れたもんだよ。,
[BARK]Arrested_11,クソッタレ、俺はずっと路上で暮らしてきたんだ。,
[BARK]Arrested_12,もうどうでもいい。俺には何も残っちゃいない。人生、終わりだ。,
[BARK]Arrested_13,金が必要だったんだ。シャバには何もありゃしねえ。,
[BARK]Arrested_14,出所したらお前を家族もろとも殺してやる。,
[BARK]Arrested_15,俺の弁護士がここから出してくれるから、待ってろ。,
[BARK]Arrested_16,こいつを外してみろ。,
[BARK]Arrested_17,戻って来い、弱虫め！,
[BARK]Arrested_18,俺の時間を無駄にするな。,
[BARK]Arrested_19,俺はヒマじゃないんだ。,
[BARK]Arrested_2,クソッタレめ、何も言うもんか。,
[BARK]Arrested_20,おい、そんな時間あるのか？,
[BARK]Arrested_21,急いでくれないか？,
[BARK]Arrested_22,さっさとシェルターかどこかに連れてってくれよ。,
[BARK]Arrested_23,俺のこと何も知らないくせに！俺はすべてを失ったんだ！,
[BARK]Arrested_24,お前ら肝が据わってるな。,
[BARK]Arrested_3,俺に人権はねえのか？,
[BARK]Arrested_4,時間の無駄使いだ、ポリ公。,
[BARK]Arrested_5,こんなくだらねぇ事さっさと終わらせようぜ。,
[BARK]Arrested_6,電話をかけさせろよ！,
[BARK]Arrested_7,なにも終わっちゃいねえ。,
[BARK]Arrested_8,俺を放してくれれば、ここから大人しく立ち去るよ。,
[BARK]Arrested_9,勝手にしろ。俺はどうせ保釈される。,
[BARK]Compliant_0,わかったよ、落ち着けって。,
[BARK]Compliant_1,わかったよ。,
[BARK]Compliant_10,何でも言う通りにするよ。,
[BARK]Compliant_11,はいはい、わかったよ。,
[BARK]Compliant_2,降参だ。,
[BARK]Compliant_3,下ろすよ。他には何も持ってない！,
[BARK]Compliant_4,他に何かあるか、お巡りさん？,
[BARK]Compliant_5,これ以上のトラブルはごめんだ。,
[BARK]Compliant_6,了解した。,
[BARK]Compliant_7,聞いてるよ。,
[BARK]Compliant_8,わかったよ、俺を撃ったりしないよな？,
[BARK]Compliant_9,とりあえず殺さないでくれ。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_26,（悲鳴）,
[BARK]Death_27,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,くそっ！まじかよ！,
[BARK]FellowAIKilled_1,ケダモノどもめ！,
[BARK]FellowAIKilled_2,殺しやがった！,
[BARK]FellowAIKilled_3,あいつは俺の友人だったのに、てめえらクソ野郎が！,
[BARK]FellowAIKilled_4,クソッ！,
[BARK]Flashed_0,くそ、何も見えねえ！,
[BARK]Flashed_1,くそ！何も見えねえ！,
[BARK]Flashed_2,くそ、何も見えねえ！,
[BARK]Flashed_3,くそ、何も見えねえ！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]HeardSWAT_0,来客だ。,
[BARK]HeardSWAT_1,誰かいるぞ。,
[BARK]HeardSWAT_2,何か聞こえた気がする。,
[BARK]HeardSWAT_3,何だ？,
[BARK]HeardSWAT_4,誰かここにいるぞ。,
[BARK]IdleAlly_0,あとどれくらいかかるんだ？ちくしょう。,
[BARK]IdleAlly_1,俺が言いたいのは、もっとまともなシステムを考えられたはずだってことだ。,
[BARK]IdleAlly_2,緊張でもしてるのか？,
[BARK]IdleAlly_3,銃撃が始まっても俺を見捨てるなよ。,
[BARK]IdleAlly_4,マインドジョットを使うことはできる。でも、奴らがめちゃくちゃ見るだろうな。,
[BARK]IdleAlly_5,俺はギャングのことにはあまり興味がない。自分のやりたいことをしたいだけだ。,
[BARK]IdleAlly_6,デバンコはもう手に負えない。もう配達もしてくれない。,
[BARK]IdleAlly_7,ダウンタウンでメスが大流行している。俺はあんなもんには手を出さん。,
[BARK]IdleAlly_8,まったく、ロススエノスはおわってるぜ。ATMにすら金がない。,
[BARK]IdleAlly_9,みんな楽をしすぎだ。俺はずっと苦労してきたんだ。,
[BARK]IdleEnemy_0,落ち着けって。生き延びれるかもしれないぞ。,
[BARK]IdleEnemy_1,黙って俺の言う通りにしろ。,
[BARK]IdleEnemy_2,みんながおまえのような甘い人生を送っているわけじゃないんだ。,
[BARK]IdleEnemy_3,サツはデバンコのことで手一杯だ。おまえのことなど構っちゃいられない。,
[BARK]IdleEnemy_4,俺も昔はお前みたいだったんだ。世の中に人生を滅茶苦茶にされるまでは。,
[BARK]IdleEnemy_5,楽な人生送れてよかったな。,
[BARK]IdleSelf_0,ここはクソ暑いな。,
[BARK]IdleSelf_1,クソ。,
[BARK]IdleSelf_2,タバコはどこへやったっけな？,
[BARK]IdleSelf_3,喉が渇いた。この辺に何か飲み物はないのか？,
[BARK]IdleSelf_4,どうだっていいよ。どうせこの街はもうダメだ。,
[BARK]IdleSelf_5,みんなが強欲なクソ野郎でなければ、俺だってここにはいなかっただろう。,
[BARK]IdleSelf_6,テント生活に戻るのはもうごめんだ。,
[BARK]Immune_0,冗談だろ、クソ野郎？,
[BARK]Immune_1,おいおい、冗談だろ？,
[BARK]Immune_2,もう一回やってみろ。,
[BARK]Immune_3,効かないぞ、このクソが。,
[BARK]Immune_4,おい、それでおわりか？もっと頑張れよ！,
[BARK]Immune_5,そんな玩具じゃあ効かないぞ。,
[BARK]Immune_6,もっとマシな手を考えてみろよ！,
[BARK]Immune_7,どうしたんだ、クソ野郎？,
[BARK]Immune_8,ハハハ！まともな装備を買う資金もないのか？,
[BARK]KillCivilian_0,ゆっくり休みな。,
[BARK]KillCivilian_1,まあ、悪く思うなよ。,
[BARK]KillCivilian_2,さあ、地獄送りだぜ。,
[BARK]NonCompliant_0,地獄に落ちろ。,
[BARK]NonCompliant_1,くそくらえ。,
[BARK]NonCompliant_2,俺はどこへも行かないぞ。,
[BARK]NonCompliant_3,なんでそんなことしなきゃならねえんだ？,
[BARK]NonCompliant_4,お前らなんか怖くねえ！このクソ野郎ども！,
[BARK]Pain_0,,
[BARK]Pain_1,,
[BARK]Pain_2,,
[BARK]Pain_3,,
[BARK]Pain_4,,
[BARK]Pain_5,,
[BARK]PlayerSeen_0,サツだ！,
[BARK]PlayerSeen_1,警察が来た！,
[BARK]PlayerSeen_2,クソッ！奴らが来やがった！,
[BARK]PlayerSeen_3,くそ、SWATだ！,
[BARK]PlayerSeen_4,LSPDのヤツらめ！,
[BARK]PlayerSeen_5,ドアから入って来やがった！,
[BARK]PlayerSeen_6,誰を相手にしているのかわかってんのか？,
[BARK]PlayerSeen_7,あんなもん持ってたって役に立ちはしない！,
[BARK]PlayerSeen_8,不意を突かれた！,
[BARK]PlayerSeen_9,LSPDなんてクソくらえだ！,
[BARK]Shooting_4,手榴弾を投げさせるな！,
[BARK]Stunned_0,くそっ！動けねえよ、ちくしょ！,
[BARK]Stunned_1,くそっ！動けねえよ、ちくしょ！,
[BARK]Stunned_2,くそっ！動けねえよ、ちくしょ！,
[BARK]Stunned_3,くそっ、動けねえよ、ちくしょ！,
[BARK]Tased_0,グゥウウッ！,
[BARK]Tased_1,もし,
[BARK]Tased_2,,
[REPLY]Shooting_0,死ね、このバカ野郎！,
[REPLY]Shooting_1,奴を撃て！,
[REPLY]Shooting_10,中に入れろ。罠にはめるんだ。,
[REPLY]Shooting_11,奴らを分断させるんだ。,
[REPLY]Shooting_12,それで精一杯か？,
[REPLY]Shooting_13,ガッカリさせるな！,
[REPLY]Shooting_2,墓に送ってやる！,
[REPLY]Shooting_3,お前はここで死ぬんだ！,
[REPLY]Shooting_4,奴ら、防具を着てるぞ！,
[REPLY]Shooting_5,頭を狙え！,
[REPLY]Shooting_6,頭を低くしていろ！,
[REPLY]Shooting_7,身を隠せ！,
[REPLY]Shooting_8,手の込んだことはするな！早く殺れ！,
[REPLY]Shooting_9,俺の背中を守れ！,
[TELL]Fleeing_0,こんなのごめんだ！,
[TELL]Fleeing_1,責任を取るのはごめんだ。,
[TELL]Fleeing_10,金と車を用意しろ！,
[TELL]Fleeing_2,こんなのクソくらえだ！,
[TELL]Fleeing_3,俺は逃げるぞ。,
[TELL]Fleeing_4,逃げろ！,
[TELL]Fleeing_5,くそっ！出口はどこだ？,
[TELL]Fleeing_6,動け！,
[TELL]Fleeing_7,行け！逃げろ！,
[TELL]Fleeing_8,奴を部屋に入れるな！,
[TELL]Fleeing_9,おまえらなんかに捕まってたまるか！わかったか？！,
[TELL]Shooting_0,あそこだ！やっちまえ！,
[TELL]Shooting_1,奴の頭に一発撃ち込め！,
[TELL]Shooting_10,一日中やってられるよ！,
[TELL]Shooting_11,お前ら全員相手にしてやる！,
[TELL]Shooting_2,奴らを墓の下に送ってやれ！,
[TELL]Shooting_3,みんな殺せ！,
[TELL]Shooting_4,何かの後ろに隠れろ！,
[TELL]Shooting_5,撃ち続けろ！,
[TELL]Shooting_6,気に入ったか、おい？もっとあるぞ！,
[TELL]Shooting_7,その後ろだ！撃ち抜け！,
[TELL]Shooting_8,そうだ！入ってこい！,
[TELL]Shooting_9,お前ら！もしかしたら弾不足か？！,
