Key,Dialogue,Context
[BARK]Arrested_0,私は患者よ。,
[BARK]Arrested_1,何してるの？これを外して！,
[BARK]Arrested_10,ああ！手が！,
[BARK]Arrested_11,怪我をしてるの！ああ！きつく締めすぎよ！,
[BARK]Arrested_12,なんとか逃げ切ったの！,
[BARK]Arrested_2,私は犯罪者じゃないわ！,
[BARK]Arrested_3,私、無実よ！あああ！,
[BARK]Arrested_4,,
[BARK]Arrested_5,一体なんなのよ？,
[BARK]Arrested_6,医者を呼んで！,
[BARK]Arrested_7,助けて！ここから出して！,
[BARK]Arrested_8,ありがとう。,
[BARK]Arrested_9,これは何のため？私、何もしてないわ！,
[BARK]ArrestIdle_0,置いていかないで、お願い？,
[BARK]ArrestIdle_1,ど、どこに行くの？！,
[BARK]ArrestIdle_2,戻ってきて！,
[BARK]ArrestIdle_3,気を失いそうだわ。,
[BARK]ArrestIdle_4,家族のところに帰らせて！,
[BARK]ArrestIdle_5,手の感覚がないわ！,
[BARK]ArrestIdle_6,お願い、ここは安全じゃないわ。,
[BARK]ArrestIdle_7,知っている人はいるか聞かれたけど…全然わからなかったわ！,
[BARK]Bashed_0,（うめき）,
[BARK]Bashed_1,（うめき）,
[BARK]Bashed_2,（うめき）,
[BARK]Bashed_3,（うめき）,
[BARK]Bashed_4,（うめき）,
[BARK]Bashed_5,（うめき）,
[BARK]Bashed_6,（うめき）,
[BARK]Bashed_7,（うめき）,
[BARK]Bashed_8,（うめき）,
[BARK]Bashed_9,（うめき声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Compliant_0,助かったわ。,
[BARK]Compliant_1,わかったから、撃たないで！,
[BARK]Compliant_2,お願い聞いて、私は味方よ！,
[BARK]Compliant_3,わかった、わかった、わかったから！,
[BARK]Compliant_4,何も持ってないよ。私は人殺しじゃないわ。,
[BARK]Compliant_5,今やってる！,
[BARK]Compliant_6,聞いてるわよ。,
[BARK]Compliant_7,ゆっくりやるわ。,
[BARK]Compliant_8,お願い、助けて！,
