Key,Dialogue,Context
[BARK]Arrested_0,,
[BARK]Arrested_1,あんたには関係ないでしょ！,
[BARK]Arrested_10,はいはい、あんたがヒーローよ。,
[BARK]Arrested_11,はいはい、あんたがヒーローよ。,
[BARK]Arrested_12,何をしてるか分かってるの？,
[BARK]Arrested_13,復讐よ。気が済んだわ。,
[BARK]Arrested_14,あれで終わったと思う？,
[BARK]Arrested_15,まだまだ終わっちゃいない。,
[BARK]Arrested_16,あれで終わったと思う？,
[BARK]Arrested_2,これって今やることなわけ？,
[BARK]Arrested_3,あいつは死んだかもしれない！,
[BARK]Arrested_4,私が何をしたっていうのよ！,
[BARK]Arrested_5,あんたたちには何も関係ない！,
[BARK]Arrested_6,くたばれ、クソ野郎！,
[BARK]Arrested_7,うせろ！,
[BARK]Arrested_8,放して！,
[BARK]Arrested_9,誰だってやることよ。,
[BARK]ArrestIdle_0,ロススエノス警察は役立たずよ。,
[BARK]ArrestIdle_1,警察がバカなのはしかたない。まともに仕事もできないんだから。,
[BARK]ArrestIdle_2,警察がバカなのはどうしようもない！,
[BARK]ArrestIdle_3,これは何が正義かという話よ。,
[BARK]ArrestIdle_4,あのイカれ野郎を生かしておいて私を逮捕するの？,
[BARK]ArrestIdle_5,こうするしかなかった。,
[BARK]ArrestIdle_6,警察は気にもかけない…まあ、今は違う。,
[BARK]ArrestIdle_7,人違いよ。,
[BARK]ArrestIdle_8,何も説明する義務はない。,
[BARK]ArrestIdle_9,好きにすればいい。みんな私の味方だから。,
[BARK]Bashed_0,（うめき声）,
[BARK]Bashed_1,（うめき声）,
[BARK]Bashed_10,（うめき声）,
[BARK]Bashed_2,（うめき声）,
[BARK]Bashed_3,（うめき声）,
[BARK]Bashed_4,（うめき声）,
[BARK]Bashed_5,（うめき声）,
[BARK]Bashed_6,（うめき声）,
[BARK]Bashed_7,（うめき声）,
[BARK]Bashed_8,（うめき声）,
[BARK]Bashed_9,（うめき声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Compliant_0,クソ、降参よ。,
[BARK]Compliant_1,撃たないで。,
[BARK]Compliant_10,もう終わりにして。,
[BARK]Compliant_11,まだ終わってない。,
[BARK]Compliant_2,撃たないで！,
[BARK]Compliant_3,クソ！,
[BARK]Compliant_4,分かった。,
[BARK]Compliant_5,分かった、分かった！,
[BARK]Compliant_6,ただ一度だけ復讐をしたいだけなの。,
[BARK]Compliant_7,やればいい…こういうことが好きなんでしょ。,
[BARK]Compliant_8,こういうことが好きなんでしょ。,
[BARK]Compliant_9,はいはい、クソ。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]FellowAIKilled_0,立って！,
[BARK]FellowAIKilled_1,私たちだけじゃ何もできない！,
[BARK]FellowAIKilled_2,やられた！,
[BARK]FellowAIKilled_3,医者を探して。,
[BARK]FellowAIKilled_4,クソ！,
[BARK]Flashed_0,ああ！目が！クソ！,
[BARK]Flashed_1,ああ、クソ！何も見えない！何も見えない！何なの？何も見えない！,
[BARK]Flashed_2,ああ、クソ！目が！ああ、クソ！目が見えない！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]Gassed_3,（咳）,
[BARK]HeardSWAT_0,今すぐ出てきて！,
[BARK]HeardSWAT_1,今すぐ出てきて。,
[BARK]HeardSWAT_2,誰？悪いようにはしない。,
[BARK]HeardSWAT_3,何？,
[BARK]HeardSWAT_4,ちょっと。,
[BARK]HeardSWAT_5,何か聞こえる。,
[BARK]Hesitating_0,クソ！,
[BARK]Hesitating_1,クソ。,
[BARK]Hesitating_2,クソ…,
[BARK]Hesitating_3,あー…,
[BARK]Hesitating_4,えっと…あー…,
[BARK]Hesitating_5,うう…,
[BARK]HitThePlayer_0,もがき苦しめ！,
[BARK]HitThePlayer_1,痛かった？,
[BARK]HitThePlayer_2,これで分かったでしょ。,
[BARK]IdleAlly_0,探し回ったけど奴が見つからない。,
[BARK]IdleAlly_1,この部屋のどこかにいるはず。,
[BARK]IdleAlly_2,奴は見つかった？,
[BARK]IdleAlly_3,無実の人じゃなく、あいつのために来たのだと思ってた。,
[BARK]IdleAlly_4,何をしてるの？,
[BARK]IdleAlly_5,何か分かった？,
[BARK]IdleAlly_6,急がないと。,
[BARK]IdleAlly_7,突然のことだった。,
[BARK]IdleAlly_8,長引いてるわ。,
[BARK]IdleEnemy_0,探してるのはあんたじゃなく、みんなを殺したあいつよ。,
[BARK]IdleEnemy_1,邪魔しなければ痛い目に遭うこともない。,
[BARK]IdleEnemy_2,あなたは敵じゃない。,
[BARK]IdleEnemy_3,傷つけたくはない。,
[BARK]IdleEnemy_4,あんたは関係ない！,
[BARK]IdleSelf_0,あの子はどこ？,
[BARK]IdleSelf_1,クソ！,
[BARK]IdleSelf_2,警察が何もしないなら私がやる。,
[BARK]IdleSelf_3,真剣に聞いてくれないのならお呼びじゃない。,
[BARK]Immune_0,クソ野郎！！,
[BARK]Immune_1,あんたは終わりよ。,
[BARK]Immune_2,あんたは終わりよ！,
[BARK]Immune_3,どうしたの？,
[BARK]Immune_4,覚悟しておいて。,
[BARK]IncapIdle_0,ああ！クソ！,
[BARK]IncapIdle_1,ああ！うう！,
[BARK]IncapIdle_2,うう！ああ！,
[BARK]IncapIdle_3,うう！ああ！,
[BARK]KillCivilian_0,殺して。,
[BARK]KillCivilian_1,生きるに値しない。,
[BARK]KillCivilian_2,あんたも同類よ。,
[BARK]KnifeThePlayer_0,死ぬ時は道連れよ！,
[BARK]KnifeThePlayer_1,あのね…クソ野郎。,
[BARK]KnifeThePlayer_2,これは被害者の分！,
[BARK]NonCompliant_0,クソ野郎！,
[BARK]NonCompliant_1,うせろ！,
[BARK]NonCompliant_2,割に合わない。,
[BARK]NonCompliant_3,どこへも行く気はない。,
[BARK]NonCompliant_4,死んだらどう？,
[BARK]NonCompliant_5,嫌よ。,
[BARK]NonCompliant_6,止まるつもりはない！,
[BARK]NonCompliant_7,目的を果たさないと。,
[BARK]NonCompliant_8,クソ野郎、止まるつもりはない！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,ああ！クソ野郎！,
[BARK]Pain_10,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]Pain_6,（苦痛に満ちた叫び声）,
[BARK]Pain_7,（苦痛に満ちた叫び声）,
[BARK]Pain_8,（苦痛に満ちた叫び声）,
[BARK]Pain_9,（苦痛に満ちた叫び声）,
[BARK]PlayerSeen_0,どいて！,
[BARK]PlayerSeen_1,クソ！,
[BARK]PlayerSeen_2,遅い！,
[BARK]PlayerSeen_3,ああ、クソ！,
[BARK]PlayerSeen_4,クソ！,
[BARK]PlayerSeen_5,殺させないで！,
[BARK]PlayerSeen_6,この病院で死ぬのよ！,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,ああ！ああ、クソ！ああ！,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[BARK]Tased_2,（苦痛に満ちた叫び声）,
[REPLY]Fleeing_0,どこへ行くの？,
[REPLY]Fleeing_1,どこへ行くの？,
[REPLY]Fleeing_2,腰抜け！,
[REPLY]Fleeing_3,腰抜け！,
[REPLY]Fleeing_4,みんなを連れてきて！,
[REPLY]Fleeing_5,行って！,
[REPLY]Shooting_0,殺すのよ！早く！,
[REPLY]Shooting_1,気をつけて！,
[REPLY]Shooting_2,奴を奪われないように！,
[REPLY]Shooting_3,私たちを止めようとしてる！,
[TELL]Fleeing_0,クソ！,
[TELL]Fleeing_1,退避する！,
[TELL]Fleeing_2,勝ち目はない！,
[TELL]Fleeing_3,ウソ！,
[TELL]Shooting_0,クソ野郎！出てくるな！,
[TELL]Shooting_1,なめるんじゃない！,
[TELL]Shooting_2,死にたいの？,
[TELL]Shooting_3,死んで地獄に落ちろ！,
[TELL]Shooting_4,ちょうど死体置き場がある。,
[TELL]Shooting_5,ふざけてなんかない。,
[TELL]Shooting_6,死体置き場に送ってやる！,
