Key,Dialogue,Context
[BARK]Arrested_0,お前の仲間が墓場で撃たれたのを覚えている。名前は何だった？,
[BARK]Arrested_1,お前も俺たちの仲間になるべきだ。,
[BARK]Arrested_2,お前、本当は誰のために戦っている？,
[BARK]Arrested_3,（うめき声）,
[BARK]Arrested_4,そう長く俺を捕らえられると思わない事だ。,
[BARK]Arrested_5,俺は数えきれない回数、釈放されてきた。,
[BARK]Arrested_6,これが通るとでも思っているのか？,
[BARK]Arrested_7,混血野郎。,
[BARK]Compliant_0,わかった、わかった！,
[BARK]Compliant_1,手を上げているだろ。,
[BARK]Compliant_2,ほら、もう十分だ。降伏しろ。,
[BARK]Compliant_3,手を上げているぞ！,
[BARK]Compliant_4,撃つな。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,くそっ。,
[BARK]FellowAIKilled_1,お前もか。,
[BARK]FellowAIKilled_2,良い兵士だった。,
[BARK]HeardSWAT_0,出てこい。,
[BARK]HeardSWAT_1,戻ってこい。,
[BARK]HeardSWAT_2,今すぐ出てきたら、歯を全部折るのはやめといてやる。,
[BARK]IdleAlly_0,この部屋をしっかり封鎖しろ。,
[BARK]IdleAlly_1,ここにサツを絶対入れるなよ。,
[BARK]IdleAlly_2,この部屋をしっかり封鎖しろ。,
[BARK]IdleAlly_3,ここに絶対サツを入れるなよ。ただじゃ済まないからな！,
[BARK]IdleAlly_4,このホテルはバイカー歓迎だって噂だったのだけどな。,
[BARK]IdleAlly_5,ここでの仕事が済んだら、全員を集めよう。,
[BARK]IdleEnemy_0,黙れと言っただろう！,
[BARK]IdleEnemy_1,黙れと言っただろう！,
[BARK]IdleEnemy_2,黙っていれば生きて出られるかもな。,
[BARK]IdleEnemy_3,もう話すな。,
[BARK]IdleEnemy_4,原型がなくなるぐらいズタズタにしてやる。,
[BARK]NonCompliant_0,俺には神がついている。そう簡単に諦めるものか。,
[BARK]NonCompliant_1,くそったれのポリ公め！,
[BARK]NonCompliant_2,くそ食らえ！,
[BARK]NonCompliant_3,ポリ公め！,
[BARK]NonCompliant_4,くそ食らえ！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]PlayerSeen_0,見つけたぞ！,
[BARK]PlayerSeen_1,俺から隠れたって無駄だ。,
[BARK]PlayerSeen_2,援護しろ！,
[BARK]PlayerSeen_3,誰か今すぐ助けに来い！,
[BARK]PlayerSeen_4,警察は本格的な武装をしているぞ！,
[BARK]PlayerSeen_5,来たぞ！,
[BARK]PlayerSeen_6,戻れ！戻れ！,
[BARK]PlayerSeen_7,あぁ、神よ！,
[BARK]PlayerSeen_8,くそっ！,
[TELL]Fleeing_0,後退した！,
[TELL]Fleeing_1,後退する！,
[TELL]Fleeing_2,戻れ！,
[TELL]Fleeing_3,戻れ！,
[TELL]Fleeing_4,誰か今すぐ助けに来い！,
[TELL]Fleeing_5,こっちに来い！,
[TELL]Shooting_0,うおおお！,
[TELL]Shooting_1,奴らを撃て！,
[TELL]Shooting_2,とらえたぞ！,
