Key,Dialogue,Context
[BARK]Arrested_0,この街の警察の典型だな。,
[BARK]Arrested_1,この手錠は悪人のためのものだろう！,
[BARK]Arrested_10,あんたらに言うことは何もない。,
[BARK]Arrested_11,ああ、何もかもめちゃくちゃだ！,
[BARK]Arrested_12,手加減しろよ！,
[BARK]Arrested_13,俺は悪いことは何もしていない！,
[BARK]Arrested_14,俺は悪いことは何もしていない！,
[BARK]Arrested_15,すべてが大きな間違いだったんだ。無理だ...どうしたらいいのかわからない。,
[BARK]Arrested_16,すべてが大きな間違いだったんだ。無理だ—,
[BARK]Arrested_2,俺は奴らと悪いことは何もしていない！,
[BARK]Arrested_3,外にでなくては！俺のオヤジは上院議員なんだ！,
[BARK]Arrested_4,もしオヤジに手錠をかけられている姿を見られたら？,
[BARK]Arrested_5,もしオヤジに手錠をかけられている姿を見られたら？,
[BARK]Arrested_6,俺を見るな。,
[BARK]Arrested_7,俺をここから出してくれ。,
[BARK]Arrested_8,あんたらに言うことは何もない。,
[BARK]Arrested_9,とにかくここから出してくれ。,
[BARK]CallOutForHelp_0,助けて！,
[BARK]CallOutForHelp_1,助けてくれ！,
[BARK]CallOutForHelp_2,助けて！,
[BARK]CallOutForHelp_3,助けてくれ！,
[BARK]CallOutForHelp_4,助けて！,
[BARK]CallOutForHelp_5,助けてくれ！,
[BARK]CallOutForHelp_6,ああ、お願いだ！,
[BARK]Compliant_0,わかった、わかった！,
[BARK]Compliant_1,俺は悪いことは何もしていない！,
[BARK]Compliant_2,わ、わかったよ。,
[BARK]Compliant_3,危害を加えないでくれ。,
[BARK]Compliant_4,わかった、わかった！手加減してよ！,
[BARK]Compliant_5,わかった、わかった！手加減してよ！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_26,（悲鳴）,
[BARK]Death_27,（悲鳴）,
[BARK]Death_28,（悲鳴）,
[BARK]Death_29,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_30,（悲鳴）,
[BARK]Death_31,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]Flashed_0,（悲鳴）,
[BARK]Flashed_1,（悲鳴）,
[BARK]Flashed_2,（悲鳴）,
[BARK]IdleAlly_0,余計なお世話だ。,
[BARK]IdleAlly_1,余計なお世話だ。,
[BARK]IdleEnemy_0,こんなのデタラメだ。俺はあんたらの力になれるかもしれないんだぞ！俺のオヤジが誰だか知ってるんだろ！,
[BARK]IdleEnemy_1,じゃあ、俺にここにいろと？,
[BARK]IdleEnemy_2,でも、外に出るっていうのは？俺たちは行くべきだ！すべてがあっという間に悪化してこうなったんだ。ここに留まるのが賢明だとは思えない。,
[BARK]IdleEnemy_3,なぜここに留まる必要があるんだ？,
[BARK]NonCompliant_0,あんたのクソみたいな仕事を続けたいなら、俺の邪魔はしないほうがいいぞ！,
[BARK]NonCompliant_1,ブタめ！,
[BARK]NonCompliant_2,失せろ！,
[BARK]NonCompliant_3,ブタども！,
[BARK]NonCompliant_4,ブタども！,
[BARK]NonCompliant_5,ありえない！,
[BARK]NonCompliant_6,ありえない。,
[BARK]NonCompliant_7,ブタめ。,
[BARK]PlayerKillsCivilian_0,こんなことは起きるべきじゃなかった。,
[BARK]PlayerKillsCivilian_1,こんなふうには。,
[BARK]PlayerKillsCivilian_2,ああ、何もかもめちゃくちゃだ！,
[BARK]PlayerKillsCivilian_3,お願いだ！,
[BARK]PlayerKillsCivilian_4,こんなのありえない！,
[BARK]PlayerKillsCivilian_5,なんてこった！,
[BARK]PlayerKillsCivilian_6,ああ、お願いだ！,
[BARK]PlayerKillsCivilian_7,頼むから俺を死なせないでくれ！お願いだ！,
[BARK]PlayerSeen_0,助けてくれ！,
[BARK]PlayerSeen_1,頼む！お願いだ！,
[BARK]PlayerSeen_2,おい！,
[BARK]PlayerSeen_3,撃つな！,
[BARK]PlayerSeen_4,おい！こっちだ！,
[BARK]PlayerSeen_5,こっちだ！,
[BARK]PlayerSeen_6,おーい！おーい！,
[BARK]PlayerSeen_7,俺はここだ！,
[BARK]PlayerSeen_8,おーい、おーい！俺はここだ！,
[BARK]PlayerSeen_9,おーい！おーい！俺はここだ！,
[BARK]Stunned_0,ああ、クソッ！,
[TELL]Fleeing_0,で、できない！無理だ！,
[TELL]Fleeing_1,で、できない！無理だ！,
[TELL]Fleeing_2,やめろ！,
