Key,Dialogue,Context
[BARK]Arrested_0,なんで逮捕するの？何もしてないよ！,
[BARK]Arrested_1,ここから出してくれない？,
[BARK]Arrested_10,やめてよ、ただのボーイなんだ。,
[BARK]Arrested_11,1人がショットガンを持ってた。そいつがギャングの奴らに発砲する音が聞こえたよ。,
[BARK]Arrested_2,全員逮捕しないといけないのは分かってるけど…ここから出してくれない？,
[BARK]Arrested_3,1人がショットガンを持ってたと思う。そいつがギャングの奴らに発砲する音が聞こえた。,
[BARK]Arrested_4,何も悪いことはしてない！こんなことしなくていいでしょ！,
[BARK]Arrested_5,ちょっと、落ち着いてよ。妙なマネはしないから。,
[BARK]Arrested_6,みんな殺される。こいつらはイカれてる。,
[BARK]Arrested_7,死にたくない。,
[BARK]Arrested_8,やめて！,
[BARK]Arrested_9,ここの従業員だよ。,
[BARK]CallOutForHelp_0,助けて！,
[BARK]CallOutForHelp_1,お願い、助けて！,
[BARK]CallOutForHelp_2,こっちだ！助けて！,
[BARK]CallOutForHelp_3,こっちだ！助けて！,
[BARK]Compliant_0,撃たないで！まだ子供だよ、ここの従業員だ！,
[BARK]Compliant_1,撃たないで！,
[BARK]Compliant_2,落ち着いて、落ち着いて！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,あああ！,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]Flashed_0,（悲鳴）,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]Gassed_3,（咳）,
[BARK]Gassed_4,（咳）,
[BARK]HeardSWAT_0,よし。,
[BARK]IdleAlly_0,静かに！,
[BARK]IdleAlly_1,そばにいるんだ。ちゃんと息をして。,
[BARK]IdleEnemy_0,お願いだから誰も傷つけたりしないで。みんな無実だよ！,
[BARK]IdleEnemy_1,死にたくない。,
[BARK]IdleEnemy_2,バカなことはやめてよ。,
[BARK]IdleSelf_0,うーん。,
[BARK]NonCompliant_0,何なの？悪い奴を捕まえてよ！,
[BARK]NonCompliant_1,何？やめて！ダメだ！縛り付けるんじゃなくて、みんなを助けてよ！,
[BARK]NonCompliant_2,何？違う！何もしてないよ！分からないの？,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]PlayerKillsCivilian_0,（悲鳴）,
[BARK]PlayerKillsCivilian_1,クソ！,
[BARK]PlayerKillsCivilian_10,ウソだ！,
[BARK]PlayerKillsCivilian_2,（悲鳴）,
[BARK]PlayerKillsCivilian_3,クソ、ウソだ！,
[BARK]PlayerKillsCivilian_4,殺すなんて！,
[BARK]PlayerKillsCivilian_5,ウソだろ、殺すなんて！,
[BARK]PlayerKillsCivilian_6,ウソだ！こんなのはウソだ！,
[BARK]PlayerKillsCivilian_7,殺すなんて！,
[BARK]PlayerKillsCivilian_8,ウソだろ、殺すなんて！,
[BARK]PlayerKillsCivilian_9,殺すなんて！,
[BARK]PlayerSeen_2,まだ子供だよ！ここの従業員だ！,
[BARK]PlayerSeen_3,みんな、動くな！警察が来た！,
[BARK]PlayerSeen_4,みんな、伏せて！警察が来た！,
[BARK]PlayerSeen_5,ねえ、こっちだ。,
[BARK]PlayerSeen_6,ちょっと！こっちだ！,
[BARK]PlayerSeen_7,ねえ！こっちだ！,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Tasered_0,（苦痛に満ちた叫び声）,
[BARK]Tasered_1,（苦痛に満ちた叫び声）,
[TELL]Fleeing_0,ダメだ、逃げるよ！,
[TELL]Fleeing_1,ダメだ、逃げるよ,
[TELL]Fleeing_2,クソ、もう嫌だ！,
[TELL]Fleeing_3,クソ、クソ、クソ！,
