Key,Dialogue,Context
[BARK]Arrested_0,こんな暴力行為に屈するつもりはない。,
[BARK]Arrested_1,この命がどうなってしまうか怖いよ。,
[BARK]Arrested_2,この命がどうなってしまうか怖いよ。,
[BARK]Compliant_0,分かった。,
[BARK]Compliant_1,わっ！,
[BARK]Compliant_2,外出中だ！,
[BARK]Compliant_3,撃つな！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]Flashed_0,（悲鳴）,
[BARK]IdleAlly_0,どうなってる？,
[BARK]IdleAlly_1,行っちまった。,
[BARK]IdleAlly_2,死んでる！,
[BARK]IdleAlly_3,警察が来てる？,
[BARK]IdleEnemy_0,何者だ？過激派論者か？,
[BARK]IdleEnemy_1,あんた、もしかして…ヤクの運び屋か？,
[BARK]IdleEnemy_2,落ち着け。,
[BARK]IdleEnemy_3,おっかない人だ。,
[BARK]IdleEnemy_4,はいはい。,
[BARK]IdleSelf_0,（溜め息）,
[BARK]IdleSelf_1,クソ。,
[BARK]IdleSelf_2,まったく。,
[BARK]IdleSelf_3,まったく。,
[BARK]IdleSelf_4,うーん。,
[BARK]NonCompliant_0,あー、違う？,
[BARK]NonCompliant_1,嫌だ。,
[BARK]NonCompliant_2,あー、違う？,
[BARK]NonCompliant_3,あっちへ行ってくれ。,
[BARK]PlayerKillsCivilian_0,あいつら、戻ってこない！,
[BARK]PlayerKillsCivilian_1,ああ、クソ！,
[BARK]PlayerSeen_0,警察だ！,
[BARK]PlayerSeen_1,警察だ！,
[BARK]PlayerSeen_2,おい、こっちだ！シッ！,
[BARK]PlayerSeen_3,おい！こっちだ！シッ！,
[TELL]Fleeing_0,ああ！もうたくさんだ！,
