Key,Dialogue,Context
[BARK]Arrested_0,おいおい、よせよ！,
[BARK]Arrested_1,おいおい、やめろよ！,
[BARK]Arrested_10,刑務所へ入れないでくれ！あそこじゃ持たない！,
[BARK]Arrested_11,行けってか？,
[BARK]Arrested_12,きついぞ、このバカ！,
[BARK]Arrested_13,間抜け！,
[BARK]Arrested_14,クソ。分かった、分かった！,
[BARK]Arrested_15,クソ野郎！,
[BARK]Arrested_16,クソ野郎！,
[BARK]Arrested_2,ああ、クソ野郎ども！,
[BARK]Arrested_3,俺の大事な手首だぞ！,
[BARK]Arrested_4,クソ！ああ！やめろって！,
[BARK]Arrested_5,うせろ！,
[BARK]Arrested_6,俺は奴らの仲間じゃない！,
[BARK]Arrested_7,クソ野郎！,
[BARK]Arrested_8,俺が悪いんだろ。,
[BARK]Arrested_9,見逃してくれ！,
[BARK]ArrestIdle_0,クソ！刑務所はゴメンだ！,
[BARK]ArrestIdle_1,ギャングでも何でもない！話を聞いてくれ！,
[BARK]ArrestIdle_2,言ってるだろ、俺は何の関係もない。,
[BARK]ArrestIdle_3,信じてくれよ！帰らせてくれ！,
[BARK]ArrestIdle_4,放せよ！ギャングにも何にも興味ない！,
[BARK]ArrestIdle_5,外してくれよ！きつすぎる！やめてくれ！,
[BARK]ArrestIdle_6,奴だよ。おい！,
[BARK]Bashed_0,（うめき声）,
[BARK]Bashed_1,（うめき声）,
[BARK]Bashed_2,（うめき声）,
[BARK]Bashed_3,（うめき声）,
[BARK]Bashed_4,（うめき声）,
[BARK]Bashed_5,（うめき声）,
[BARK]Bashed_6,（うめき声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,人生を投げ捨てるつもりはない！,
[BARK]Compliant_1,撃たないでくれ、いいな？,
[BARK]Compliant_10,動かないから！,
[BARK]Compliant_2,聞こえてるよ！何もしないって！,
[BARK]Compliant_3,聞いてくれ、トラブルはゴメンだ！,
[BARK]Compliant_4,聞こえてるよ、撃たないでくれ！,
[BARK]Compliant_5,膝をつくから。,
[BARK]Compliant_6,捨てただろ！,
[BARK]Compliant_7,撃つな！,
[BARK]Compliant_8,分かった、分かった、分かった！,
[BARK]Compliant_9,もういい、もういいよ！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]FellowAIKilled_0,ああ、クソ！,
[BARK]FellowAIKilled_1,クソ、大丈夫か？おい！,
[BARK]FellowAIKilled_2,クソ！,
[BARK]Flashed_0,（悲鳴）,
[BARK]Flashed_1,（悲鳴）,
[BARK]Flashed_2,（悲鳴）,
[BARK]Flashed_3,（悲鳴）,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]Gassed_3,（咳）,
[BARK]HeardSWAT_0,おい！,
[BARK]HeardSWAT_1,よう！,
[BARK]HeardSWAT_2,誰だ？,
[BARK]HeardSWAT_3,クソ、何だ？,
[BARK]Hesitating_0,ああ、クソ！,
[BARK]Hesitating_1,うーん...えっと...,
[BARK]Hesitating_2,あー…えっと…,
[BARK]Hesitating_3,えーと…あー…,
[BARK]Hesitating_4,クソ！クソ、クソ！,
[BARK]Hesitating_5,クソ、クソ！,
[BARK]IdleAlly_0,殺しやがった！,
[BARK]IdleAlly_1,どうしよう？,
[BARK]IdleAlly_2,警察はどこから来たんだ？,
[BARK]IdleAlly_3,人を殺すなんて誰も言ってない。,
