Key,Dialogue,Context
[BARK]Arrested_0,ハハ、クソ白人どもめ。,
[BARK]Arrested_1,クソ白人どもめ。,
[BARK]Arrested_10,臆病者のサツどもとは話さねえ。,
[BARK]Arrested_11,何なんだ？,
[BARK]Arrested_12,この件はきっと明らかになる。それまで待ってろよ！,
[BARK]Arrested_13,（スペイン語で話している）,
[BARK]Arrested_2,（スペイン語で話している）,
[BARK]Arrested_3,あー、クソ警官め！,
[BARK]Arrested_4,クソッ！,
[BARK]Arrested_5,カブロン！,
[BARK]Arrested_6,住所が間違ってるぞ、ペンデホ！,
[BARK]Arrested_7,ミエルダ！,
[BARK]Arrested_8,こいつを外せ！,
[BARK]Arrested_9,人違いだぜ、アミーゴ！,
[BARK]ArrestIdle_0,イカれた連中に生きたまま皮を剥がれるぞ！,
[BARK]ArrestIdle_1,おまえにここにいる権利はねえんだ、ペンデホ。,
[BARK]ArrestIdle_2,電話をかけさせてくれよ。この件は俺のボスが解決してくれるから。,
[BARK]ArrestIdle_3,おまえら白人は自分たちのことに構ってりゃいいんだよ！,
[BARK]ArrestIdle_4,おい、令状はどこだ？,
[BARK]ArrestIdle_5,大物警官よ。,
[BARK]ArrestIdle_6,タフガイのつもりか？,
[BARK]ArrestIdle_7,取引しねえか？これ以上誰も傷つけたくねえだろ？,
[BARK]Bashed_0,（うめき）,
[BARK]Bashed_1,（うめき）,
[BARK]Bashed_2,（うめき）,
[BARK]Bashed_3,（うめき）,
[BARK]Bashed_4,（うめき）,
[BARK]Bashed_5,（うめき）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,わかったよ。,
[BARK]Compliant_1,わかったよ。,
[BARK]Compliant_10,こいつは置くよ。,
[BARK]Compliant_11,わかったよ、オンブレ！,
[BARK]Compliant_12,わかったよ、ヘフェ。,
[BARK]Compliant_13,クソ。,
[BARK]Compliant_2,ああ、問題ない。,
[BARK]Compliant_3,おまえは、間違いを犯してるよ。,
[BARK]Compliant_4,ほら、捨てたぜ？,
[BARK]Compliant_5,はいはい、わかったよ、ボス。,
[BARK]Compliant_6,わかった、わかった！,
[BARK]Compliant_7,降参だ。,
[BARK]Compliant_8,落ち着け、落ち着けって。,
[BARK]Compliant_9,クソ。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]FellowAIKilled_0,おまえら警官はクソだ！,
[BARK]FellowAIKilled_1,クソッ！,
[BARK]FellowAIKilled_2,クソッタレ！,
[BARK]FellowAIKilled_3,立て！,
[BARK]Flanking_0,おまえにやるよ！,
[BARK]Flanking_1,おまえに渡したいものがあるんだ、え？！,
[BARK]Flanking_2,もうどこにも行けないな！,
[BARK]Flanking_3,おまえはもうここから動けない！,
[BARK]Flanking_4,迂回しろ！行け！,
[BARK]Flanking_5,物陰に隠れろ！,
[BARK]Flanking_6,行け！あそこだ！,
[BARK]Flanking_7,今だ、カブロン！バモス！,
[BARK]Flashed_0,（悲鳴）,
[BARK]Flashed_1,目が！,
[BARK]Flashed_2,目が！目が見えない！,
[BARK]Flashed_3,（悲鳴）,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]HeardSWAT_0,ひとりじゃない...,
[BARK]HeardSWAT_1,おい！,
[BARK]HeardSWAT_2,おい、何が起きたんだ？,
[BARK]HeardSWAT_3,確認しろ。,
[BARK]HeardSWAT_4,何なんだ？,
[BARK]HeardSWAT_5,何なんだ？,
[BARK]Hesitating_0,ああ、クソ...,
[BARK]Hesitating_1,ああ、クソ...,
[BARK]Hesitating_2,うーん...,
[BARK]Hesitating_3,ええと…,
[BARK]Hesitating_4,ええと…,
[BARK]Hesitating_5,ヤバい。,
[BARK]Hostage_0,俺が奴らを殺す、わかったか？！,
[BARK]Hostage_1,奴に死んでほしいのか？！え？！,
[BARK]Hostage_2,俺がやらねえとでも思ってんのか、え？！,
[BARK]Hostage_3,ヒーローになりたいのか、おい？,
[BARK]IdleAlly_0,このクソを片付けろ。,
[BARK]IdleAlly_1,もうすぐ警察が来る。,
[BARK]IdleAlly_10,（スペイン語で話している）,
[BARK]IdleAlly_11,（スペイン語で話している）,
[BARK]IdleAlly_2,（スペイン語で話している）,
[BARK]IdleAlly_3,何をそんなに時間がかかってんだ？！,
[BARK]IdleAlly_4,（スペイン語で話している）,
[BARK]IdleAlly_5,（スペイン語で話している）,
[BARK]IdleAlly_6,（スペイン語で話している）,
[BARK]IdleAlly_7,（スペイン語で話している）,
[BARK]IdleAlly_8,（スペイン語で話している）,
[BARK]IdleAlly_9,（スペイン語で話している）,
[BARK]IdleEnemy_0,黙ってろ！,
[BARK]IdleEnemy_1,動くな。さもないとツラの皮を剝ぐぞ。,
[BARK]IdleEnemy_2,下を向いてろ、俺を見るな。,
[BARK]IdleEnemy_3,いい子にしてろ、さもないとひどい目に遭うぞ。,
[BARK]IdleEnemy_4,黙れ！,
[BARK]IdleEnemy_5,いいか、俺はおまえのためにここにいるんじゃねえんだ。おまえなんかどうでもいいんだよ。,
[BARK]IdleEnemy_6,もうくだらねえゲームはたくさんだ！,
[BARK]IdleSelf_0,うぅ...,
[BARK]IdleSelf_1,（スペイン語で話している）,
[BARK]IdleSelf_2,（スペイン語で話している）,
[BARK]IdleSelf_3,（スペイン語で話している）,
[BARK]IdleSelf_4,（スペイン語で話している）,
[BARK]IdleSelf_5,（スペイン語で話している）,
[BARK]IdleSelf_6,ふざけやがって...,
[BARK]IdleSelf_7,時間を無駄にしたぜ...,
[BARK]Immune_0,おほー、おまえはもうおしまいだ！,
[BARK]Immune_1,（笑い）,
[BARK]Immune_2,クズめ！,
[BARK]Immune_3,クソ野郎！,
[BARK]Immune_4,死ね、クソ野郎！,
[BARK]IncapIdle_0,（苦し気なうめき声）,
[BARK]IncapIdle_1,（苦し気なうめき声）,
[BARK]IncapIdle_2,（苦し気なうめき声）,
[BARK]NonCompliant_0,おい、おまえなんか、クソ食らえ！,
[BARK]NonCompliant_1,クソ食らえ、カブロン！,
[BARK]NonCompliant_2,撃てよ！弾がないくせに！,
[BARK]NonCompliant_3,撃てよ！,
[BARK]NonCompliant_4,撃てよ、でないと俺がおまえを撃つぞ、クソ野郎！,
[BARK]NonCompliant_5,やれよ、撃てよ、プート！,
[BARK]NonCompliant_6,やれるもんならやってみろ、ペンデホ！,
[BARK]NonCompliant_7,おまえの家族全員死ぬことになるぞ！,
[BARK]NonCompliant_8,おまえの頭を切り落としてやる！,
[BARK]NonCompliant_9,くたばれ！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]Pain_6,（苦痛に満ちた叫び声）,
[BARK]Pain_7,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,何やってんだ、カブロン？！,
[BARK]PickedUp_1,ああ、クソッ！,
[BARK]PickedUp_2,（うめき）,
[BARK]PickedUp_3,（うめき）,
[BARK]PickedUp_4,（うめき）,
[BARK]PickedUp_5,クソッ！,
[BARK]PlayerReload_0,装填していやがる！,
[BARK]PlayerReload_1,今だ！行け！,
[BARK]PlayerReload_2,奴は弾切れだ！,
