Key,Dialogue,Context
[BARK]Arrested_0,あんたは誰を相手にしてるのかわかってないんだ。,
[BARK]Arrested_1,何するんだよ、ゲス野郎ども？！,
[BARK]Arrested_10,やり過ぎだぞ。,
[BARK]Arrested_11,あんたらは連邦捜査の邪魔をしているんだぞ。,
[BARK]Arrested_12,ったく、頼むよ！,
[BARK]Arrested_13,バッジだってある。確認してくれ！,
[BARK]Arrested_14,おい、おい、待てよ！何なんだ？！,
[BARK]Arrested_2,前ポケットだよ、クソが！俺はバッジだぞ！,
[BARK]Arrested_3,一体何やってんだよ？,
[BARK]Arrested_4,連邦職員だ。俺はここに駐在してるんだよ！,
[BARK]Arrested_5,地元警察がこんなとこで何をやってるんだ？,
[BARK]Arrested_6,あんたらはすべてをめちゃくちゃにしているんだぞ！,
[BARK]Arrested_7,ああ、クソッ！,
[BARK]Arrested_8,IDがある。ポケットを確認してみろ。,
[BARK]Arrested_9,ロペスだ、彼女はカルテルとズブズブの関係なんだ。,
[BARK]ArrestIdle_0,俺は何か月もこの事件を追ってたんだ。あんたらのせいで全部台無しだ！,
[BARK]ArrestIdle_1,ここはあんたらの管轄外だ。,
[BARK]ArrestIdle_2,おい、とにかくこれを外せ。俺に自分の仕事をさせろ！,
[BARK]ArrestIdle_3,マリア・ロペスを探せ。マリア・ロペスだ、いいな？そしてここへ連れて来い。,
[BARK]ArrestIdle_4,早くこいつを外してくれないか？,
[BARK]ArrestIdle_5,あんたらはスーツ姿でカウボーイの集団みたいにここへ入って来た。,
[BARK]ArrestIdle_6,おいおい、一体誰が地元警察をこの件に巻き込んだんだ？,
[BARK]ArrestIdle_7,ったく、あんたら、昨日警察に入ったばかりなのか？,
[BARK]ArrestIdle_8,あんたらが現れるまではうまく対処してたのに。,
[BARK]ArrestIdle_9,今すぐユージーンを連れて来い。あいつと話がしたいんだ。,
[BARK]Bashed_0,（うめき）,
[BARK]Bashed_1,（うめき）,
[BARK]Bashed_2,（うめき）,
[BARK]Bashed_3,（うめき）,
[BARK]Bashed_4,（うめき）,
[BARK]Bashed_5,（うめき）,
[BARK]Bashed_6,（うめき）,
[BARK]Bashed_7,（うめき）,
[BARK]Bashed_8,（うめき）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,おいおい、あんたらは間違いを犯している！,
[BARK]Compliant_1,俺は大丈夫だよ、大丈夫だ！,
[BARK]Compliant_10,バッジがポケットに入ってる。,
[BARK]Compliant_11,わかった、わかったよ。でも、いいか、すべては誤解なんだ。,
[BARK]Compliant_12,こんなクソみたいなことは終わらせよう。,
[BARK]Compliant_13,クソ。,
[BARK]Compliant_14,撃つな！,
[BARK]Compliant_2,俺は大丈夫だ、わかったか？,
[BARK]Compliant_3,わかった、わかった。,
[BARK]Compliant_4,わかった、わかった！,
[BARK]Compliant_5,愚かなバカどもめ。,
[BARK]Compliant_6,あんたらは逮捕する相手を間違えてる。,
[BARK]Compliant_7,落ち着け、落ち着けって。俺は伏せるから。,
[BARK]Compliant_8,この野郎。,
[BARK]Compliant_9,おい、聞こえてるよ。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]FellowAIKilled_0,クソ！クソッ！,
[BARK]FellowAIKilled_1,おい、おい、おい、やめろ！,
[BARK]FellowAIKilled_2,ああ、畜生！,
[BARK]FellowAIKilled_3,ノー！,
[BARK]FellowAIKilled_4,何やってるんだよ？！,
[BARK]Flashed_0,クソッ！なんてこった！ああ！畜生！,
[BARK]Flashed_1,ああ！なんてこった。ちく...しょう、今のは何だ？！クソッ！,
[BARK]Flashed_2,（悲鳴）,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]Gassed_2,（咳き込む）,
[BARK]HeardSWAT_0,連邦職員だ、名を名乗れ！,
[BARK]HeardSWAT_1,今度は一体何だ？,
[BARK]HeardSWAT_2,あれは誰だ？,
[BARK]HeardSWAT_3,あれは誰だ？あんたは誰だ？,
[BARK]HeardSWAT_4,今すぐ出てこい！,
[BARK]HeardSWAT_5,今すぐ出てこい！,
[BARK]HeardSWAT_6,クソッ！,
[BARK]HeardSWAT_7,そこにいるのは誰だ？！,
[BARK]Hesitating_0,クソ...,
[BARK]Hesitating_1,俺…俺は…,
[BARK]Hesitating_2,ああ、クソ。,
[BARK]Hesitating_3,ああ、クソッ。,
[BARK]Hesitating_4,ああ、クソ。,
[BARK]Hesitating_5,ああ、畜生。クソ。,
[BARK]Hesitating_6,えっと...,
[BARK]Hesitating_7,くっそー。,
[BARK]IdleAlly_0,黙れ、何も言うな。,
[BARK]IdleAlly_1,何もするな。殺されるぞ。,
[BARK]IdleAlly_2,とにかく隠れて、静かにしているんだ。,
[BARK]IdleAlly_3,奴らの邪魔をするな。,
[BARK]IdleAlly_4,落ち着け、ここは俺に任せろ。,
[BARK]IdleAlly_5,マリアは一体どこにいるんだ？,
[BARK]IdleEnemy_0,俺を見るな。俺は何も言ってない。,
[BARK]IdleEnemy_1,いいか、おまえが何でもかんでも撃ち始めるまで、俺はうまくやってたんだ！,
[BARK]IdleEnemy_2,おまえ、脳みそはあるのか？え？,
[BARK]IdleEnemy_3,ここは俺が全部片付ける。正しいことをするんだ、わかったか？落ち着け。,
[BARK]IdleEnemy_4,一体何を考えてたんだ？,
[BARK]IdleEnemy_5,それで、俺は一体どうしたらいいんだ？,
[BARK]IdleEnemy_6,とにかくここから出て行け。,
[BARK]IdleEnemy_7,俺たちはマジでクソヤバい状態に陥ってる。,
[BARK]IdleEnemy_8,これはもう手に負えない状況だ！,
[BARK]IdleEnemy_9,裏に回れ。,
[BARK]IdleSelf_0,マリアのヤツ、バカ女め！,
[BARK]IdleSelf_1,畜生！,
[BARK]IdleSelf_2,クソッ！,
[BARK]IdleSelf_3,バカな野郎ども。,
[BARK]Immune_0,頭を蹴り上げてやる！,
[BARK]Immune_1,マヌケな野郎だ！,
[BARK]Immune_2,クソ野郎！,
[BARK]IncapIdle_0,（苦し気なうめき声）,
[BARK]IncapIdle_1,（苦し気なうめき声）,
[BARK]IncapIdle_2,（苦し気なうめき声）,
[BARK]NonCompliant_0,いいか、俺はおまえらの一員だ！,
[BARK]NonCompliant_1,俺はおまえらの側だ、このバカ野郎め！,
[BARK]NonCompliant_2,いい加減にしろ！,
[BARK]NonCompliant_3,冗談じゃない！これは俺の手入れだ！,
[BARK]NonCompliant_4,俺は連邦職員だ、バカどもめ！,
[BARK]NonCompliant_5,俺の邪魔をするな！,
[BARK]NonCompliant_6,おまえは自分が何をやってるのかわかってないんだ！,
[BARK]NonCompliant_7,クソ野郎！,
[BARK]NonCompliant_8,一度だけ立ち去るチャンスをやろう。,
[BARK]NonCompliant_9,武器を捨てろ！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]Pain_6,（苦痛に満ちた叫び声）,
[BARK]Pain_7,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,ああっ！クソッ！,
[BARK]PickedUp_1,一体何やってんだよ？！,
[BARK]PickedUp_2,あぁ！クソ！,
[BARK]PickedUp_3,うぅ、落ち着け！落ち着けって！,
[BARK]PlayerSeen_0,撃つのをやめろ！,
[BARK]PlayerSeen_1,連邦職員だ、撃つな！,
[BARK]PlayerSeen_2,撃つな！,
[BARK]PlayerSeen_3,味方だ！,
[BARK]PlayerSeen_4,あんたら、ここで一体何をしているんだ？！,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Stunned_2,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[BARK]Tased_2,（苦痛に満ちた叫び声）,
[REPLY]Fleeing_0,やめろ！,
[REPLY]Fleeing_1,何やってるんだよ？！,
[REPLY]Fleeing_2,行け！,
[REPLY]Fleeing_3,行け！,
[REPLY]Fleeing_4,クソ、クソッ！,
[REPLY]Fleeing_5,動くな！,
[REPLY]Shooting_0,畜生！,
[REPLY]Shooting_1,クソ、しゃがんでいろ！,
[REPLY]Shooting_2,撃つのをやめろ！,
[REPLY]Shooting_3,クソッ！,
[TELL]Fleeing_0,クソッ！,
[TELL]Fleeing_1,クソッ！,
[TELL]Fleeing_2,畜生！,
[TELL]Fleeing_3,クソッ！,
[TELL]Fleeing_4,ああ、クソッ！,
[TELL]Fleeing_5,応援を呼ぶ！,
[TELL]Shooting_0,武器を捨てろ！,
[TELL]Shooting_1,動くな！,
[TELL]Shooting_2,クソ野郎！,
[TELL]Shooting_3,くたばれ！,
[TELL]Shooting_4,こんなふうになる必要はなかったんだぞ！,
[TELL]Shooting_5,銃を捨てろ！,
