Key,Dialogue,Context
[BARK]Arrested_0,クソ野郎！,
[BARK]Arrested_1,この野郎！,
[BARK]Arrested_10,（スペイン語）,
[BARK]Arrested_11,ああ、クソ！,
[BARK]Arrested_12,（苦痛に満ちた叫び声）,
[BARK]Arrested_13,（苦痛に満ちた叫び声）,
[BARK]Arrested_2,腰抜けめ！,
[BARK]Arrested_3,殺してやる！,
[BARK]Arrested_4,関係ないだろ！,
[BARK]Arrested_5,タダじゃおかねえぞ。,
[BARK]Arrested_6,放せ、クソ！,
[BARK]Arrested_7,（スペイン語）,
[BARK]Arrested_8,覚えてやがれ！,
[BARK]Arrested_9,覚悟しておけ！,
[BARK]ArrestIdle_0,俺をどうするつもりなんだ？,
[BARK]ArrestIdle_1,刑務所なんて、ストリートと比べたらぬるま湯だ！,
[BARK]ArrestIdle_2,それで脅してるつもりか？,
[BARK]ArrestIdle_3,背後に気をつけろ。そう言っておく。,
[BARK]ArrestIdle_4,手錠を外せ、クソ野郎！,
[BARK]ArrestIdle_5,やっちまったな。,
[BARK]ArrestIdle_6,お前の顔、忘れねえぞ。,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Bashed_3,（苦痛に満ちた叫び声）,
[BARK]Bashed_4,（苦痛に満ちた叫び声）,
[BARK]Bashed_5,（苦痛に満ちた叫び声）,
[BARK]Bashed_6,（苦痛に満ちた叫び声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,クソ、分かったよ！,
[BARK]Compliant_1,分かった、終わりだ！,
[BARK]Compliant_10,クソ！,
[BARK]Compliant_2,ああ、クソ！,
[BARK]Compliant_3,まだ終わってねえぞ。,
[BARK]Compliant_4,分かったよ。,
[BARK]Compliant_5,分かったよ。,
[BARK]Compliant_6,撃つな、もうやめるから。,
[BARK]Compliant_7,動かないって。,
[BARK]Compliant_8,分かったよ、クソ野郎！,
[BARK]Compliant_9,何もしない！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]FellowAIKilled_0,クソ！,
[BARK]FellowAIKilled_1,クソ！,
[BARK]FellowAIKilled_2,動くな、じっとしてろ！,
[BARK]FellowAIKilled_3,クソ野郎！くたばれ！,
[BARK]Flashed_0,（苦痛に満ちた叫び声）,
[BARK]Flashed_1,ああ、クソ！目が！何も見えない！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]HeardSWAT_0,おい！,
[BARK]HeardSWAT_1,何なんだ？,
[BARK]HeardSWAT_2,あれは誰だ？,
[BARK]HeardSWAT_3,出てこい、クソ野郎！,
[BARK]Hesitating_0,あー…,
[BARK]Hesitating_1,あー…,
[BARK]Hesitating_2,クソ…あー…,
[BARK]Hesitating_3,クソ。,
[BARK]IdleAlly_0,（スペイン語）,
[BARK]IdleAlly_1,（スペイン語）,
[BARK]IdleAlly_2,（スペイン語）,
[BARK]IdleAlly_3,（スペイン語）,
[BARK]IdleAlly_4,（スペイン語）,
[BARK]IdleAlly_5,（スペイン語）,
[BARK]IdleAlly_6,（スペイン語）,
[BARK]IdleAlly_7,（スペイン語）,
[BARK]IdleAlly_8,（スペイン語）,
[BARK]IdleEnemy_0,黙れ、クソ野郎！,
[BARK]IdleEnemy_1,なめるなよ！,
[BARK]IdleEnemy_2,動くな！何も言うな！,
[BARK]IdleEnemy_3,こっちを見るな。,
[BARK]IdleEnemy_4,他に誰かいるか？ウソはやめろよ。,
[BARK]IdleEnemy_5,頭を吹き飛ばされたいか？,
[BARK]IdleEnemy_6,動くな！,
[BARK]IdleSelf_0,連れてくるなって言ったのに…,
[BARK]IdleSelf_1,（スペイン語）,
[BARK]IdleSelf_2,（スペイン語）,
[BARK]IdleSelf_3,（溜め息）,
[BARK]IdleSelf_4,最悪だ…,
[BARK]Immune_0,やっちまったな。,
[BARK]Immune_1,クソ野郎！,
[BARK]Immune_2,それで、どうする？,
[BARK]Immune_3,クソ野郎！,
[BARK]IncapIdle_0,（苦し気なうめき声）,
[BARK]IncapIdle_1,（苦し気なうめき声）,
[BARK]IncapIdle_2,（苦し気なうめき声）,
[BARK]IncapIdle_3,（苦し気なうめき声）,
[BARK]NonCompliant_0,クソ野郎、遊びじゃない！,
[BARK]NonCompliant_1,うせろ！,
[BARK]NonCompliant_2,何もしてない！,
[BARK]NonCompliant_3,クソ野郎！,
[BARK]NonCompliant_4,（スペイン語）,
[BARK]NonCompliant_5,どうする気だ？,
[BARK]NonCompliant_6,クソアメリカ人め！,
[BARK]NonCompliant_7,警察の言うことなんか聞くか！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]Pain_6,（苦痛に満ちた叫び声）,
[BARK]Pain_7,（苦痛に満ちた叫び声）,
[BARK]Pain_8,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,放せよ！,
[BARK]PickedUp_1,クソ！,
[BARK]PickedUp_2,（苦痛に満ちた叫び声）,
[BARK]PickedUp_3,クソ！,
[BARK]PlayerSeen_0,銃を捨てろ！,
[BARK]PlayerSeen_1,クソ野郎！,
[BARK]PlayerSeen_2,おい、撃つな！,
[BARK]PlayerSeen_3,この野郎！,
[BARK]PlayerSeen_4,警察だ！,
[BARK]PlayerSeen_5,クソ！,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Stunned_2,（苦痛に満ちた叫び声）,
[BARK]Stunned_3,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[REPLY]Fleeing_0,逃げるぞ！,
[REPLY]Fleeing_1,逃げろ！,
[REPLY]Fleeing_2,逃げるんだ！,
[REPLY]Fleeing_3,行け！,
[REPLY]Fleeing_4,行け、行け！,
[REPLY]Shooting_0,戻れ！SWATだ！,
[REPLY]Shooting_1,顔を見られた！,
[REPLY]Shooting_2,（スペイン語）,
[REPLY]Shooting_3,クソ！,
[TELL]Fleeing_0,（スペイン語）,
[TELL]Fleeing_1,クソ！,
[TELL]Fleeing_2,クソ野郎！,
[TELL]Fleeing_3,（スペイン語）,
[TELL]Fleeing_4,捕まえてみろ！,
[TELL]Fleeing_5,（スペイン語）,
