Key,Dialogue,Context
[BARK]Arrested_1,いいぜ、手錠をかけろよ。セントラルまで連れていってくれ。,
[BARK]Arrested_2,待ちきれねえ。待ちきれねえよ。,
[BARK]Arrested_3,いいぜ、手錠をかけろよ。セントラルまで連れていってくれ。,
[BARK]Arrested_4,クソ、手錠ってきついな。,
[BARK]Arrested_5,警察のクソ野郎ども！,
[BARK]Arrested_6,10年か、20年か。どっちもナシってのはどうだ？,
[BARK]Arrested_7,手錠はきつい。慣れっこだがな。出たり入ったりしてきた。,
[BARK]Arrested_8,10年か、20年か。どっちもナシってのはどうだ？,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Compliant_0,捨てるよ。,
[BARK]Compliant_1,銃を捨てた！,
[BARK]Compliant_2,捨てるよ！,
[BARK]Compliant_3,銃を捨てた！,
[BARK]Compliant_4,終わりだ！終わり！降参する！,
[BARK]Compliant_5,分かった！分かった！,
[BARK]Compliant_6,言う通りにする！,
[BARK]Compliant_7,銃を下げる！,
[BARK]Compliant_8,言う通りにする！,
[BARK]Compliant_9,銃を下げる！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,死んじまった。奴らのせいだ！,
[BARK]FellowAIKilled_1,お前のせいだぞ！,
[BARK]FellowAIKilled_2,ああ、死んじまった。,
[BARK]FellowAIKilled_3,おいおい、ウソだろ！,
[BARK]FellowAIKilled_4,おいおい、ウソだろ！,
[BARK]FellowAIKilled_5,死んじまった！,
[BARK]FellowAIKilled_6,死んじまった。奴らのせいだ！,
[BARK]FellowAIKilled_7,お前のせいだぞ！,
