Key,Dialogue,Context
[BARK]Arrested_0,クソッ！こうなると思った。,
[BARK]Arrested_1,何も証明できっこないさ。へっへ。ただのひとつもな。,
[BARK]Arrested_2,好きなだけ見て回れよ。ここには何もない。,
[BARK]Arrested_3,令状はどこだ？,
[BARK]Arrested_4,何の容疑だ？,
[BARK]Arrested_5,手錠外せよ。,
[BARK]Arrested_6,この忌々しい手錠を外せ！,
[BARK]Arrested_7,まあ、なんというか、金がいいんだ。ものすごく。,
[BARK]Arrested_8,仲間に入れてやるよ。すごくいい金になるぞ。,
[BARK]Arrested_9,とにかく、ここから出せよ！,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Bashed_3,（苦痛に満ちた叫び声）,
[BARK]Bashed_4,（苦痛に満ちた叫び声）,
[BARK]Compliant_0,わかった、わかった。,
[BARK]Compliant_1,わかった、わかった。わかったよ。,
[BARK]Compliant_10,今やってるよ。もう終わったって。,
[BARK]Compliant_2,わかった、わかったよ。,
[BARK]Compliant_3,クソ。もうこんなことはやりたくない。,
[BARK]Compliant_4,わかった、わかった、もうやめた。,
[BARK]Compliant_5,ああ、クソ、もうやめた。,
[BARK]Compliant_6,降参だ。,
[BARK]Compliant_7,わかったよ。,
[BARK]Compliant_8,わかった、わかった、もうやめた。,
[BARK]Compliant_9,今やってるよ！もう終わったって！,
[BARK]Death_0,（うめき）,
[BARK]Death_1,（うめき）,
[BARK]Death_2,（うめき）,
[BARK]Death_3,（うめき）,
[BARK]Death_4,（うめき）,
[BARK]Death_5,（うめき）,
[BARK]Death_6,（うめき）,
[BARK]Death_7,（うめき）,
[BARK]FellowAIKilled_0,クソッ！,
[BARK]FellowAIKilled_1,クソッ！,
[BARK]FellowAIKilled_2,ああ、クソッ！,
[BARK]FellowAIKilled_3,奴ら、あいつを撃ちやがった。,
[BARK]FellowAIKilled_4,奴ら、あいつを撃ちやがった！,
[BARK]Flashed_0,（うめき）,
[BARK]Flashed_1,ああ、なんてこった！ああ！,
[BARK]Flashed_2,（うめき）,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]Gassed_2,（咳き込む）,
[BARK]IdleAlly_0,どのくらい必要なんだ？,
[BARK]IdleAlly_1,あとどのくらい必要なんだ？,
[BARK]IdleAlly_2,全部処分する必要がある。,
[BARK]IdleAlly_3,裏にあるものを積み込め。,
[BARK]IdleAlly_4,おい、裏にあるものを積み込め。,
[BARK]IdleAlly_5,うまくやるには何回かトライする必要があるさ。,
[BARK]IdleAlly_6,全部処分する必要がある。,
[BARK]IdleSelf_0,あとどれくらい必要だろう？いくらか上階にも保管できるが。,
[BARK]IdleSelf_1,混ぜ物ができるかも... ,
[BARK]IdleSelf_10,（荒い息遣い）,
[BARK]IdleSelf_11,（荒い息遣い）,
[BARK]IdleSelf_12,（荒い息遣い）,
[BARK]IdleSelf_13,（荒い息遣い）,
[BARK]IdleSelf_2,こんなクソみたいな家に住まわされて...,
