Key,Dialogue,Context
[BARK]Arrested_0,ここには何もない。わかってんだろ。,
[BARK]Arrested_1,大麻だけだ。他には何もない。,
[BARK]Arrested_10,全部やるよ。だから、見逃してくれよ、な？,
[BARK]Arrested_11,全部おまえにやるよ。だから、見逃してくれ。,
[BARK]Arrested_12,1回きりのことだったんだ。,
[BARK]Arrested_13,他には誰もいない。俺だけだ。,
[BARK]Arrested_14,一切売るつもりはなかったんだ。,
[BARK]Arrested_15,助けを得ようとしたんだ。,
[BARK]Arrested_16,助けを得ようとしたんだ。,
[BARK]Arrested_17,俺は潔白だ。全部俺のじゃねえ。,
[BARK]Arrested_18,いくら払えば見なかったことにしてくれる？,
[BARK]Arrested_19,いくらでも電子送金してやるよ。,
[BARK]Arrested_2,すべて合法だ！,
[BARK]Arrested_20,見て見ぬふりをしてくれるなら、金を払う。,
[BARK]Arrested_21,ムショに戻るわけにはいかねえんだ。,
[BARK]Arrested_22,あのな、俺はとにかくさっさと終わらせたいんだ。,
[BARK]Arrested_23,わかったよ、俺は間違いを犯した。,
[BARK]Arrested_24,俺は何もするつもりはない。,
[BARK]Arrested_3,俺のじゃねえ！持ってただけだ！,
[BARK]Arrested_4,令状はちゃんとあるのか？,
[BARK]Arrested_5,令状はあるのか？,
[BARK]Arrested_6,令状を取れよ！,
[BARK]Arrested_7,時間の無駄だ。俺は何も持ってない。,
[BARK]Arrested_8,処方箋って聞いたことないか？,
[BARK]Arrested_9,この場所のことは誰に聞いた？,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Bashed_3,（苦痛に満ちた叫び声）,
[BARK]Bashed_4,（苦痛に満ちた叫び声）,
[BARK]Bashed_5,（苦痛に満ちた叫び声）,
[BARK]Compliant_0,俺はもうおしまいだ。,
[BARK]Compliant_1,おい、おい！,
[BARK]Compliant_10,わかったよ、ふざけるつもりはねえ。,
[BARK]Compliant_11,わかったよ、もうヤメだ。あんたの勝ちだ。,
[BARK]Compliant_2,落ち着けって。,
[BARK]Compliant_3,わかった、わかった。,
[BARK]Compliant_4,撃つな！,
[BARK]Compliant_5,うわあ、わかったよ。,
[BARK]Compliant_6,降参だ。,
[BARK]Compliant_7,うわあ、わかったよ。,
[BARK]Compliant_8,わかった、もう何もしないよ。,
[BARK]Compliant_9,もうふざけるのはヤメるって。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,最悪だ！,
[BARK]FellowAIKilled_1,よくも仲間を撃ちやがったな！,
[BARK]FellowAIKilled_2,殺してやる、クソ野郎！,
[BARK]FellowAIKilled_3,死んじまってる！,
[BARK]FellowAIKilled_4,おい、こいつ、死んでるぞ。,
[BARK]Flashed_0,目が！,
[BARK]Flashed_1,目が！,
[BARK]Flashed_2,目が！,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
