Key,Dialogue,Context
[BARK]Arrested_0,こいつら、狂ってる！,
[BARK]Arrested_1,ここから連れ出してくれ！,
[BARK]Arrested_10,出してくれ！死にたくない！,
[BARK]Arrested_11,俺を助けに来てくれたんだろ？,
[BARK]Arrested_12,置いて行かないでくれ！,
[BARK]Arrested_13,マジか？,
[BARK]Arrested_14,俺にこんなことが起きるなんて、ありえない！,
[BARK]Arrested_15,おいおい、こいつら、軍隊の連中か？,
[BARK]Arrested_16,完全にイカれてやがる！,
[BARK]Arrested_17,俺はここにいるべきじゃない！,
[BARK]Arrested_18,何で俺なんだ？ああ、何で俺なんだよ？,
[BARK]Arrested_19,こんなの悪夢だ！,
[BARK]Arrested_2,頼むから、置いて行かないでくれ！,
[BARK]Arrested_20,ここから出してくれ！,
[BARK]Arrested_21,あいつら、完全にイカれてる！,
[BARK]Arrested_22,あの連中はほかにもいるのか？,
[BARK]Arrested_23,もし奴らが戻ってきたら？,
[BARK]Arrested_24,俺をどこかにかくまってくれ、お願いだ！,
[BARK]Arrested_25,おい、あいつらはきっと兵士だ！,
[BARK]Arrested_26,あれは軍隊の連中か？,
[BARK]Arrested_27,俺をここに置いていくなよ、クソ野郎！,
[BARK]Arrested_28,クソ！,
[BARK]Arrested_3,ああ、神よ、ありがとう！,
[BARK]Arrested_4,あいつらはクレイジーだ！,
[BARK]Arrested_5,俺は集会だと思っていたんだ！,
[BARK]Arrested_6,俺は集会に来ただけだ！,
[BARK]Arrested_7,俺はよその町から来たんだ！,
[BARK]Arrested_8,一体どうなってるんだ？！,
[BARK]Arrested_9,何が起きてるんだ？！テロリストなのか？！,
[BARK]CallOutForHelp_0,助けてくれ！,
[BARK]CallOutForHelp_1,誰か助けてくれ！,
[BARK]CallOutForHelp_2,死にたくない！,
[BARK]Compliant_0,撃つな！,
[BARK]Compliant_1,俺はあの軍隊の一員じゃない！,
[BARK]Compliant_10,わかったよ！,
[BARK]Compliant_11,わかった、何でも言う通りにする！,
[BARK]Compliant_12,わかった、俺はあんたの味方だ！,
[BARK]Compliant_2,撃つな、俺は奴らの仲間じゃない！,
[BARK]Compliant_3,わかった！,
[BARK]Compliant_4,よし、やるよ！,
[BARK]Compliant_5,聞いてるよ！,
[BARK]Compliant_6,OK、わかったよ！,
[BARK]Compliant_7,ケガはしたくない！,
[BARK]Compliant_8,トラブルはごめんだ！,
[BARK]Compliant_9,いいか、俺は無害だ！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,正気か？！,
[BARK]FellowAIKilled_1,お願いだ、俺は殺さないでくれ！,
[BARK]FellowAIKilled_2,ああ、クソ、次は俺だ！,
[BARK]FellowAIKilled_3,いいか、こんなことをする必要はないんだ！,
[BARK]FellowAIKilled_4,ありえねえ！,
[BARK]Flashed_0,目が！,
[BARK]Flashed_1,（苦痛に満ちた叫び声）,
[BARK]Flashed_2,（苦痛に満ちた叫び声）,
[BARK]Flashed_3,目が！,
[BARK]FlashImmune_0,畜生！,
[BARK]FlashImmune_1,今のは何だ？,
[BARK]FlashImmune_2,あれは壊れたのか？,
[BARK]GasImmune_0,何なんだ？,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]HeardSWAT_0,ああ、お願いだ、やめてくれ！,
[BARK]HeardSWAT_1,奴らの仲間か？,
[BARK]HeardSWAT_2,誰だ？,
[BARK]HeardSWAT_3,クソッ！まずい、奴らが来るぞ！,
[BARK]HeardSWAT_4,クソッ！,
[BARK]HeardSWAT_5,見つかった！,
[BARK]HeardSWAT_6,誰か来る！,
[BARK]HeardSWAT_7,誰かいるか？,
[BARK]HeardSWAT_8,それ以上近づくな！,
[BARK]IdleAlly_0,信じられない！,
[BARK]IdleAlly_1,こんなことありえない！,
[BARK]IdleAlly_2,ただここから無事に逃げ出したい。,
[BARK]IdleAlly_3,とにかくここから出たい！,
[BARK]IdleAlly_4,タチの悪い冗談だと言ってくれ！,
[BARK]IdleAlly_5,こんなことありえない！,
[BARK]IdleEnemy_0,もう一度家族に会いたい！,
[BARK]IdleEnemy_1,お願いだ、放してくれ！子供がいるんだ！,
[BARK]IdleEnemy_2,欲しいものは何でも持ってって構わない！,
