Key,Dialogue,Context
[BARK]Arrested_0,私はどこにも行かないわ。,
[BARK]Arrested_1,私を誰だと思っているの！こんなのありえない！,
[BARK]Arrested_2,こんなの馬鹿げているわ。,
[BARK]Arrested_3,本気？私がここから逃げ出すと思っているの？,
[BARK]Arrested_4,お願い、何とかして…私の持ち物はどうなるの？,
[BARK]Arrested_5,彼らを近づけないで！,
[BARK]Arrested_6,ベストセラーまで出したのに、こんなことになるなんて。最悪だわ。,
[BARK]Arrested_7,うぅ…気分が悪いわ。,
[BARK]Arrested_8,信じられない。ランチに行く途中だったのに…もううんざりだわ。,
[BARK]Arrested_9,あの銃声は何？ここ10年で聞いた騒音の中で一番うるさいわ。,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]CallOutForHelp_0,聞こえる？聞こえている？,
[BARK]Compliant_0,わかった、わかったから！もう十分よ！,
[BARK]Compliant_1,えっ、わかったわ！,
[BARK]Compliant_2,私をここから連れ出しなさいよ。,
[BARK]Compliant_3,手を上げているわ！,
[BARK]Compliant_4,聞こえているわ。今、伏せるから。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]FellowAIKilled_0,神様！,
[BARK]FellowAIKilled_1,信じられない！,
[BARK]FellowAIKilled_2,いやっ！,
[BARK]Flashed_0,ああ、目が！,
[BARK]Flashed_1,ああ、目が！,
[BARK]Flashed_2,（苦痛に満ちた叫び声）,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]IdleAlly_0,なんで？あの人たちはなんでこんなことをするの？,
[BARK]IdleAlly_1,もう少し大きな声で話して。昔に比べて耳が遠いのよ。,
[BARK]IdleEnemy_0,何か言ったかしら？,
[BARK]IdleEnemy_1,死に方ぐらい自分で決めるわ。,
[BARK]IdleSelf_0,なんでこんなことに巻き込まれちゃっているのよ、じじい？,
[BARK]IdleSelf_1,最悪な最期ね。,
[BARK]IdleSelf_2,うぅ…こんなのもうたくさん…,
[BARK]IdleSelf_3,ああ！もうたくさん…,
[BARK]NonCompliant_0,え？,
[BARK]NonCompliant_1,何？,
[BARK]NonCompliant_2,え？,
[BARK]NonCompliant_3,何？,
[BARK]NonCompliant_4,もう一度言ってくれるかしら？,
[BARK]NonCompliant_5,何言っているのか分からないわ。,
[BARK]NonCompliant_6,え？,
[BARK]NonCompliant_7,聞…聞こえないわ！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]Pain_6,（苦痛に満ちた叫び声）,
[BARK]Pain_7,（苦痛に満ちた叫び声）,
[BARK]Pain_8,（苦痛に満ちた叫び声）,
[BARK]Pain_9,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,ああ、膝が！,
[BARK]PickedUp_1,痛い、痛い、背中が！,
[BARK]PickedUp_2,痛い！痛い！背中が！,
[BARK]PickedUp_3,やさしく、やさしくして！,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Stunned_2,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[REPLY]Shooting_0,ああ、耳が！いやっ！,
[REPLY]Shooting_1,（苦痛に満ちた叫び声）,
[REPLY]Shooting_2,ありえない！,
[TELL]Fleeing_0,数が多すぎるわ！,
[TELL]Fleeing_1,ここで死ぬのはいやっ！,
[TELL]Fleeing_2,ああ、神様！,
[TELL]Fleeing_3,（荒い息遣い）,
