Key,Dialogue,Context
[BARK]ArrestIdle_0,何が起きてるのか教えてくれないか？,
[BARK]ArrestIdle_1,行かせてくれるよな？,
[BARK]ArrestIdle_4,25年も海軍にいたのにこんな目に…,
[BARK]ArrestIdle_5,部屋を間違えてると思うぞ。,
[BARK]ArrestIdle_6,奴らの狙いが分かる気がする。,
[BARK]Arrested_0,おい！俺は無関係だぞ！,
[BARK]Arrested_1,俺は旅行で来ただけなんだ！,
[BARK]Arrested_2,信じてくれ、俺は退役軍人なんだ！,
[BARK]Arrested_3,妻が何言ったか知らんが、嘘だ！,
[BARK]Arrested_4,トラブルは好きじゃない。前は軍人だったんだ！,
[BARK]Arrested_5,おい、外してくれ。手伝うよ。,
[BARK]Arrested_6,何が起きてるか知らんが俺は関係ない！,
[BARK]Arrested_7,信じてくれ、俺はあいつらとは違う！,
[BARK]Arrested_8,連中と話させてくれ。,
[BARK]Arrested_9,連中は正気じゃない。もうなりふり構ってないぞ。,
[BARK]Bashed_0,（苦痛に満ちた叫び声),
[BARK]Bashed_1,（苦痛に満ちた叫び声),
[BARK]Bashed_2,（苦痛に満ちた叫び声),
[BARK]Bashed_3,（苦痛に満ちた叫び声),
[BARK]Bashed_4,（苦痛に満ちた叫び声),
[BARK]Bashed_5,（苦痛に満ちた叫び声),
[BARK]Bashed_6,（苦痛に満ちた叫び声),
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,了解。,
[BARK]Compliant_1,わかった、わかったから。,
[BARK]Compliant_2,了解、問題ない。,
[BARK]Compliant_3,大丈夫だ、な？,
[BARK]Compliant_4,うわ、おい、了解。,
[BARK]Compliant_5,伏せるぞ。トラブルは好きじゃない。,
[BARK]Compliant_6,誰かを傷つけたくはない。,
[BARK]Compliant_7,逃げたりはしない。,
[BARK]Compliant_8,俺は連中じゃない。,
[BARK]Death_0,（うめき）,
[BARK]Death_1,（うめき）,
[BARK]Death_2,（うめき）,
[BARK]Death_3,（うめき）,
[BARK]Death_4,（苦痛に満ちた叫び声）,
[BARK]Death_5,（苦痛に満ちた叫び声）,
[BARK]Death_6,（苦痛に満ちた叫び声）,
[BARK]Death_7,（苦痛に満ちた叫び声）,
[BARK]FellowAIKilled_0,あぁ、神様！じっとしろ！動くんじゃない！傷口を抑えるんだ！,
[BARK]FellowAIKilled_1,あぁ、くそ！,
[BARK]FellowAIKilled_2,畜生！,
[BARK]Flashed_0,あぁクソ！見えない！クソ！,
[BARK]Flashed_1,あぁクソ！,
[BARK]Flashed_2,あぁ神様！ああ！,
[BARK]Flashed_3,ああ！クソ！目が！,
[BARK]HeardSWAT_0,ん？,
[BARK]HeardSWAT_1,誰か居るのか？,
[BARK]HeardSWAT_2,誰だか知らんが、ここから出ていけ！,
[BARK]HeardSWAT_3,おい！,
[BARK]Hesitating_0,クソ、クソ！,
[BARK]Hesitating_1,俺は…,
[BARK]Hesitating_2,あー…,
[BARK]IdleAlly_0,連中は退役軍人で、腹を立ててる。,
[BARK]IdleAlly_1,あいつらは軍隊だ。ここにいて、静かにするんだ。,
[BARK]IdleAlly_2,あいつらに近寄るな！あいつらは正気じゃない！,
[BARK]IdleAlly_3,おい、おい、落ち着くんだ、分かるか？,
[BARK]IdleEnemy_0,おい、おい、おい、辞めるんだ。実は俺も海軍にいた。気持ちはわかるよ。,
[BARK]IdleEnemy_1,もう辞めるんだ、なぁ。誰かを傷つけても、何も変わらない。,
[BARK]IdleEnemy_2,こんなことしても無駄だぞ。誓っていい。,
[BARK]IdleEnemy_3,俺もあれは嫌いだが、信じてくれ。こんなことしたって意味ない。,
[BARK]IdleSelf_0,あぁクソ、クソ、クソ！,
[BARK]IdleSelf_1,一体何が起きてるんだ？,
[BARK]IdleSelf_2,ここから逃げないと。,
[BARK]IdleSelf_3,畜生！どうすればいい？,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]IncapIdle_0,（悲鳴）,
[BARK]IncapIdle_1,（悲鳴）,
[BARK]IncapIdle_2,（悲鳴）,
[BARK]NonCompliant_0,俺は連中じゃない！,
[BARK]NonCompliant_1,俺は違う！,
[BARK]NonCompliant_2,俺はそうは思わねぇ！,
[BARK]NonCompliant_3,違うな！,
[BARK]NonCompliant_4,しねぇぞ！,
[BARK]NonCompliant_5,俺は違う、断じて違う！,
[BARK]NonCompliant_6,何が起きてるか先に聞かせてくれ！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]Pain_6,（苦痛に満ちた叫び声）,
[BARK]Pain_7,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,おい、もう少し優しく！,
[BARK]PickedUp_1,おい！,
[BARK]PickedUp_2,何しやがる！？,
[BARK]PlayerSeen_0,クソ、何事だ！？,
[BARK]PlayerSeen_1,あぁ、クソ！,
[BARK]PlayerSeen_2,うわ、おい、落ち着け、落ち着けよ！,
[BARK]PlayerSeen_3,これは何事なんだ！？,
[BARK]PlayerSeen_4,おい、ちょっと待て！,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Stunned_2,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[BARK]Tased_2,（苦痛に満ちた叫び声）,
[REPLY]Fleeing_0,待て！,
[REPLY]Fleeing_1,危ねぇぞ！,
[REPLY]Fleeing_2,頭を低く！,
[REPLY]Fleeing_3,ここに居るんだ！,
[REPLY]Shooting_0,何事だ？,
[REPLY]Shooting_1,あぁ、神様！,
[REPLY]Shooting_2,何が起きてやがる？,
[REPLY]Shooting_3,畜生！,
[TELL]Fleeing_0,クソ！,
[TELL]Fleeing_1,逃げろ！,
[TELL]Fleeing_2,俺は逃げる！,
[TELL]Fleeing_3,クソッタレ！,
