Key,Dialogue,Context
[BARK]ArrestIdle_0,ぐずぐずしないでよ！？,
[BARK]ArrestIdle_1,出してくれるのよね！？,
[BARK]ArrestIdle_2,置いてかないでよ！,
[BARK]ArrestIdle_3,私のダメ夫のせい！？,
[BARK]ArrestIdle_4,彼がこんなこと引き起こしたの！？,
[BARK]ArrestIdle_5,夫は連れてっていいわ。私は行かせてよ！,
[BARK]Arrested_0,なんでこんな目に遭わなきゃいけないわけ！？,
[BARK]Arrested_1,なんで私を逮捕するのよ！？,
[BARK]Arrested_2,私にはキツすぎるわ、離してよ！,
[BARK]Arrested_3,夫はどこ！？,
[BARK]Arrested_4,彼がこんなこと引き起こしたの！？,
[BARK]Arrested_5,何かの冗談！？,
[BARK]Arrested_6,離してよ！ちょっと！,
[BARK]Arrested_7,夫が何言ったか知らないけど、嘘よ！,
[BARK]Arrested_8,あなたのとこには優秀な弁護士がいるんでしょうね！このクソ！,
[BARK]Arrested_9,ちょっと離してよバカ！私が人撃ってるように見えたわけ！？,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,わかったわ、急いで！,
[BARK]Compliant_1,ここから出してちょうだい！,
[BARK]Compliant_2,わかったわ！,
[BARK]Compliant_3,ようやく出れるわ！,
[BARK]Compliant_4,動いてないわよ、このグズ！,
[BARK]Compliant_5,私が勝手にどっか行くように見えるわけ！？,
[BARK]Compliant_6,やるから、撃たないでよ！,
[BARK]Death_0,（呻き）,
[BARK]Death_1,（呻き）,
[BARK]Death_2,（呻き）,
[BARK]Death_3,（呻き）,
[BARK]Death_4,（苦痛に満ちた叫び声）,
[BARK]Death_5,（苦痛に満ちた叫び声）,
[BARK]Death_6,（苦痛に満ちた叫び声）,
[BARK]FellowAIKilled_0,あぁ神様！,
[BARK]FellowAIKilled_1,死んだの！？,
[BARK]FellowAIKilled_2,お願い助けて！神様！,
[BARK]Flashed_0,あぁクソ！見えない！,
[BARK]Flashed_1,あぁクソ！見えないわ！,
[BARK]Flashed_2,（苦痛に満ちた叫び声）,
[BARK]Flashed_3,神様！,
[BARK]Flashed_4,目が！目が！,
[BARK]Flashed_5,目が！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]HeardSWAT_0,誰か居るの？,
[BARK]HeardSWAT_1,近寄らないでよ！,
[BARK]HeardSWAT_2,ここよ！,
[BARK]HeardSWAT_3,助けて！,
[BARK]Hesitating_0,私はただ…,
[BARK]Hesitating_1,えーと…,
[BARK]Hesitating_2,クソ、クソ、クソ！,
[BARK]Hesitating_3,うーん…,
[BARK]IdleAlly_0,あぁ神様…連中私達を殺す気よ、そうよね？,
[BARK]IdleAlly_1,どうする？,
[BARK]IdleAlly_2,階段まで走れるかしら…,
[BARK]IdleAlly_3,あいつら何が目的なの！？,
[BARK]IdleEnemy_0,子供の頃誰にも気にしてもらえなかったんでしょうね！？,
[BARK]IdleEnemy_1,一体何のつもりなの？イカれてんの！？,
[BARK]IdleEnemy_2,お願い、私何の関係もないでしょ！？行かせてよ！,
[BARK]IdleEnemy_3,やめて、お願い！,
[BARK]IdleSelf_0,神様、神様、神様！,
[BARK]IdleSelf_1,クソ、クソ、クソ！,
[BARK]IdleSelf_2,死ねばいいのに、この…,
[BARK]IdleSelf_3,あのバカ私を一人にして！,
[BARK]IncapIdle_0,（悲鳴）,
[BARK]IncapIdle_1,（悲鳴）,
[BARK]IncapIdle_2,（悲鳴）,
[BARK]IncapIdle_3,（悲鳴）,
[BARK]NonCompliant_0,私はどこにも行かないわ！,
[BARK]NonCompliant_1,何？私はここに残るわよ！,
[BARK]NonCompliant_2,そんなことしてる暇ないの！,
[BARK]NonCompliant_3,絶対にイヤ！,
[BARK]NonCompliant_4,イヤ！,
[BARK]NonCompliant_5,バッジの番号を見せてちょうだいよ！,
[BARK]NonCompliant_6,絶対にイヤ、カス野郎！,
[BARK]NonCompliant_7,捕まえてみなさいよ！クソ野郎！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,私にはキツいわ！,
[BARK]PickedUp_1,気をつけてくれる！？,
[BARK]PickedUp_2,（唸り声）,
[BARK]PlayerSeen_0,あぁ神様！,
[BARK]PlayerSeen_1,（恐怖に満ちた叫び声）,
[BARK]PlayerSeen_2,あぁ、助かったわ！,
[BARK]PlayerSeen_3,助けてよ！,
[BARK]Stunned_0,（恐怖に満ちた叫び声）,
[BARK]Stunned_1,（恐怖に満ちた叫び声）,
[BARK]Stunned_2,（恐怖に満ちた叫び声）,
[BARK]Stunned_3,（恐怖に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[BARK]Tased_2,（苦痛に満ちた叫び声）,
[REPLY]Shooting_0,（恐怖に満ちた叫び声）,
[REPLY]Shooting_1,あぁ神様、やめて！,
[REPLY]Shooting_2,人を撃ってる！,
[REPLY]Shooting_3,ジーザス！,
[TELL]Fleeing_0,私は逃げるわ！,
[TELL]Fleeing_1,こんなとこ居られない！,
[TELL]Fleeing_2,私こんなとこ居られない！こんなのイカれてるわ！,
[TELL]Fleeing_3,あぁ！出口は…,
