Key,Dialogue,Context
[BARK]Arrested_0,放せ！,
[BARK]Arrested_1,やめろ！,
[BARK]Arrested_2,ノーノーノー！放せよ！,
[BARK]Arrested_3,さあ、放せ！,
[BARK]Arrested_4,放せ！やめろってば！放せ！,
[BARK]Arrested_5,俺はおふくろのところに帰りたいだけだ。,
[BARK]Arrested_6,無理だ、刑務所に行くなんてできない！,
[BARK]Compliant_0,殺さないでくれ、降伏するから！,
[BARK]Compliant_1,殺さないでくれ、降伏するから！,
[BARK]Compliant_2,撃つな！,
[BARK]Compliant_3,撃つな！,
[BARK]Compliant_4,降参だ。,
[BARK]Compliant_5,殺さないでくれ、降伏するから！,
[BARK]Compliant_6,殺さないでくれ、降伏するから！,
[BARK]Compliant_7,殺さないでくれ、降伏するから！,
[BARK]Compliant_8,殺さないでくれ、降伏するから！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_24,（悲鳴）,
[BARK]Death_25,（悲鳴）,
[BARK]Death_26,（悲鳴）,
[BARK]Death_27,（悲鳴）,
[BARK]Death_28,（悲鳴）,
[BARK]Death_29,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_30,（悲鳴）,
[BARK]Death_31,（悲鳴）,
[BARK]Death_32,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,クソッ、死んでる、死んじまった！,
[BARK]FellowAIKilled_1,なんてこった、死んじまった。,
[BARK]FellowAIKilled_2,クソッ、死んじまった！,
[BARK]FellowAIKilled_3,死んでる、死んじまった！,
[BARK]FellowAIKilled_4,クソ！,
[BARK]Flashed_0,耳が！,
[BARK]Flashed_1,（苦痛に満ちた叫び声）,
[BARK]Flashed_2,耳が！,
[BARK]Flashed_3,耳が聞こえない！,
[BARK]Flashed_4,目が！！,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]Gassed_2,（咳き込む）,
[BARK]Gassed_3,（咳き込む）,
[BARK]HeardSWAT_0,おまえを見つけてやる。,
[BARK]HeardSWAT_1,必ずおまえを見つけてやるからな！,
[BARK]HeardSWAT_2,俺に。,
[BARK]HeardSWAT_3,あー。,
[BARK]HeardSWAT_4,こっちだ。,
[BARK]IdleAlly_0,雨が降ってきやがった。,
[BARK]IdleAlly_1,あ～、もうクタクタだ。,
[BARK]IdleAlly_2,ああ、足が。,
[BARK]IdleAlly_3,雨が降ってきやがった。,
[BARK]IdleSelf_0,（溜め息）,
[BARK]IdleSelf_1,（溜め息）,
[BARK]NonCompliant_0,くそったれ！,
[BARK]NonCompliant_1,くそったれ！,
[BARK]NonCompliant_2,クソ野郎。,
[BARK]NonCompliant_3,まだあきらめないぞ！,
[BARK]NonCompliant_4,まだあきらめないぞ！,
[BARK]Pain_0,なんてこった！,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]Pain_6,（苦痛に満ちた叫び声）,
[BARK]Pain_7,（苦痛に満ちた叫び声）,
[BARK]Pain_8,（苦痛に満ちた叫び声）,
[BARK]Peppered_0,目が！,
[BARK]Peppered_1,クソ、目が見えない！,
[BARK]Peppered_2,（苦痛に満ちた叫び声）,
[BARK]Peppered_3,目が！,
[BARK]Peppered_4,目が！,
[BARK]PlayerSeen_0,サプラーイズ！,
[BARK]PlayerSeen_1,ブー！,
[BARK]PlayerSeen_10,警察だ！俺を追ってきたんだ！,
[BARK]PlayerSeen_11,サツだ！,
[BARK]PlayerSeen_12,こっちだ！,
[BARK]PlayerSeen_13,サツだ！,
[BARK]PlayerSeen_14,あそこだ！,
[BARK]PlayerSeen_15,サツだ！,
[BARK]PlayerSeen_16,（息を呑む）,
[BARK]PlayerSeen_17,また警察側だ！,
[BARK]PlayerSeen_2,（ロシア語で話している）,
[BARK]PlayerSeen_3,メス犬め！,
[BARK]PlayerSeen_4,整列！,
[BARK]PlayerSeen_5,クソ。,
[BARK]PlayerSeen_6,クソッ！,
[BARK]PlayerSeen_7,クソッ！,
[BARK]PlayerSeen_8,（息を呑む）,
[BARK]PlayerSeen_9,（息を呑む）,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Stunned_2,（苦痛に満ちた叫び声）,
[BARK]Stunned_3,（苦痛に満ちた叫び声）,
[REPLY]Shooting_0,（笑い）,
[TELL]Fleeing_0,早くから出してくれ！,
[TELL]Fleeing_1,俺たちは一緒にいる必要がある！,
[TELL]Fleeing_2,警察が来たぞ！,
[TELL]Fleeing_3,クソ！,
[TELL]Shooting_0,（笑い）,
[TELL]Shooting_1,撃て！,
[TELL]Shooting_2,撃ちまくれ！,
[TELL]Shooting_3,（笑い）,
[TELL]Shooting_4,（笑い）,
[TELL]Shooting_5,捕まえた！,
[TELL]Shooting_6,（笑い）,
