Key,Dialogue,Context
[BARK]Arrested_0,何も後悔していない。,
[BARK]Arrested_1,お前はヒーローじゃない。,
[BARK]Arrested_10,奴らは一人残らず死ぬしかない。,
[BARK]Arrested_11,お前は何も変えられない！,
[BARK]Arrested_12,俺が先に奴らを殺さなければ、俺が奴らに殺されていた。,
[BARK]Arrested_13,誰かが俺の後を継ぐ。,
[BARK]Arrested_14,これが俺の最後の任務か。,
[BARK]Arrested_15,これを外せ、卑怯者！,
[BARK]Arrested_16,お前、根性あるな。,
[BARK]Arrested_17,俺はここで死ぬ運命なのだ。,
[BARK]Arrested_18,お前の仲間を殺した時、俺に躊躇はなかった。,
[BARK]Arrested_19,任務を完遂しなければ。,
[BARK]Arrested_2,お前よりもまともな人間をたくさん失ってきた。,
[BARK]Arrested_20,さあ、思い切ってやれよ！,
[BARK]Arrested_21,一人で世界全体を救うことなどできない。,
[BARK]Arrested_22,俺に起こったことは、いつかお前にも起こる。,
[BARK]Arrested_23,奴はお前を昇進させるかもしれないが、それはお前が殉職した後の事だ。,
[BARK]Arrested_24,奴らはこれが何なのかを理解していない。,
[BARK]Arrested_25,奴らはお前を利用している。俺が利用されたようにな。,
[BARK]Arrested_3,俺は一度見た顔を絶対に忘れない。,
[BARK]Arrested_4,さっさと殺せ。ああ、やれ。,
[BARK]Arrested_5,なら撃ってみろよ、このマヌケが！,
[BARK]Arrested_6,「機関」は、こんな無能な連中を送ったのか。,
[BARK]Arrested_7,こんなことをしても奴らは戻ってこない。,
[BARK]Arrested_8,やったことはやった。後戻りはできない。,
[BARK]Arrested_9,全てに意味があった、一切合財だ。,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Bashed_3,（苦痛に満ちた叫び声）,
[BARK]Bashed_4,（苦痛に満ちた叫び声）,
[BARK]BashImmune_0,それでおわりか？もっとやれるだろ。,
[BARK]BashImmune_1,不十分だ。,
[BARK]Compliant_0,なにも終わっちゃいない。,
[BARK]Compliant_1,今のところは諦めよう！,
[BARK]Compliant_10,やっとか！,
[BARK]Compliant_11,終わらせるのだ。,
[BARK]Compliant_12,任務は決して終わらない。,
[BARK]Compliant_2,俺が捕まっても、まだ替わりがいる。,
[BARK]Compliant_3,従えばいいのだろう。,
[BARK]Compliant_4,お前の勝ちだ、警官さん。,
[BARK]Compliant_5,降伏する。,
[BARK]Compliant_6,降参だ。もう耐えられない。終わらせてくれ。,
[BARK]Compliant_7,さあ、終わらせてくれ。,
[BARK]Compliant_8,やるべきことをやれ。,
[BARK]Compliant_9,俺を殺せ、どうせ奴らに殺される。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_11,（悲鳴）,
[BARK]Death_12,（悲鳴）,
[BARK]Death_13,（悲鳴）,
[BARK]Death_14,（悲鳴）,
[BARK]Death_15,（悲鳴）,
[BARK]Death_16,（悲鳴）,
[BARK]Death_17,（悲鳴）,
[BARK]Death_18,（悲鳴）,
[BARK]Death_19,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_20,（悲鳴）,
[BARK]Death_21,（悲鳴）,
[BARK]Death_22,（悲鳴）,
[BARK]Death_23,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,やりやがったな！,
[BARK]FellowAIKilled_1,やめろ！,
[BARK]FellowAIKilled_2,お前は一体何をしたのだ？！,
[BARK]FellowAIKilled_3,この野郎！,
[BARK]FellowAIKilled_4,腹を裂いてやる！,
[BARK]Flashed_0,ああ、くそっ！,
[BARK]Flashed_1,くそ！,
[BARK]Flashed_2,（悲鳴）,
[BARK]FlashImmune_0,お前は手ごわいが、俺の方が上だ。,
[BARK]FlashImmune_1,これで助かると思うな。,
[BARK]GasImmune_0,この馬鹿野郎！,
[BARK]GasImmune_1,もう遊びは終わりだ！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]HeardSWAT_0,お前らを殺してやる！,
[BARK]HeardSWAT_1,今のはお前か？,
[BARK]HeardSWAT_2,シッ！,
[BARK]HeardSWAT_3,今のは何だ？,
[BARK]HeardSWAT_4,静かに！,
[BARK]HeardSWAT_5,調べてみろ！,
[BARK]HeardSWAT_6,誰かがいる！,
[BARK]HeardSWAT_7,誰かここにいるぞ。,
[BARK]HeardSWAT_8,誰かにつけられたのか？,
[BARK]HeardSWAT_9,出て来い、姿を見せろ！,
[BARK]IdleAlly_0,奴らが憎い。全員憎いんだ。,
[BARK]IdleAlly_1,もっと数が必要だ。,
[BARK]IdleAlly_10,奴らが人を送る事を、俺が知らないとでも思ったのか？,
[BARK]IdleAlly_11,奴らの言いなりになったせいで、人生を何年も無駄にした。,
[BARK]IdleAlly_12,奴らを壊滅させない限り、何も変わらない。,
[BARK]IdleAlly_13,警察には病が蔓延している。浄化しなければ。,
[BARK]IdleAlly_14,まずは警察だ。「機関」は最後に壊滅させる。,
[BARK]IdleAlly_15,計画通りに行動しろ！,
[BARK]IdleAlly_2,奴ら、驚くだろうな。,
[BARK]IdleAlly_3,一斉に奴ら全員にお見舞いしないと。,
[BARK]IdleAlly_4,我々は歴史を作るのだ。,
[BARK]IdleAlly_5,極端すぎることなどない。,
[BARK]IdleAlly_6,明日の朝までに終わらせなければ。,
[BARK]IdleAlly_7,これは奴らの想像をはるかに超えている。,
[BARK]IdleAlly_8,奴らが全員死んだらそれで終わりだ。,
[BARK]IdleAlly_9,奴らがお前に、そして俺にも、これをやった。,
[BARK]IdleSelf_0,裏切り者。屑が。,
[BARK]IdleSelf_1,奴らはお前にあんなことをしたのだ。お前もやり返さなければ。自分の姿を見て見ろ。,
[BARK]IdleSelf_2,奴らがもし戦争がやりたいというのなら、喜んで応じよう。,
[BARK]IdleSelf_3,恐怖ってものを教えてやる！,
[BARK]IdleSelf_4,もう何もかも無意味だ。,
[BARK]IdleSelf_5,全てが嘘だった。全部だ。,
[BARK]NonCompliant_0,銃を捨てて立ち去れ！,
[BARK]NonCompliant_1,もう一度やってみろ！,
[BARK]NonCompliant_2,俺をなめるな！,
[BARK]NonCompliant_3,従うものか。,
[BARK]NonCompliant_4,従う価値がない。,
[BARK]NonCompliant_5,やってみろよ。,
[BARK]NonCompliant_6,死ねっ！,
[BARK]NonCompliant_7,何も終わっていない。,
