Key,Dialogue,Context
[CALL]ArrestingCivilianComplete_0,民間人の移送準備よし。,
[CALL]ArrestingCivilianComplete_1,民間人に手錠をかけ、準備よし。,
[CALL]ArrestingCivilianComplete_2,民間人の準備よし。,
[CALL]ArrestingCivilianComplete_3,準備よし。,
[CALL]ArrestingCivilianComplete_4,民間人を拘束。,
[CALL]ArrestingCivilianComplete_5,手錠をかけ、準備よし。,
[CALL]ArrestingCivilianMove_0,奴は任せろ。,
[CALL]ArrestingCivilianMove_1,手錠をかけたまま移動する。,
[CALL]ArrestingCivilianMove_2,今、準備する。,
[CALL]ArrestingCivilian_0,落ち着いて、必ず連れ出すから。,
[CALL]ArrestingCivilian_1,協力してくれれば、問題ない。,
[CALL]ArrestingCivilian_10,確保した。もう心配ない。,
[CALL]ArrestingCivilian_11,こうするしかないんだ。,
[CALL]ArrestingCivilian_12,ここなら安全だ。,
[CALL]ArrestingCivilian_2,心配するな。我々は警察だ。,
[CALL]ArrestingCivilian_3,今は拘束しておくしかないんだ。,
[CALL]ArrestingCivilian_4,外で警官が待っている。,
[CALL]ArrestingCivilian_5,大丈夫だ。,
[CALL]ArrestingCivilian_6,心配ない。,
[CALL]ArrestingCivilian_7,仕事なんだ。,
[CALL]ArrestingCivilian_8,このエリアの安全を確保しようとしているんだ。,
[CALL]ArrestingCivilian_9,助けに来た。,
[CALL]ArrestingSuspectComplete_0,容疑者の移送準備よし。,
[CALL]ArrestingSuspectComplete_1,やつらを全員、拘束した。,
[CALL]ArrestingSuspectComplete_2,拘束して準備よし。,
[CALL]ArrestingSuspectComplete_3,仕留めた！,
[CALL]ArrestingSuspectComplete_4,容疑者に手錠をかけ、身柄確保。,
[CALL]ArrestingSuspectComplete_5,万事よし。,
[CALL]ArrestingSuspectMove_0,拘束！,
[CALL]ArrestingSuspectMove_1,手錠をかける。,
[CALL]ArrestingSuspectMove_2,拘束完了、準備OK！,
[CALL]ArrestingSuspectMove_3,捕まえた。,
[CALL]ArrestingSuspectMove_4,手錠をかけた。,
[CALL]ArrestingSuspectMove_5,万事よし。,
[CALL]ArrestingSuspect_0,これが終わるまでそのままでいてくれ。いいな？,
[CALL]ArrestingSuspect_1,動くな。,
[CALL]ArrestingSuspect_10,手錠に抗おうとするな。,
[CALL]ArrestingSuspect_11,俺の目の届くところでじっとしていろ。,
[CALL]ArrestingSuspect_12,協力すれば、すぐに終わる。,
[CALL]ArrestingSuspect_13,これ以上のトラブルはごめんだ。,
[CALL]ArrestingSuspect_2,じっとしてろ。,
[CALL]ArrestingSuspect_3,手錠はつけたままだ。,
[CALL]ArrestingSuspect_4,手は首の後ろだ。,
