Key,Dialogue,Context
[CALL]ArrestFemaleS_0,逮捕しろ。,
[CALL]ArrestFemaleS_1,拘束しろ。,
[CALL]ArrestFemaleS_2,手錠をかけろ。,
[CALL]ArrestFemale_0,逮捕しろ。,
[CALL]ArrestFemale_1,拘束しろ。,
[CALL]ArrestFemale_2,手錠をかけろ。,
[CALL]ArrestMaleS_0,逮捕しろ。,
[CALL]ArrestMaleS_1,拘束しろ！,
[CALL]ArrestMaleS_2,手錠をかけろ。,
[CALL]ArrestMale_0,逮捕しろ。,
[CALL]ArrestMale_1,拘束しろ。,
[CALL]ArrestMale_2,手錠をかけろ。,
[CALL]Arrest_0,逮捕しろ,Instructing team to arrest someone
[CALL]Arrest_1,逮捕しろ,Instructing team to arrest someone
[CALL]Arrest_2,拘束しろ,Instructing team to arrest someone
[CALL]Arrest_3,拘束しろ,Instructing team to arrest someone
[CALL]Arrest_4,手錠をかけろ,Instructing team to arrest someone
[CALL]Arrest_5,手錠をかけろ,Instructing team to arrest someone
[CALL]ArrestingCivilian_0,心配するな。,While handcuffing someone
[CALL]ArrestingCivilian_1,目的はあんたじゃない。,While handcuffing someone
[CALL]ArrestingCivilian_10,手は首の後ろだ。,While handcuffing someone
[CALL]ArrestingCivilian_11,安全のために手錠をかけてるだけだ。,While handcuffing someone
[CALL]ArrestingCivilian_2,ここにいろ。,While handcuffing someone
[CALL]ArrestingCivilian_3,落ち着け。,While handcuffing someone
[CALL]ArrestingCivilian_4,ここにいろ。邪魔はするな。,While handcuffing someone
[CALL]ArrestingCivilian_5,ここにいろ。落ち着け。,While handcuffing someone
[CALL]ArrestingCivilian_6,大丈夫だ。,While handcuffing someone
[CALL]ArrestingCivilian_7,ただのプロコトルだ。,While handcuffing someone
[CALL]ArrestingCivilian_8,お前をここから連れ出す。,While handcuffing someone
[CALL]ArrestingCivilian_9,動くな。頼む。,While handcuffing someone
[CALL]ArrestingSuspect_0,そっちを向いて動くな。,While handcuffing someone
[CALL]ArrestingSuspect_1,じっとしていろ。動くな。,While handcuffing someone
[CALL]ArrestingSuspect_10,静かにしてて。,While handcuffing someone
[CALL]ArrestingSuspect_11,落ち着け。,While handcuffing someone
[CALL]ArrestingSuspect_12,リラックスしろ。,While handcuffing someone
[CALL]ArrestingSuspect_13,抵抗するな。,While handcuffing someone
[CALL]ArrestingSuspect_14,これ以上自分を苦しめるな。,While handcuffing someone
[CALL]ArrestingSuspect_2,じっとしてろ。,While handcuffing someone
[CALL]ArrestingSuspect_3,動くなって言ってるだろ。,While handcuffing someone
[CALL]ArrestingSuspect_4,そういう規則なんだ。,While handcuffing someone
[CALL]ArrestingSuspect_5,リラックスしろ。,While handcuffing someone
[CALL]ArrestingSuspect_6,お前を逮捕する。動くな。,While handcuffing someone
[CALL]ArrestingSuspect_7,動くな。,While handcuffing someone
[CALL]ArrestingSuspect_8,そこを動くな。,While handcuffing someone
[CALL]ArrestingSuspect_9,じっとしてろ。,While handcuffing someone
[CALL]BleedoutBreath_0,（荒い息遣い）,
[CALL]BleedoutBreath_1,（荒い息遣い）,
[CALL]BleedoutBreath_2,（荒い息遣い）,
[CALL]BleedoutBreath_3,（荒い息遣い）,
[CALL]BleedoutBreath_4,（荒い息遣い）,
[CALL]BlockedByPlayerS_0,脇に寄れ。,
[CALL]BlockedByPlayerS_1,どけ。,
[CALL]BlockedByPlayerS_2,どいてくれ。,
[CALL]BlockedByPlayerS_3,そこは自分の場所です。,
[CALL]BlockedByPlayerS_4,邪魔だ。,
[CALL]BlockedByPlayerS_5,道を開けろ。,
[CALL]BlockedByPlayer_0,脇に寄れ。,Path blocked by someone
[CALL]BlockedByPlayer_1,どけ。,Path blocked by someone
[CALL]BlockedByPlayer_2,どいてくれ。,Path blocked by someone
[CALL]BlockedByPlayer_3,そこは自分の場所です。,Path blocked by someone
[CALL]BlockedByPlayer_4,ここをどけ。,Path blocked by someone
[CALL]BlockedByPlayer_5,道を開けろ。,Path blocked by someone
[CALL]BreachDone_0,行け、行け、行け！,Breaching a door into a room
[CALL]BreachDone_1,行け！,Breaching a door into a room
[CALL]BreachDone_2,突入！,Breaching a door into a room
[CALL]BreachDone_3,行け！,Breaching a door into a room
[CALL]BreachDone_4,行け！突入！,Breaching a door into a room
[CALL]C2PlacedS_0,突破準備だ。,
[CALL]C2PlacedS_1,準備しろ。,
[CALL]C2PlacedS_2,準備よし。,
[CALL]C2PlacedS_3,突破準備をしろ。,
[CALL]C2Placed_0,突破準備だ。,About to breach with explosive
[CALL]C2Placed_1,準備しろ。,About to breach with explosive
[CALL]C2Placed_2,準備よし。,About to breach with explosive
[CALL]C2Placed_3,まもなく突破だ。,About to breach with explosive
[CALL]Cancel_0,止まれ。,
[CALL]Cancel_1,待て。,
[CALL]CollectEvidenceS_0,証拠を集める。,
[CALL]CollectEvidenceS_1,収集している。,
[CALL]CollectEvidenceS_2,証拠収集中だ。,
[CALL]CollectEvidenceS_3,証拠を収集している。,
[CALL]CollectEvidenceS_4,証拠収集完了。,
[CALL]CollectEvidence_0,証拠を集める。,Placing evidence into a bag
[CALL]CollectEvidence_1,収集している。,Placing evidence into a bag
[CALL]CollectEvidence_2,証拠収集中だ。,Placing evidence into a bag
[CALL]CollectEvidence_3,証拠収集中。,Placing evidence into a bag
[CALL]CollectEvidence_4,証拠収集完了。,Placing evidence into a bag
[CALL]Death_0,（悲鳴）,
[CALL]Death_1,（悲鳴）,
[CALL]Death_2,（悲鳴）,
[CALL]Death_3,（悲鳴）,
[CALL]Death_4,（悲鳴）,
[CALL]Death_5,（悲鳴）,
[CALL]Death_6,（悲鳴）,
[CALL]Death_7,（悲鳴）,
[CALL]Death_8,（悲鳴）,
[CALL]DisarmTrapS_0,解除中。,
[CALL]DisarmTrapS_1,罠を解除する。,
[CALL]DisarmTrapS_2,援護してくれ。デバイスを解除する。,
[CALL]DisarmTrapS_3,解除中。,
[CALL]DisarmTrapS_4,罠を確保する。,
[CALL]DisarmTrapS_5,デバイスを確保する。,
[CALL]DisarmTrapS_6,援護してくれ。解除中だ。,
[CALL]DisarmTrap_0,解除中。,Disarming a trap device
[CALL]DisarmTrap_1,罠を解除する。,Disarming a trap device
[CALL]DisarmTrap_2,援護を頼む。デバイスを解除している。,Disarming a trap device
[CALL]DisarmTrap_3,解除中。,Disarming a trap device
[CALL]DisarmTrap_4,罠を確保する。,Disarming a trap device
[CALL]DisarmTrap_5,デバイスを確保する。,Disarming a trap device
[CALL]DisarmTrap_6,援護しろ。解除中だ。,Disarming a trap device
[CALL]EngageLessLethalBeanbag_0,ビーンバッグ弾を使う！,
