Key,Dialogue,Context
[CALL]ArrestingCivilianComplete_0,民間人の移送準備よし。,
[CALL]ArrestingCivilianComplete_1,民間人に手錠をかけ、準備よし。,
[CALL]ArrestingCivilianComplete_2,民間人の準備よし。,
[CALL]ArrestingCivilianComplete_3,準備よし。,
[CALL]ArrestingCivilianComplete_4,民間人を拘束。,
[CALL]ArrestingCivilianComplete_5,手錠をかけ、準備よし。,
[CALL]ArrestingCivilianMove_0,回収した。,
[CALL]ArrestingCivilianMove_1,今、手錠をかける。,
[CALL]ArrestingCivilianMove_2,今、準備する。,
[CALL]ArrestingCivilian_0,落ち着いて協力してくれ、わかったか？,
[CALL]ArrestingCivilian_1,落ち着いて。我々がここから連れ出す。,
[CALL]ArrestingCivilian_10,大丈夫。,
[CALL]ArrestingCivilian_11,警察だ。あなたはケガをしていませんか？,
[CALL]ArrestingCivilian_12,そういう規則なんだ。,
[CALL]ArrestingCivilian_13,他に誰か見たか？,
[CALL]ArrestingCivilian_2,武器は持っているのか？,
[CALL]ArrestingCivilian_3,必ず連れ出すから。,
[CALL]ArrestingCivilian_4,終わるまで、これを着用してもらう。,
[CALL]ArrestingCivilian_5,もう心配する必要はない。これで終わりだ。,
[CALL]ArrestingCivilian_6,何か危険なものは持ってないか？,
[CALL]ArrestingCivilian_7,心配ない、外へ連れ出してやる。,
[CALL]ArrestingCivilian_8,仕事なんだ。,
[CALL]ArrestingCivilian_9,もう安全だ。,
[CALL]ArrestingSuspectComplete_0,容疑者の移送準備よし。,
[CALL]ArrestingSuspectComplete_1,やり手だ。,
[CALL]ArrestingSuspectComplete_2,,
[CALL]ArrestingSuspectComplete_3,容疑者に手錠をかけ、身柄確保。,
[CALL]ArrestingSuspectComplete_4,仕留めた！,
[CALL]ArrestingSuspectComplete_5,容疑者、ワゴンへの準備完了。,
[CALL]ArrestingSuspectComplete_6,容疑者はどこにも行かない。,
[CALL]ArrestingSuspectComplete_7,手錠をかけた！,
[CALL]ArrestingSuspectMove_0,仕留めた！,
[CALL]ArrestingSuspectMove_1,手錠をかける。,
[CALL]ArrestingSuspectMove_2,準備する。,
[CALL]ArrestingSuspectMove_3,手錠をかけてる。,
[CALL]ArrestingSuspectMove_4,手錠をかけた。,
[CALL]ArrestingSuspect_0,手錠をいじくるな。,
[CALL]ArrestingSuspect_1,問題を起こそうとするなよ、わかったか？,
[CALL]ArrestingSuspect_10,おめでとう。警察署までタダ乗りだ。,
[CALL]ArrestingSuspect_11,お前には黙秘権がある。供述は法廷で不利な証拠として用いられる場合がある。,
[CALL]ArrestingSuspect_12,ああ、電話はできるからな。,
[CALL]ArrestingSuspect_13,黙るんだ。動くな。,
