Key,Dialogue,Context
[BARK]Idle_0,そうだな、明日は風邪引くかな？,
[BARK]Idle_1,この書類に埋もれるのが俺の最期だろうな。,
[BARK]Idle_2,もう一週間だぞ。,
[BARK]Idle_3,手伝おうか？,
[BARK]Idle_4,どうした？,
[BARK]Idle_5,この街はもう以前とは違う場所だ。,
[BARK]Idle_6,よう、調子はどうだ？,
[BARK]Idle_7,今日もロススエノスは平和だなぁ。,
[BARK]Idle_8,この街マジで楽園だなぁ。,
[BARK]StressNegative_0,神様。,
[BARK]StressNegative_1,チーム一体となって動かないと。,
[BARK]StressNegative_2,あれは酷かったな。,
[BARK]StressNegative_3,一体どうしたんだ？らしくないぞ。,
[BARK]StressNegative_4,お前らシャキッとしろ！,
[BARK]StressNeutral_0,最悪は免れたな。,
[BARK]StressNeutral_1,今日はツイてなかったな。,
[BARK]StressNeutral_2,気にするな、お前は間違ってない。,
[BARK]StressNeutral_3,この街は単純じゃない。やれることをやるんだ。,
[BARK]StressNeutral_4,やれる限りのことをしよう,
[BARK]StressPositive_0,良い仕事ぶりだった。その調子だ。,
[BARK]StressPositive_1,良い仕事したな。,
[BARK]StressPositive_2,お前らの仕事ぶり見るの好きなんだ。その調子でな。,
[BARK]StressPositive_3,お前らのチーム最高だぜ。,
[BARK]StressPositive_4,良くやった。お前らのことが誇らしいよ。,
