Key,Dialogue,Context
[BARK]Idle_0,君のことが心配でね。,
[BARK]Idle_1,君のチームはどうだ？,
[BARK]Idle_10,みんな何かと戦っている、君を頼りにしている人たちのために強くあるんだ。,
[BARK]Idle_11,少し疲れているようだ。話があるなら聞こうか？,
[BARK]Idle_12,セルフケアは大事だ。自分の心の状態と、立ち止まって一息つくタイミングを知るんだ。,
[BARK]Idle_13,みんな一緒だ。,
[BARK]Idle_14,誰かに話すことはつらいことではない。,
[BARK]Idle_15,少し元気が出たようで良かった。その調子だよ。,
[BARK]Idle_16,確かに仕事だからなのかもしれないけど、君のチームのことを気にかけているよ。,
[BARK]Idle_17,この街で仕事するのは、誰にだって重い負担だろう。,
[BARK]Idle_18,少し疲れたか？私のオフィスで少し喋ろうか？,
[BARK]Idle_19,ちょっと話したいんだ。機会があったら私のオフィスまで寄ってくれ。,
[BARK]Idle_2,重圧を抱えてるようだ。自分のことを大事にするんだ。仕事ばかりじゃなくて、家でもね。,
[BARK]Idle_3,君のためにここにいる。何かあったらいつでも言ってくれ。,
[BARK]Idle_4,仕事と家庭を両立するのは難しいかもしれない。特に君のような立場ではね。,
[BARK]Idle_5,チームの健康を重要視してくれよ。,
[BARK]Idle_6,君のチームは君を頼りにしてる。,
[BARK]Idle_7,一日終えたら、みんな無事に家に帰るんだ。,
[BARK]Idle_8,自分を大事にな。,
[BARK]Idle_9,必要なら、いつでも来てくれ。,
