Key,Dialogue,Context
[BARK]Idle_0,訓練が成功の鍵、だろ？,
[BARK]Idle_1,七面鳥撃ちへようこそ。,
[BARK]Idle_10,今日はこれくらいにしておこう。,
[BARK]Idle_11,調子はどうだ？,
[BARK]Idle_12,この街はまだ変われる。そう信じてる。,
[BARK]Idle_13,ストリート稼業から足を洗って良かったと思ってるが、時々恋しくなる。,
[BARK]Idle_14,常に装備を新調するのを忘れるなよ。,
[BARK]Idle_15,最近街の様子は？,
[BARK]Idle_16,辛い仕事だ。集中を欠かすんじゃないぞ。,
[BARK]Idle_17,ちょっと射撃場でリラックスしてきたらどうだ？,
[BARK]Idle_18,近頃は日常を保つためにもこんな火力が必要だなんてな。,
[BARK]Idle_19,今日の射撃は良かったぞ。上達している。,
[BARK]Idle_2,出発前に装備を確認しろよ。,
[BARK]Idle_3,デイビッド、自分を信じろ。みんなお前に期待してる。一緒に訓練してこい、みんな歓迎するぞ。,
[BARK]Idle_4,気をつけて運べよ。予算の何割かはそれが食ってる。,
[BARK]Idle_5,お前が好きそうなやつを見つけたぞ。,
[BARK]Idle_6,おい、もっと優しく扱えよ。,
[BARK]Idle_7,これが都市を保つために必要な火力だ。,
[BARK]Idle_8,出来る限り弾は節約しろよ。,
[BARK]Idle_9,この"娘"、素敵だろ？一発試して来い。,
