Key,Dialogue,Context
[BARK]Idle_0,出るか？,
[BARK]Idle_1,よう。,
[BARK]Idle_10,お前も大変だな。,
[BARK]Idle_11,帰りにコーヒー買ってきてくれるか？,
[BARK]Idle_12,このシフトを乗り切るのにはカフェイン以上のものが必要だな。,
[BARK]Idle_13,あぁ、やめてくれよ…,
[BARK]Idle_14,この街は悪い状況よりさらに悪い状況に向かっているような気がするんだ。,
[BARK]Idle_15,最後に寝たのはいつだったか。,
[BARK]Idle_16,テープを持ってくるから、コーヒーをくれると助かる。,
[BARK]Idle_17,今日も残業になりそうだな。,
[BARK]Idle_18,この仕事の一日が終わればすぐまた次の一日だ。,
[BARK]Idle_19,この街を見てるとたまに心が挫けそうになる。,
[BARK]Idle_2,どうした？,
[BARK]Idle_3,もう街丸ごと全部クソの山だ。,
[BARK]Idle_4,もう一睡もせずに仕事してる。,
[BARK]Idle_5,テープを持ってくる。多少マシになると思う。,
[BARK]Idle_6,最近はIVでコーヒーが要る。,
[BARK]Idle_7,この街は眠らない。俺もそうだ。,
[BARK]Idle_8,あぁ、これもう最高だと思わないか？なぁ？,
[BARK]Idle_9,そもそも何でこの街のために尽くしているのか、時々わからなくなる。,
