Key,Dialogue,Context
[BARK]Idle_0,気にするな、新しいオモチャを用意しておくよ。,
[BARK]Idle_1,必要なものがあったら言ってくれ。,
[BARK]Idle_10,今日は大物狙いか？,
[BARK]Idle_11,装填よし、準備よし。仕事の時間だ。,
[BARK]Idle_12,射撃場に行ってこいつを試してこいよ,
[BARK]Idle_13,こいつはマジの反動だな。,
[BARK]Idle_14,良いチョイスだ。準備は万端だな？,
[BARK]Idle_15,戻ったな。今日は何にする？,
[BARK]Idle_16,ご安全に、な。,
[BARK]Idle_17,良いセンスだ。,
[BARK]Idle_18,とっちめろ、相棒。,
[BARK]Idle_19,悪い、ここに戦車はないんだ。,
[BARK]Idle_2,調子はどうだ？平気か？,
[BARK]Idle_3,調子はどうだ？,
[BARK]Idle_4,今度射撃場行こうな。,
[BARK]Idle_5,よう。,
[BARK]Idle_6,この街はまるで戦場だな。,
[BARK]Idle_7,良い仕事してるぜ。,
[BARK]Idle_8,新しい装備は気に入ったか？,
[BARK]Idle_9,今日はこいつを持ってきた、きっと気にいるぜ。,
