Key,Dialogue,Context
[BARK]Arrested_0,（うめき声）,
[BARK]Arrested_1,痛い！,
[BARK]Arrested_2,どうなってるの？,
[BARK]Arrested_3,子供たちに手を触れたらタダじゃおかない！,
[BARK]Arrested_4,やめて！,
[BARK]Arrested_5,ねえ、何してるの？,
[BARK]Arrested_6,それで、これって…何の容疑？,
[BARK]Arrested_7,ちょっと、私が何をしたっていうの？,
[BARK]Arrested_8,息子たちに聞いて！ここには何もない！,
[BARK]ArrestIdle_0,住所を間違えてない？,
[BARK]ArrestIdle_1,息子が何かした？答えてよ！,
[BARK]ArrestIdle_2,薬を飲まないといけないの！,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Bashed_3,（苦痛に満ちた叫び声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Compliant_0,落ち着いてよ！やってるでしょ！,
[BARK]Compliant_1,落ち着いて、聞いてるから。,
[BARK]Compliant_2,分かった、分かった！,
[BARK]Compliant_3,乱暴しないで！,
[BARK]Compliant_4,何もしてない！,
[BARK]Compliant_5,クソ野郎、私は…何もしてない！,
[BARK]Compliant_6,分かった、分かった。やるわよ。,
[BARK]Compliant_7,こんなのありえない！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]FellowAIKilled_0,（悲鳴）,
[BARK]FellowAIKilled_1,お願い！もうやめて！,
[BARK]FellowAIKilled_2,もうやめて！,
[BARK]FellowAIKilled_3,やめて！,
[BARK]FellowAIKilled_4,そんな…,
[BARK]Flashed_0,ああ、クソ！何も見えない！ああ、クソ！,
[BARK]Flashed_1,（苦痛に満ちた叫び声）,
[BARK]Flashed_2,ああ、クソ！何も見えない！ああ！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]Gassed_3,（咳）,
[BARK]Gassed_4,（咳）,
[BARK]HeardSWAT_0,マイケル？,
[BARK]HeardSWAT_1,デマーカス？,
[BARK]HeardSWAT_2,ちょっと。,
[BARK]HeardSWAT_3,何なの？,
[BARK]HeardSWAT_4,あれは何？,
[BARK]Hesitating_0,え…えっと…,
[BARK]Hesitating_1,あー…,
[BARK]Hesitating_2,まったく。,
[BARK]Hesitating_3,うーん、えっと…,
[BARK]IdleAlly_0,ずっと部屋にこもってばかり。,
[BARK]IdleAlly_1,最後に何かを手伝ってくれたのはいつだっけ？,
[BARK]IdleAlly_2,何とかしてくれる？,
[BARK]IdleEnemy_0,何してるの？,
[BARK]IdleEnemy_1,イカれたの？,
[BARK]IdleEnemy_2,もうやめて！,
[BARK]IdleEnemy_3,このバカ！,
[BARK]IdleEnemy_4,何をしたの？,
[BARK]IdleSelf_0,（咳）,
[BARK]IdleSelf_1,ああ、もう。,
[BARK]IdleSelf_2,（咳）,
[BARK]IdleSelf_3,（咳）,
[BARK]IdleSelf_4,一杯飲みたい。,
[BARK]Immune_0,ああ！,
[BARK]Immune_1,クソ野郎！,
[BARK]Immune_2,心臓病持ちなのよ！,
[BARK]Immune_3,クソ野郎！,
[BARK]Immune_4,ああ！クソ野郎！,
[BARK]IncapIdle_0,（苦し気なうめき声）,
[BARK]IncapIdle_1,（苦し気なうめき声）,
[BARK]IncapIdle_2,（苦し気なうめき声）,
[BARK]NonCompliant_0,クソ野郎ども、うせろ！,
[BARK]NonCompliant_1,クソ野郎！,
[BARK]NonCompliant_2,うちから出てって！,
[BARK]NonCompliant_3,どこへも行く気はない！,
[BARK]NonCompliant_4,近づかないで！,
[BARK]NonCompliant_5,クソ野郎！,
[BARK]Pain_0,（苦痛に満ちた叫び声）,
[BARK]Pain_1,（苦痛に満ちた叫び声）,
[BARK]Pain_2,（苦痛に満ちた叫び声）,
[BARK]Pain_3,（苦痛に満ちた叫び声）,
[BARK]Pain_4,（苦痛に満ちた叫び声）,
[BARK]Pain_5,（苦痛に満ちた叫び声）,
[BARK]Pain_6,（苦痛に満ちた叫び声）,
[BARK]Pain_7,（苦痛に満ちた叫び声）,
[BARK]PickedUp_0,放して！,
[BARK]PickedUp_1,クソ野郎！,
[BARK]PickedUp_2,痛い！クソ野郎！,
[BARK]PickedUp_3,（苦痛に満ちた叫び声）,
[BARK]PlayerSeen_0,（怯えた叫び声）,
[BARK]PlayerSeen_1,（怯えた叫び声）,
[BARK]PlayerSeen_2,（怯えた叫び声）,
[BARK]PlayerSeen_3,何？,
[BARK]PlayerSeen_4,何なの！,
[BARK]PlayerSeen_5,何…,
[BARK]PlayerSeen_6,誰なの？,
[BARK]PlayerSeen_7,警察がここで何してるの？,
[BARK]Stunned_0,（苦痛に満ちた叫び声）,
[BARK]Stunned_1,（苦痛に満ちた叫び声）,
[BARK]Stunned_2,（苦痛に満ちた叫び声）,
[BARK]Tased_0,（苦痛に満ちた叫び声）,
[BARK]Tased_1,（苦痛に満ちた叫び声）,
[BARK]Tased_2,（苦痛に満ちた叫び声）,
[REPLY]Fleeing_0,逃げて！,
[REPLY]Fleeing_1,ダメ、ここにいて！,
[REPLY]Fleeing_2,ど、どこへ行くの？,
[REPLY]Fleeing_3,待って！,
[REPLY]Fleeing_4,隠れて！,
[REPLY]Shooting_0,（怯えた叫び声）,
[REPLY]Shooting_1,（怯えた叫び声）,
[REPLY]Shooting_2,ウソでしょ！,
[REPLY]Shooting_3,やめて！,
[TELL]Fleeing_0,助けて！,
[TELL]Fleeing_1,何なの！,
[TELL]Fleeing_2,何なの！,
[TELL]Fleeing_3,マイケル！,
[TELL]Fleeing_4,神様！,
