Key,Dialogue,Context
[BARK]Arrested_0,家を間違えてるぞ！,
[BARK]Arrested_1,クソッ！今度は何をしたんだ？,
[BARK]Arrested_10,クソッ、クソッ、畜生！,
[BARK]Arrested_2,ネット上に兄貴をいじってくる奴らがいるんだ！,
[BARK]Arrested_3,兄貴が何かしたのか？,
[BARK]Arrested_4,今、こんなことが起きているなんてありえない。,
[BARK]Arrested_5,マジありえない！,
[BARK]Arrested_6,（苦しそうな怒鳴り声）,
[BARK]Arrested_7,（苦しそうな怒鳴り声）,
[BARK]Arrested_8,（苦しそうな怒鳴り声）,
[BARK]Arrested_9,おいおい、お願いだよ！,
[BARK]ArrestIdle_0,母さんを乱暴に扱うな！病気なんだ！,
[BARK]ArrestIdle_1,母さんに乱暴するな！母さんは何もしてない！,
[BARK]ArrestIdle_2,俺の名前はデマーカスだ。サン・ウリエル高校に通ってる。人違いだ！,
[BARK]ArrestIdle_3,おい、話してくれよ！一体どうなってるんだ？,
[BARK]ArrestIdle_4,刑務所には行きたくない！,
[BARK]ArrestIdle_5,誰か、助けてくれ！,
[BARK]ArrestIdle_6,ほっといてくれ！,
[BARK]ArrestIdle_7,俺は犯罪はしない。俺は犯罪者じゃない！,
[BARK]ArrestIdle_8,いいか、俺はゲームや映画のダウンロードしかしちゃいない。それだけだ！,
[BARK]Bashed_0,（苦しそうな怒鳴り声）,
[BARK]Bashed_1,（苦しそうな怒鳴り声）,
[BARK]Bashed_2,（苦しそうな怒鳴り声）,
[BARK]Bashed_3,（苦しそうな怒鳴り声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Breathing_3,（荒い息遣い）,
[BARK]Compliant_0,わかったよ！,
[BARK]Compliant_1,撃つな！,
[BARK]Compliant_2,撃たないでくれ！俺はまだ子供だ！,
[BARK]Compliant_3,今伏せるから！,
[BARK]Compliant_4,伏せるよ！,
[BARK]Compliant_5,頼むから、乱暴はやめてくれ！,
[BARK]Compliant_6,何でも言う通りにするよ！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]FellowAIKilled_0,マジかよ！,
[BARK]FellowAIKilled_1,クソ！,
[BARK]FellowAIKilled_2,クソ！,
[BARK]FellowAIKilled_3,何なんだよ？！,
[BARK]FellowAIKilled_4,やめろ！,
[BARK]FellowAIKilled_5,（怯えた叫び声）,
[BARK]Flashed_0,目が見えない！畜生！目が、目が見えない！,
[BARK]Flashed_1,（苦しそうな怒鳴り声）,
[BARK]Flashed_2,ああ、クソッ、目が！,
[BARK]Flashed_3,（苦しそうな怒鳴り声）,
[BARK]Flashed_4,何も見えない！,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]HeardSWAT_0,マイク？,
[BARK]HeardSWAT_1,母さん？,
[BARK]HeardSWAT_2,よう！,
[BARK]HeardSWAT_3,おい？,
[BARK]HeardSWAT_4,え？,
[BARK]Hesitating_0,俺は...えーと...,
[BARK]Hesitating_1,俺は...えーと...,
[BARK]Hesitating_2,俺は...俺は...,
[BARK]Hesitating_3,俺は…,
[BARK]Hesitating_4,えーと…あー…,
[BARK]Hesitating_5,あー...,
[BARK]IdleAlly_0,落ち着けよ。,
[BARK]IdleAlly_1,マイクのことを話さないと。,
[BARK]IdleAlly_2,マイクのことを話さないと。,
[BARK]IdleAlly_3,とにかく、落ち着こう。,
[BARK]IdleAlly_4,休息が必要だ。,
[BARK]IdleAlly_5,大丈夫か？,
[BARK]IdleEnemy_0,何をしてるんだ？,
[BARK]IdleEnemy_1,正気か？,
[BARK]IdleEnemy_2,もうやめてくれよ！,
[BARK]IdleEnemy_3,こんなことはやめてくれ！,
