Key,Dialogue,Context
[BARK]Arrested_0,冗談だろ。,
[BARK]Arrested_1,ジョークか何かか？まったく笑えねえ。,
[BARK]Arrested_10,おい、おまえら、マジでクソだな。,
[BARK]Arrested_11,おい、おまえら、マジでざけんなよ。,
[BARK]Arrested_12,今すぐこいつを外せ！,
[BARK]Arrested_13,くそったれ！,
[BARK]Arrested_14,何も言うもんか。,
[BARK]Arrested_15,こんなのデタラメだ！,
[BARK]Arrested_16,こんなの狂ってる！,
[BARK]Arrested_17,おまえら家を間違えてるぞ！,
[BARK]Arrested_2,配信を停止させてくれ！,
[BARK]Arrested_3,おいおい、俺はゲームの配信をやってるストリーマーだぞ！,
[BARK]Arrested_4,おいおい、カンベンしてくれよ！,
[BARK]Arrested_5,（苦痛に満ちた叫び声）,
[BARK]Arrested_6,（苦痛に満ちた叫び声）,
[BARK]Arrested_7,負け犬どもめ！くたばれ！,
[BARK]Arrested_8,こんなのカッコ悪すぎる。,
[BARK]Arrested_9,俺は何もしてない！,
[BARK]ArrestIdle_0,俺の配信のクソ視聴者がスワッティングしてるんだ！,
[BARK]ArrestIdle_1,これは俺の配信を見てる奴らの仕業だ！,
[BARK]ArrestIdle_2,マジで、何の悪いことをしたのかわからないんだ。俺はゲーム配信と仮想通貨のマイニングをやってるだけだ。,
[BARK]ArrestIdle_3,俺は刑務所へ行くわけにはいかないんだ！お袋と弟は俺が頼りなんだ！,
[BARK]ArrestIdle_4,こんなの狂ってる！,
[BARK]ArrestIdle_5,今は無理だ。,
[BARK]ArrestIdle_6,お袋と弟に聞いてくれ！何もしてないって証言してくれるはずだ！,
[BARK]ArrestIdle_7,クズのネット民のせいだ。,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Bashed_3,（苦痛に満ちた叫び声）,
[BARK]Bashed_4,（苦痛に満ちた叫び声）,
[BARK]Bashed_5,（苦痛に満ちた叫び声）,
[BARK]Bashed_6,（苦痛に満ちた叫び声）,
[BARK]Bashed_7,（苦痛に満ちた叫び声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Breathing_3,（荒い息遣い）,
[BARK]Compliant_0,わかったから、撃つな！,
[BARK]Compliant_1,わかったよ！,
[BARK]Compliant_10,伏せるよ！,
[BARK]Compliant_11,ここには武器なんかもない！,
[BARK]Compliant_12,家にはお袋と弟もいるんだ。,
[BARK]Compliant_2,わかった、わかった！,
[BARK]Compliant_3,聞いてるよ！俺は何もしてない！,
[BARK]Compliant_4,俺はごく普通の男だ！,
[BARK]Compliant_5,乱暴はしないでくれ！,
[BARK]Compliant_6,わかったよ、お巡りさん！,
[BARK]Compliant_7,わかったよ、お巡りさん！,
[BARK]Compliant_8,わかりましたよ！,
[BARK]Compliant_9,何もしねえって！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_10,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]Death_7,（悲鳴）,
[BARK]Death_8,（悲鳴）,
[BARK]Death_9,（悲鳴）,
[BARK]FellowAIKilled_0,ああ、クソッ！,
[BARK]FellowAIKilled_1,ありえねえ！,
[BARK]FellowAIKilled_2,信じられない！,
[BARK]FellowAIKilled_3,なんてこった！！,
[BARK]FellowAIKilled_4,（怯えた叫び声）,
[BARK]Flashed_0,ああ、クソッ！目が！,
[BARK]Flashed_1,くそっ！なんなんだ！,
[BARK]Flashed_2,目が！,
[BARK]Flashed_3,クソッ！目が！目が見えない！,
[BARK]Gassed_0,（咳き込む）,
[BARK]Gassed_1,（咳き込む）,
[BARK]Gassed_2,（咳き込む）,
[BARK]HeardSWAT_0,お袋？,
[BARK]HeardSWAT_1,デマーカス？,
[BARK]HeardSWAT_2,俺の家ん中に誰かいるのか？,
[BARK]HeardSWAT_3,俺の家ん中に誰かいるのか？,
[BARK]HeardSWAT_4,何なんだ？,
[BARK]HeardSWAT_5,何なんだ？,
[BARK]HeardSWAT_6,おい？,
[BARK]HeardSWAT_7,何なんだ？警察？,
[BARK]Hesitating_0,俺は…,
[BARK]Hesitating_1,俺…俺は…,
[BARK]Hesitating_2,えーと…あー…,
[BARK]Hesitating_3,クソ。,
[BARK]Hesitating_4,クソッ！,
[BARK]Hesitating_5,ああ、クソッ！,
[BARK]Hesitating_6,ああ、クソッ！,
[BARK]Hostage_0,俺に近づくな！,
[BARK]Hostage_1,下がれ！,
[BARK]Hostage_2,あいつら殺してやる！,
[BARK]Hostage_3,あいつら殺してやる！,
[BARK]Hostage_4,下がれよ。さもないとやるぞ！,
[BARK]IdleAlly_0,どうなってるんだ？,
[BARK]IdleAlly_1,どうしたんだ？,
[BARK]IdleAlly_2,問題ないか？,
[BARK]IdleEnemy_0,黙れ！,
[BARK]IdleEnemy_1,くそったれ！,
[BARK]IdleEnemy_2,失せろ！,
[BARK]IdleEnemy_3,ほっといてくれ！,
[BARK]IdleSelf_0,（溜め息）,
[BARK]IdleSelf_1,うぅ。,
[BARK]IdleSelf_2,うぅ、クソ。,
[BARK]IdleSelf_3,価値は上がってる、あったり前だ。,
[BARK]IdleSelf_4,クソ。売っときゃよかった。,
[BARK]IdleSelf_5,おいおい、カンベンしてくれ。,
[BARK]IdleSelf_6,うぅ、カンベンしてくれ！,
[BARK]IdleSelf_7,畜生！,
[BARK]Immune_0,何なんだ？,
[BARK]Immune_1,クソッ！,
[BARK]Immune_2,おい、何なんだ？,
[BARK]IncapIdle_0,（苦し気なうめき声）,
[BARK]IncapIdle_1,（苦し気なうめき声）,
[BARK]IncapIdle_2,（苦し気なうめき声）,
[BARK]KillCivilian_0,すまない。,
[BARK]KillCivilian_1,クソ！,
[BARK]KillCivilian_2,クソ。,
[BARK]KillCivilian_3,あのな。,
[BARK]KillCivilian_4,くそったれ！,
