Key,Dialogue,Context
TOCPort_0,"あー・・・突入班、了解した。救急隊と後続班が――",
TOCPort_1,"突入班、交戦を許可する。任務を続行せよ。",
activeshooterstart_001,突入班、アクティブシューターの状況は現在不明だ。速やかに突入し、一帯の安全を確保せよ。,
activeshooterstart_002,突入班、アクティブシューターの状況は現在不明だ。速やかに突入し、一帯の安全を確保せよ。,
activeshooterstart_003,突入班、アクティブシューターの状況は現在不明だ。速やかに突入し、一帯の安全を確保せよ。,
activeshooterstart_004,,
activeshooterstart_005,,
activeshooterstart_006,突入班、現場には1人もしくは複数のアクティブシューターがいる可能性がある。速やかに移動し、エリアを一掃せよ。,
activeshooterstart_007,突入班、現場には1人もしくは複数のアクティブシューターがいる可能性がある。速やかに移動し、エリアを一掃せよ。,
arrest_001,了解だ。後続班が対応する。注意して進め。,
arrest_002,了解だ。後続班が対応する。注意して進め。,
arrest_003,了解だ。後続班が対応する。注意して進め。,
arrest_004,了解だ。後続班が向かっている。,
arrest_005,了解だ。後続班が向かっている。,
arrest_006,了解、突入班。後続班に伝達する。,
arrest_007,了解、突入班。後続班に伝達する。,
arrest_008,了解、突入班。後続班に伝達する。,
arrest_009,了解、突入班。後続班に伝達する。,
arrest_010,了解、突入班。後続班に伝達する。,
arrest_011,了解だ。後続班が対応する。,
arrest_012,了解だ。後続班が対応する。,
arrest_013,了解だ。,
arrest_014,了解、突入班。よくやった。そのまま続けろ。,
arrest_015,了解、突入班。よくやった。そのまま続けろ。,
arrest_016,了解、突入班。よくやった。そのまま続けろ。,
arrest_017,了解、突入班。よくやった。そのまま続けろ。,
arrest_018,了解、突入班。よくやった。そのまま続けろ。,
arrest_019,了解、突入班。よくやった。そのまま続けろ。,
arrest_020,了解。先へ進め。,
arrest_021,了解。先へ進め。,
arrest_022,よくやった、突入班。その調子だ。,
arrest_023,よくやった、突入班。その調子だ。,
arrest_024,よくやった、突入班。その調子だ。,
arrest_025,よくやった、突入班。その調子だ。,
arrest_026,よくやった、突入班。その調子だ。,
arrest_027,了解。後続班が到着する。,
arrest_028,了解。後続班が到着する。,
arrest_029,了解。後続班が到着する。,
arrest_030,了解。後続班が到着する。,
arrest_031,了解。後続班が到着する。,
barricadedsuspectsstart_001,突入班、容疑者らはこのエリアに立て籠もり、協力を拒んでいる。突入しろ。,
barricadedsuspectsstart_002,突入班、容疑者らはこのエリアに立て籠もり、協力を拒んでいる。突入しろ、ROEを忘れず、エリアを確保するんだ。,
barricadedsuspectsstart_003,突入班、容疑者らはこのエリアに立て籠もり、協力を拒んでいる。突入しろ。,
barricadedsuspectsstart_004,突入班、容疑者らはこのエリアに立て籠もり、協力を拒んでいる。突入しろ。,
barricadedsuspectsstart_005,容疑者らはこのエリアに立て籠もり、協力を拒んでいる。突入班、任務の続行を許可する。,
barricadedsuspectsstart_006,容疑者らはこのエリアに立て籠もり、協力を拒んでいる。突入班、任務の続行を許可する。,
barricadedsuspectsstart_007,容疑者らはこのエリアに立て籠もり、協力を拒んでいる。突入班、任務の続行を許可する。,
beginning_001,了解だ、突入班。準備が出来次第行け。,
beginning_002,了解だ、突入班。準備が出来次第行け。,
beginning_003,了解だ、突入班。準備が出来次第行け。,
beginning_004,了解だ、突入班。準備が出来次第行け。,
beginning_005,前進を許可する。,
beginning_006,前進を許可する。,
beginning_007,前進を許可する。,
beginning_008,前進を許可する。,
beginning_009,突入班、前進を許可する。,
beginning_010,突入班、前進を許可する。,
beginning_011,突入班、前進を許可する。,
beginning_012,突入班、前進を許可する。,
beginning_013,突入班、前進を許可する。,
beginning_014,突入班、前進を許可する。,
beginning_015,突入班、前進を許可する。,
bombthreatdefused_001,了解、突入班。任務完了後、EODが対応する。進め。,
bombthreatdefused_002,了解、突入班。任務完了後、EODが対応する。進め。,
bombthreatdefused_003,了解、突入班。任務完了後、EODが対応する。進め。,
bombthreatdefused_004,了解、突入班。EODに通知した。任務を続行せよ。,
bombthreatdefused_005,了解、突入班。EODに通知した。任務を続行せよ。,
bombthreatdefused_006,了解、突入班、EODに通知した。任務を続行せよ。,
bombthreatdefused_007,了解、突入班。EODに通知した。,
bombthreatdefused_008,了解、突入班。EODに通知した。任務を続行せよ。,
bombthreatdefused_009,了解、突入班。EODに通知した。,
bombthreathurry_001,突入班、時間がない。急いで残りの爆弾を無効化するんだ。,
bombthreathurry_002,突入班、時間がない。急いで残りの爆弾を無効化するんだ。,
bombthreathurry_003,爆弾のタイマーがゼロに近づいている。急げ、突入班。,
bombthreathurry_004,爆弾のタイマーがゼロに近づいている。急げ、突入班！,
bombthreathurry_005,爆弾のタイマーがゼロに近づいている。急げ、突入班！,
bombthreathurry_006,爆弾のタイマーがゼロに近づいている。急げ、突入班。,
bombthreatstart_001,突入班、付近の住民の避難完了、EODが待機中だ。爆弾を探し出し、解除せよ。,
bombthreatstart_002,突入班、付近の住民の避難完了、EODが待機中だ。爆弾を探し出し、解除せよ。,
bombthreatstart_003,突入班、付近の住民の避難完了、EODが待機中だ。爆弾を探し出し、解除せよ。,
bombthreatstart_004,突入班、付近の住民の避難完了、EODが待機中だ。爆弾を探し出し、解除せよ。,
bombthreatstart_005,突入班、エリアは極めて不安定な状態だ。爆弾を処理して、誰でも見つけ次第逮捕しろ。,
bombthreatstart_006,突入班、エリアは極めて不安定な状態だ。爆弾を処理して、誰でも見つけ次第逮捕しろ。,
bombthreatsuccess_001,このエリアの爆弾の脅威はなくなった。よくやった、突入班。,
bombthreatsuccess_002,このエリアの爆弾の脅威はなくなった。よくやった、突入班。,
bombthreatsuccess_003,突入班、これで爆弾はすべて無効化された。よくやった。,
bombthreatsuccess_004,突入班、これで爆弾はすべて無効化された。よくやった。,
bombthreatsuccess_005,突入班、これで爆弾はすべて無効化された。よくやった。,
completion_001,了解。安全な場所に確保しておけ。よくやった。,
completion_002,了解。安全な場所に確保しておけ。よくやった。,
completion_003,了解。安全な場所に確保しておけ。よくやった。,
completion_004,了解。安全な場所に確保しておけ。よくやった。,
completion_005,素晴らしい仕事ぶりだ、突入班。後ほど司令部に報告せよ。,
completion_006,素晴らしい仕事ぶりだ、突入班。後ほど司令部に報告せよ。,
death_001,了解だ、突入班。安置所に伝達する。,
death_002,了解だ、突入班。安置所に伝達する。,
death_003,了解だ、突入班。安置所に伝達する。,
death_004,了解だ、突入班。安置所に伝達する。,
death_005,了解だ、突入班。タグを付けて、任務を続行せよ。,
death_006,了解だ、突入班。タグを付けて、任務を続行せよ。,
death_007,了解だ、突入班。タグを付けて、任務を続行せよ。,
death_008,了解だ、突入班。タグを付けて、任務を続行せよ。,
death_009,了解だ、突入班。タグを付けて、任務を続行せよ。,
death_010,了解、突入班、任務を遂行せよ。,
death_011,了解だ、突入班。任務を遂行せよ。,
