Key,Dialogue,Context
[BARK]Arrested_0,この後に歩くよ。心配するな。,
[BARK]Arrested_1,狙いは俺じゃないだろ。分かってるんだ。,
[BARK]Arrested_10,狙いは俺じゃなくてマインドジョットだろ。,
[BARK]Arrested_11,マインドジョットの奴らにはめられた。,
[BARK]Arrested_12,ポルノの件だろ？今時、誰でも見るぞ。,
[BARK]Arrested_13,ポルノの件だろ？今時、誰でも見るぞ。,
[BARK]Arrested_14,ジェイニーはどこだ？今すぐ娘に会わせてくれ！,
[BARK]Arrested_15,何だよ、ガサ入れか？,
[BARK]Arrested_16,裏庭でパーティーするのは違法になったのか？,
[BARK]Arrested_17,何だよ、ポルノの制作は罪なのか？,
[BARK]Arrested_18,家に妻と娘がいるのに、こんなことをするのか？,
[BARK]Arrested_19,クソ。ダニエラとジェイニーはどこだ？,
[BARK]Arrested_2,ああ、クソ野郎！,
[BARK]Arrested_20,俺を逮捕するのか？ああいうビデオとか写真のせいで？,
[BARK]Arrested_21,いいか、俺はビデオを作って売る。何も悪いことじゃないだろ。,
[BARK]Arrested_22,おい、小切手に好きな数字を書いてやるぞ。,
[BARK]Arrested_23,小切手に好きな数字を書いてやるぞ。,
[BARK]Arrested_24,おい、罪状は何だ？ビデオ制作か？,
[BARK]Arrested_25,この借りは忘れないからな。,
[BARK]Arrested_26,俺のビデオに出演させてやるぞ。,
[BARK]Arrested_27,俺のビデオに出演させてやるぞ。,
[BARK]Arrested_28,バッジ番号を見せろ。,
[BARK]Arrested_29,離せ、クソ野郎！,
[BARK]Arrested_3,クソ食らえだ。,
[BARK]Arrested_30,何をしてるんだ？,
[BARK]Arrested_31,俺が誰だか知らないのか？,
[BARK]Arrested_32,仕事は仕事だ。,
[BARK]Arrested_4,ああ、クソ、この野郎！,
[BARK]Arrested_5,ブリックスリーめ！やっぱりだ！あのクソ野郎。,
[BARK]Arrested_6,マインドジョット、ブリックスリー。どっちもクソ野郎だ。,
[BARK]Arrested_7,ああ…クソ！,
[BARK]Arrested_8,18歳だと言ってた。どうやって確認しろっていうんだ？,
[BARK]Arrested_9,あの子たちの件だろ？全部合法だ。誓うよ。,
[BARK]ArrestIdle_0,ああ、クソ。クソ。クソ。,
[BARK]ArrestIdle_1,自分で歩かせてくれ。何でも欲しいものを買ってやるから。,
[BARK]ArrestIdle_10,ボーっと突っ立ってるんじゃねえぞ、クソ野郎。,
[BARK]ArrestIdle_11,妻と娘に会いたいんだ。,
[BARK]ArrestIdle_12,ボルトン・セキュリティめ。役立たずだ！,
[BARK]ArrestIdle_13,売り上げが入ってきたばかりなのに。,
[BARK]ArrestIdle_14,俺はビデオを作ってるんだ。芸術だぞ。,
[BARK]ArrestIdle_15,あの子たちのことはどうでもいい。,
[BARK]ArrestIdle_2,娘の命にかけて、俺は何もしてない。,
[BARK]ArrestIdle_3,俺には妻と娘がいる。あんなことをするわけない。,
[BARK]ArrestIdle_4,俺にどんな容疑をかけてるか知らないが、娘は巻き込まないでくれ。いいな？,
[BARK]ArrestIdle_5,目をつぶってくれたら小切手をやる。どうだい？,
[BARK]ArrestIdle_6,あのクソ弁護士を呼んでケリをつけてやる。,
[BARK]ArrestIdle_7,なあ、新しい車を買ってやろうか？,
[BARK]ArrestIdle_8,俺の財産の半分をぶっ壊しやがったな。,
[BARK]ArrestIdle_9,ボーっと突っ立ってるんじゃねえぞ。,
[BARK]Bashed_0,（苦しそうな怒鳴り声）,
