Key,Dialogue,Context
[BARK]Arrested_0,痛い！こんなにきつくしなくてもいいじゃん？,
[BARK]Arrested_1,ここから出して！こんなのめちゃくちゃじゃん！,
[BARK]Arrested_10,誕生日パーティーに来ただけなのに、何もしてないよ！,
[BARK]Arrested_11,ねぇ、離して！,
[BARK]Arrested_12,離してよ、バカ！,
[BARK]Arrested_13,何すんのよ、バカじゃないの？,
[BARK]Arrested_14,何すんのよ、このバカ！,
[BARK]Arrested_15,私、銃なんか持ってないし！,
[BARK]Arrested_16,なんなのよ？,
[BARK]Arrested_17,ジェイニーは大丈夫なの？彼女のお父さんは？,
[BARK]Arrested_18,ジェイニーの両親はどこ？,
[BARK]Arrested_2,帰らしてくれなかったのよ。,
[BARK]Arrested_3,ジェイニーのお父さんが何かやったの？,
[BARK]Arrested_4,何が起きてるかぐらい教えてくれない？,
[BARK]Arrested_5,ジェイニーはどこ？,
[BARK]Arrested_6,目当てはジェイニーのお父さんでしょ。あいつマジでキモいし。,
[BARK]Arrested_7,ちょっと、どうなってんの？銃持った人たちがあっちにいるんだけど。,
[BARK]Arrested_8,これ外してよ、バカ！,
[BARK]Arrested_9,両親が来るまで、私なにも話さないから。,
[BARK]ArrestIdle_0,私なにもしてないよね？帰っていい？,
[BARK]ArrestIdle_1,一人にしないで！,
[BARK]ArrestIdle_2,私、これと何の関係もないから。,
[BARK]ArrestIdle_3,ねぇ、もう行かせて？,
[BARK]ArrestIdle_4,無実の女の子をここに縛って放置するつもり？,
[BARK]ArrestIdle_5,何よ、そこで突っ立ってないでよ！,
[BARK]ArrestIdle_6,ジェイニーは大丈夫なの？,
[BARK]ArrestIdle_7,これ、長くなりそう？もう家に帰りたいのに。,
[BARK]ArrestIdle_8,これ絶対ジェイニーのお父さんのせいでしょ。あいつずっとキモかったし。,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Bashed_3,（苦痛に満ちた叫び声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,で？これからどうすればいいの？,
[BARK]Compliant_1,分かったわよ。,
[BARK]Compliant_10,もう、分かったってば。,
[BARK]Compliant_11,わかった、わかった。,
[BARK]Compliant_2,言う通りにするから乱暴しないで。,
[BARK]Compliant_3,何でも言う通りにするよ。,
[BARK]Compliant_4,はいはい、聞いてるから。,
[BARK]Compliant_5,伏せるよ。,
[BARK]Compliant_6,何もしないわよ。,
[BARK]Compliant_7,手を上げてるから、撃たないで！,
[BARK]Compliant_8,とにかくここから連れ出して！,
[BARK]Compliant_9,わかったから、早くして。,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]FellowAIKilled_0,彼ら何も悪い事してないじゃん！最低！,
[BARK]FellowAIKilled_1,殺さないで！何もしないから！,
[BARK]FellowAIKilled_2,お願い、殺さないで！,
[BARK]FellowAIKilled_3,あんた狂ってるよ！,
[BARK]FellowAIKilled_4,頭おかしいんじゃないの？！,
[BARK]Flashed_0,何これ！ああっ！,
[BARK]Flashed_1,目が！見えない！,
[BARK]Flashed_2,何これ！見えない！,
[BARK]Flashed_3,何も見えない！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
