Key,Dialogue,Context
[BARK]Arrested_0,離して！,
[BARK]Arrested_1,アモスはどこ？,
[BARK]Arrested_10,何してるの？,
[BARK]Arrested_11,くたばれ！,
[BARK]Arrested_12,私は無実よ！,
[BARK]Arrested_13,何をしてるの？,
[BARK]Arrested_14,何もしてない。,
[BARK]Arrested_15,イカれてる。,
[BARK]Arrested_2,うちに何をしたの？,
[BARK]Arrested_3,どういうことか教えて！,
[BARK]Arrested_4,イカれたの？,
[BARK]Arrested_5,イカれたの？,
[BARK]Arrested_6,痛い！クソ野郎！,
[BARK]Arrested_7,放して！,
[BARK]Arrested_8,どうなってるの？,
[BARK]Arrested_9,ああ！クソ野郎！,
[BARK]ArrestIdle_0,夫はいい人よ。,
[BARK]ArrestIdle_1,何しに来たか答えて！,
[BARK]ArrestIdle_2,どこへ行くの？何をするつもり？,
[BARK]ArrestIdle_3,戻ってきて！,
[BARK]ArrestIdle_4,ねえ、何か言ってよ。,
[BARK]ArrestIdle_5,放して。,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Bashed_3,（苦痛に満ちた叫び声）,
[BARK]Bashed_4,（苦痛に満ちた叫び声）,
[BARK]Bashed_5,（苦痛に満ちた叫び声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Compliant_0,分かったから撃たないで！,
[BARK]Compliant_1,分かった、言う通りにする！,
[BARK]Compliant_2,撃たないで！,
[BARK]Compliant_3,分かった、分かった！,
[BARK]Compliant_4,お願い、もうやめて！,
[BARK]Compliant_5,聞いてる！,
[BARK]Compliant_6,乱暴はやめて！,
[BARK]Compliant_7,乱暴はやめて！,
[BARK]Compliant_8,聞こえてる！動かないから！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]Death_5,（悲鳴）,
[BARK]Death_6,（悲鳴）,
[BARK]FellowAIKilled_0,（怯えた叫び声）,
[BARK]FellowAIKilled_1,（怯えた叫び声）,
[BARK]FellowAIKilled_2,何してるの？,
[BARK]FellowAIKilled_3,どうして？,
[BARK]FellowAIKilled_4,（ルーマニア語）,
[BARK]Flashed_0,ああ、何も見えない！,
[BARK]Flashed_1,（苦痛に満ちた叫び声）,
[BARK]Flashed_2,（苦痛に満ちた叫び声）,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]HeardSWAT_0,（ルーマニア語）,
[BARK]HeardSWAT_1,誰？,
[BARK]HeardSWAT_2,アモス？,
[BARK]HeardSWAT_3,ちょっと。,
[BARK]HeardSWAT_4,助けて！,
[BARK]HitThePlayer_0,これをくれてやる！,
[BARK]HitThePlayer_1,クソ野郎！,
[BARK]IdleAlly_0,何なの？どうして警察がいるの？,
[BARK]IdleAlly_1,奴らと話さないで！,
[BARK]IdleAlly_2,奴らと話さないで！,
[BARK]IdleAlly_3,シッ！静かにして！,
[BARK]IdleAlly_4,ここにいて。,
[BARK]IdleAlly_5,何をしたの？,
[BARK]IdleAlly_6,何なの？,
[BARK]IdleAlly_7,何をしてるの？,
[BARK]IdleEnemy_0,お願い、乱暴はやめて！,
[BARK]IdleEnemy_1,言う通りにするから！,
[BARK]IdleEnemy_2,何やってるの！,
[BARK]IdleEnemy_3,何やってるの！,
[BARK]IdleSelf_0,（ルーマニア語）,
[BARK]IdleSelf_1,バカ…,
[BARK]IdleSelf_2,（ルーマニア語）,
[BARK]IdleSelf_3,（ルーマニア語）,
[BARK]Immune_0,（ルーマニア語）,
[BARK]Immune_1,クソ野郎！,
[BARK]Immune_2,クソ野郎！,
[BARK]IncapIdle_0,（苦し気なうめき声）,
[BARK]IncapIdle_1,（苦し気なうめき声）,
[BARK]IncapIdle_2,（苦し気なうめき声）,
[BARK]KnifeThePlayer_0,クソ野郎！,
[BARK]KnifeThePlayer_1,クソ野郎！,
[BARK]KnifeThePlayer_2,殺してやる！,
[BARK]NonCompliant_0,くたばれ、クソ野郎！,
[BARK]NonCompliant_1,うせろ！,
[BARK]NonCompliant_2,どこへも行かない。,
[BARK]NonCompliant_3,嫌よ！,
