Key,Dialogue,Context
[BARK]Arrested_0,なにが起こってるの？私の誕生日なのに！,
[BARK]Arrested_1,これってお父さんのこと？,
[BARK]Arrested_10,間違った家に来たとかじゃないの？,
[BARK]Arrested_11,暴力をふるわないで！私、まだ子供よ！,
[BARK]Arrested_12,私、犯罪者なんかじゃない！,
[BARK]Arrested_13,何が起こってるの？,
[BARK]Arrested_2,私の親が何をしたの？,
[BARK]Arrested_3,何が起こってるのか分からない！ただの誕生日パーティーだったはずなのに！,
[BARK]Arrested_4,ありえない！,
[BARK]Arrested_5,ああ、ありえない！なんで私の誕生日に？！,
[BARK]Arrested_6,お願い、やめて！,
[BARK]Arrested_7,なにかの勘違いに違いないわ！,
[BARK]Arrested_8,お願い！私、何も知らないよ！,
[BARK]Arrested_9,お父さんと話をさせて！,
[BARK]ArrestIdle_0,お願い、両親に暴力ふるわないで。,
[BARK]ArrestIdle_1,私はまだ子供よ。何も悪い事してない。,
[BARK]ArrestIdle_2,何も知らない、本当に！,
[BARK]ArrestIdle_3,お父さんのことで来たの？,
[BARK]ArrestIdle_4,お父さんのことで来たの？彼が何をしたって言うのよ？,
[BARK]ArrestIdle_5,お父さんのために来たの？彼が何をしたって言うのよ？,
[BARK]ArrestIdle_6,お父さんと話をさせて。私なら言う事を聞いてくれるはずよ！,
[BARK]ArrestIdle_7,スーツを着た人たち、彼らは警備員なんだけど。あなたたちが来たとき、急に騒ぎ出したの！,
[BARK]ArrestIdle_8,お父さんはただアダルトビデオを作ってるだけ。それ以外何も知らないわ。,
[BARK]ArrestIdle_9,これがどういう事か教えてくれる？！,
[BARK]Bashed_0,（苦痛に満ちた叫び声）,
[BARK]Bashed_1,（苦痛に満ちた叫び声）,
[BARK]Bashed_2,（苦痛に満ちた叫び声）,
[BARK]Bashed_3,（苦痛に満ちた叫び声）,
[BARK]Bashed_4,（苦痛に満ちた叫び声）,
[BARK]Bashed_5,（苦痛に満ちた叫び声）,
[BARK]Breathing_0,（荒い息遣い）,
[BARK]Breathing_1,（荒い息遣い）,
[BARK]Breathing_2,（荒い息遣い）,
[BARK]Compliant_0,分かったから、撃たないで！,
[BARK]Compliant_1,言うこと聞いてるから！,
[BARK]Compliant_2,わかったから、もうやめて！,
[BARK]Compliant_3,私を逮捕して、もうこんなとこに居たくないの！,
[BARK]Compliant_4,わかった、わかったわ！,
[BARK]Compliant_5,急いで、急いで！,
[BARK]Compliant_6,早く、早く！,
[BARK]Compliant_7,わかった、じっとしてるから！,
[BARK]Death_0,（悲鳴）,
[BARK]Death_1,（悲鳴）,
[BARK]Death_2,（悲鳴）,
[BARK]Death_3,（悲鳴）,
[BARK]Death_4,（悲鳴）,
[BARK]FellowAIKilled_0,あんた狂ってるよ！,
[BARK]FellowAIKilled_1,ああ、なんてことを！,
[BARK]FellowAIKilled_2,信じられない！,
[BARK]FellowAIKilled_3,正気なの？！,
[BARK]FellowAIKilled_4,（悲鳴）,
[BARK]Flashed_0,目が！ああ！見えないよ！ああ！,
[BARK]Flashed_1,（苦痛に満ちた叫び声）,
[BARK]Flashed_2,目が見えない！,
[BARK]Gassed_0,（咳）,
[BARK]Gassed_1,（咳）,
[BARK]Gassed_2,（咳）,
[BARK]HeardSWAT_0,お父さん？,
[BARK]HeardSWAT_1,お父さん？,
[BARK]HeardSWAT_2,お父さん？,
[BARK]HeardSWAT_3,誰？,
[BARK]HeardSWAT_4,誰？,
